model,target_class,source_set,source,prompt_style,layer,control,gain,vector_class,step,next_token_id,next_token,question_best_token_id,question_best_logit,question_best_prob,question_best_rank,question_top1,question_top5,question_top10,exclamation_best_token_id,exclamation_best_logit,exclamation_best_prob,exclamation_best_rank,exclamation_top1,exclamation_top5,exclamation_top10,ellipsis_best_token_id,ellipsis_best_logit,ellipsis_best_prob,ellipsis_best_rank,ellipsis_top1,ellipsis_top5,ellipsis_top10
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,13,198,"
",5633,28.451473236083984,2.503112227714155e-05,194,0.0,0.0,0.0,5145,28.6130313873291,2.942009814432822e-05,169,0.0,0.0,0.0,2644,29.616348266601562,8.02378126536496e-05,64,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,14,464,The,30,-42.338802337646484,6.294970262388233e-06,2506,0.0,0.0,0.0,0,-41.854618072509766,1.0215797374257818e-05,2038,0.0,0.0,0.0,986,-39.021217346191406,0.00017370108980685472,281,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,15,11949, engineer,5633,-28.686874389648438,5.288697479954863e-07,6506,0.0,0.0,0.0,5145,-28.51465606689453,6.282640470089973e-07,5915,0.0,0.0,0.0,986,-26.614545822143555,4.200970124657033e-06,1711,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,16,5668, completed,30,-47.2010612487793,6.115027417763486e-07,794,0.0,0.0,0.0,0,-47.31402587890625,5.461834007292055e-07,837,0.0,0.0,0.0,986,-46.635009765625,1.077038973562594e-06,614,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,17,262, the,30,-52.3482780456543,5.168841425984283e-07,323,0.0,0.0,0.0,0,-53.27316665649414,2.0498360697729368e-07,573,0.0,0.0,0.0,986,-50.151371002197266,4.650479695555987e-06,89,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,18,4876, task,30,-69.80677795410156,2.5038239925834205e-08,3336,0.0,0.0,0.0,5145,-68.97402954101562,5.75786991419136e-08,2213,0.0,0.0,0.0,986,-65.54365539550781,1.7785021100280574e-06,260,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,19,329, for,30,-65.56663513183594,1.4033935258339625e-06,106,0.0,0.0,0.0,0,-64.24815368652344,5.245521606411785e-06,45,0.0,0.0,0.0,986,-63.45115661621094,1.1639119293249678e-05,29,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,20,262, the,30,-69.39025115966797,1.3189256264922733e-07,999,0.0,0.0,0.0,0,-69.54742431640625,1.1270958566456102e-07,1110,0.0,0.0,0.0,986,-65.14152526855469,9.234609024133533e-06,52,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,21,1074, team,5633,-73.10150146484375,4.547640042318335e-09,5187,0.0,0.0,0.0,0,-71.56847381591797,2.106548713243228e-08,2451,0.0,0.0,0.0,2644,-68.20063018798828,6.112339292485558e-07,332,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,22,13,.,30,-35.368709564208984,4.168775376456324e-06,40,0.0,0.0,0.0,0,-33.71785354614258,2.1725318219978362e-05,16,0.0,0.0,0.0,986,-33.522857666015625,2.640290949784685e-05,12,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,none,0.0,,23,198,"
",5633,26.40372657775879,7.604553502460476e-06,720,0.0,0.0,0.0,5145,26.81355094909668,1.1456663742137607e-05,505,0.0,0.0,0.0,2644,28.11274528503418,4.2004045099020004e-05,148,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,0,198,"
",5633,-63.444427490234375,0.0008973909425549209,109,0.0,0.0,0.0,5145,-64.2870101928711,0.00038641379796899855,269,0.0,0.0,0.0,2644,-63.62202835083008,0.0007513643940910697,134,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,1,198,"
",30,-49.53825378417969,0.00038861692883074284,270,0.0,0.0,0.0,0,-50.09364318847656,0.00022300735872704536,419,0.0,0.0,0.0,986,-48.618186950683594,0.0009752179030328989,112,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,2,198,"
",30,-42.69953155517578,0.0009252264862880111,91,0.0,0.0,0.0,0,-43.78765869140625,0.0003116595617029816,263,0.0,0.0,0.0,986,-42.67291259765625,0.0009501858148723841,89,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,3,198,"
",30,-38.94287109375,0.0023390273563563824,30,0.0,0.0,0.0,0,-40.708709716796875,0.0004000749613624066,169,0.0,0.0,0.0,986,-39.79714584350586,0.0009954707929864526,67,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,4,198,"
",30,-43.394962310791016,0.0035502901300787926,24,0.0,0.0,0.0,0,-45.53989028930664,0.0004156554350629449,190,0.0,0.0,0.0,986,-44.46821594238281,0.0012138240272179246,68,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,5,198,"
",30,-42.14354705810547,0.004950069822371006,15,0.0,0.0,0.0,0,-44.5892333984375,0.00042900588596239686,174,0.0,0.0,0.0,986,-43.49205017089844,0.0012851797509938478,59,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,6,198,"
",30,-39.15892028808594,0.0061434186063706875,11,0.0,0.0,0.0,0,-41.83545684814453,0.00042267353273928165,157,0.0,0.0,0.0,986,-40.729434967041016,0.0012774510541930795,51,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,7,198,"
",30,-35.25918960571289,0.006963916588574648,11,0.0,0.0,0.0,0,-38.12620544433594,0.00039602667675353587,134,0.0,0.0,0.0,986,-37.01533508300781,0.0012027331395074725,43,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,8,198,"
",30,-31.077274322509766,0.007583905942738056,6,0.0,0.0,1.0,0,-34.12437438964844,0.0003602087090257555,104,0.0,0.0,0.0,986,-33.01334762573242,0.001094125211238861,37,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,9,198,"
",30,-26.61203384399414,0.008076192811131477,3,0.0,1.0,1.0,0,-29.83588409423828,0.00032144473516382277,91,0.0,0.0,0.0,986,-28.727703094482422,0.0009736059000715613,33,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,10,198,"
",30,-22.097509384155273,0.008474004454910755,2,0.0,1.0,1.0,0,-25.49991798400879,0.00028212490724399686,76,0.0,0.0,0.0,986,-24.38953399658203,0.0008563968585804105,29,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,11,198,"
",30,-18.072708129882812,0.008752801455557346,2,0.0,1.0,1.0,0,-21.629873275756836,0.0002496260276529938,67,0.0,0.0,0.0,986,-20.513521194458008,0.000762281590141356,21,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,12,198,"
",30,-13.932061195373535,0.009210556745529175,2,0.0,1.0,1.0,0,-17.659984588623047,0.00022144675313029438,60,0.0,0.0,0.0,986,-16.548627853393555,0.0006728610605932772,18,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,13,198,"
",30,-10.295806884765625,0.009604820981621742,2,0.0,1.0,1.0,0,-14.175396919250488,0.00019842872279696167,55,0.0,0.0,0.0,986,-13.06264877319336,0.0006037611165083945,18,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,14,198,"
",30,-6.799670219421387,0.00998926255851984,2,0.0,1.0,1.0,0,-10.826818466186523,0.00017805951938498765,52,0.0,0.0,0.0,986,-9.705760955810547,0.0005463038687594235,16,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,15,198,"
",30,-4.068945407867432,0.010501638054847717,2,0.0,1.0,1.0,0,-8.228371620178223,0.0001639989932300523,47,0.0,0.0,0.0,986,-7.11159610748291,0.0005010149325244129,15,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,16,198,"
",30,-1.4708294868469238,0.011061333119869232,2,0.0,1.0,1.0,0,-5.769058704376221,0.00015035235264804214,43,0.0,0.0,0.0,986,-4.650162696838379,0.00046029960503801703,14,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,17,198,"
",30,0.69972825050354,0.011547396890819073,2,0.0,1.0,1.0,0,-3.7245945930480957,0.0001383647322654724,40,0.0,0.0,0.0,986,-2.6073508262634277,0.0004229003097862005,14,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,18,198,"
",30,2.172940969467163,0.012084517627954483,2,0.0,1.0,1.0,0,-2.3623876571655273,0.00012958688603248447,37,0.0,0.0,0.0,986,-1.2447823286056519,0.0003962149494327605,14,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,19,198,"
",30,3.367232322692871,0.012633944861590862,2,0.0,1.0,1.0,0,-1.281339168548584,0.00012097338185412809,35,0.0,0.0,0.0,986,-0.16225945949554443,0.0003704248811118305,13,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,20,198,"
",30,4.1221113204956055,0.01305119413882494,2,0.0,1.0,1.0,0,-0.6208682060241699,0.00011371040454832837,34,0.0,0.0,0.0,986,0.5023789405822754,0.00034963947837240994,11,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,21,198,"
",30,4.582287788391113,0.013564703986048698,2,0.0,1.0,1.0,0,-0.26402533054351807,0.00010658181417966262,34,0.0,0.0,0.0,986,0.8593325614929199,0.000327756570186466,11,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,22,198,"
",30,4.681970596313477,0.013952930457890034,2,0.0,1.0,1.0,0,-0.2481546401977539,0.00010081827349495143,34,0.0,0.0,0.0,986,0.8739299774169922,0.0003096381260547787,11,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,target,1.0,question,23,198,"
",30,4.6538405418396,0.014421115629374981,2,0.0,1.0,1.0,0,-0.3607821464538574,9.57582306000404e-05,34,0.0,0.0,0.0,986,0.7614986896514893,0.0002941549464594573,11,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,0,198,"
",5633,-59.23255157470703,0.000251432997174561,358,0.0,0.0,0.0,5145,-58.128292083740234,0.0007585706771351397,115,0.0,0.0,0.0,2644,-58.260887145996094,0.0006643711822107434,131,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,1,1212,This,30,-55.427207946777344,6.557585584232584e-05,1242,0.0,0.0,0.0,0,-54.37186813354492,0.0001883962395368144,534,0.0,0.0,0.0,986,-52.854095458984375,0.0008594735991209745,142,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,2,318, is,30,-55.361385345458984,0.00012083653564332053,645,0.0,0.0,0.0,0,-53.924522399902344,0.0005084167933091521,193,0.0,0.0,0.0,986,-54.804866790771484,0.00021080998703837395,420,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,3,262, the,30,-62.88759231567383,4.694540984928608e-05,695,0.0,0.0,0.0,0,-60.81393051147461,0.00037339888513088226,133,0.0,0.0,0.0,986,-60.61455535888672,0.0004557855718303472,103,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,4,1074, team,5633,-62.74503707885742,2.865192618628498e-05,3454,0.0,0.0,0.0,5145,-61.54343032836914,9.528070950182155e-05,1316,0.0,0.0,0.0,986,-61.27507400512695,0.00012460934522096068,1051,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,5,0,!,30,-60.57087326049805,0.0005723740323446691,120,0.0,0.0,0.0,0,-54.71769332885742,0.19938096404075623,1,1.0,1.0,1.0,986,-59.48851013183594,0.0016894458094611764,51,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,6,198,"
",30,-66.00605010986328,0.0001936302869580686,304,0.0,0.0,0.0,0,-61.43479919433594,0.018717261031270027,5,0.0,1.0,1.0,986,-64.37699127197266,0.0009873349918052554,72,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,7,1212,This,30,-56.740875244140625,5.657522342517041e-05,1380,0.0,0.0,0.0,0,-54.40959930419922,0.0005822192179039121,227,0.0,0.0,0.0,986,-53.937217712402344,0.0009337686933577061,147,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,8,318, is,30,-49.52402114868164,0.00013254070654511452,465,0.0,0.0,0.0,0,-45.81381607055664,0.0054159024730324745,13,0.0,0.0,0.0,986,-48.54759216308594,0.00035189001937396824,196,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,9,262, the,30,-44.21409606933594,3.9123620808823034e-05,503,0.0,0.0,0.0,0,-39.50661849975586,0.004333816934376955,11,0.0,0.0,0.0,986,-41.868534088134766,0.00040841687587089837,83,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,10,1074, team,5633,-51.08382034301758,1.0672449207049794e-05,4843,0.0,0.0,0.0,0,-47.10060119628906,0.0005729993572458625,127,0.0,0.0,0.0,986,-48.05326461791992,0.00022101294598542154,357,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,11,0,!,30,-36.905052185058594,4.478641494642943e-05,33,0.0,0.0,0.0,0,-26.9078369140625,0.9837431311607361,1,1.0,1.0,1.0,986,-36.909751892089844,4.4576423533726484e-05,34,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,12,198,"
",30,-48.31560134887695,0.00021159926836844534,206,0.0,0.0,0.0,0,-41.941017150878906,0.12415404617786407,2,0.0,1.0,1.0,986,-46.91027069091797,0.0008626636699773371,46,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,13,1212,This,30,-50.56764221191406,7.179849490057677e-05,1077,0.0,0.0,0.0,0,-47.05868148803711,0.002399040851742029,58,0.0,0.0,0.0,986,-47.658409118652344,0.0013169801095500588,109,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,14,318, is,30,-32.00886154174805,0.00020888063590973616,230,0.0,0.0,0.0,0,-26.588232040405273,0.047211483120918274,3,0.0,1.0,1.0,986,-30.996078491210938,0.0005751011776737869,83,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,15,262, the,30,-17.35085678100586,3.690822632052004e-05,293,0.0,0.0,0.0,0,-11.243030548095703,0.016585111618041992,2,0.0,1.0,1.0,986,-15.06875991821289,0.0003615973691921681,54,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,16,1074, team,30,-21.228296279907227,7.33669776309398e-06,3243,0.0,0.0,0.0,0,-14.87557601928711,0.004211646970361471,7,0.0,0.0,1.0,986,-17.593547821044922,0.00027800450334325433,132,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,17,0,!,30,-12.839692115783691,1.443412656954024e-05,20,0.0,0.0,0.0,0,-1.7017297744750977,0.9920786023139954,1,1.0,1.0,1.0,986,-13.469354629516602,7.690092388656922e-06,25,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,18,198,"
",30,-29.339065551757812,0.0002170601801481098,142,0.0,0.0,0.0,0,-22.347673416137695,0.23599521815776825,2,0.0,1.0,1.0,986,-28.111570358276367,0.0007407549419440329,37,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,19,1212,This,30,-42.52045822143555,7.702146103838459e-05,904,0.0,0.0,0.0,0,-38.064693450927734,0.006633241195231676,14,0.0,0.0,0.0,986,-39.57349395751953,0.0014671080280095339,86,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,20,318, is,30,-11.240982055664062,0.00023588757903780788,121,0.0,0.0,0.0,0,-4.355070114135742,0.2307908833026886,2,0.0,1.0,1.0,986,-10.224991798400879,0.0006515444256365299,44,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,21,262, the,30,-24.13956642150879,3.3238517062272877e-05,206,0.0,0.0,0.0,0,-16.874725341796875,0.04750311002135277,2,0.0,1.0,1.0,986,-21.91713523864746,0.0003067829820793122,32,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,22,1074, team,30,-13.900625228881836,5.690304988092976e-06,1845,0.0,0.0,0.0,0,-6.046355247497559,0.01466227788478136,3,0.0,1.0,1.0,986,-10.11026668548584,0.00025192249449901283,59,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,wrong_marker,1.0,exclamation,23,0,!,30,-35.28657531738281,6.768735147488769e-06,19,0.0,0.0,0.0,0,-23.388547897338867,0.9948444366455078,1,1.0,1.0,1.0,986,-36.076019287109375,3.0736637199879624e-06,25,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,0,198,"
",5633,-55.15512466430664,0.0002540172135923058,473,0.0,0.0,0.0,5145,-53.86464309692383,0.000923234794754535,103,0.0,0.0,0.0,2644,-54.71632766723633,0.00039394013583660126,301,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,1,29881,Copy,30,-47.80766677856445,0.00010772416135296226,930,0.0,0.0,0.0,0,-47.54914474487305,0.0001395043800584972,748,0.0,0.0,0.0,986,-45.8099365234375,0.0007941753137856722,153,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,2,25,:,30,-34.76848220825195,0.0001341620518360287,181,0.0,0.0,0.0,0,-33.031494140625,0.0007620684918947518,52,0.0,0.0,0.0,986,-33.939327239990234,0.00030741645605303347,95,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,3,198,"
",5633,-24.96364402770996,7.586224091937765e-05,469,0.0,0.0,0.0,5145,-23.91980743408203,0.0002154557587346062,155,0.0,0.0,0.0,2644,-23.295082092285156,0.00040241380338557065,70,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,4,29881,Copy,30,-40.824546813964844,8.37884217617102e-05,781,0.0,0.0,0.0,0,-40.456634521484375,0.00012105041241738945,593,0.0,0.0,0.0,986,-39.19383239746094,0.0004279512504581362,191,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,5,25,:,30,-8.914481163024902,8.910497854230925e-05,106,0.0,0.0,0.0,0,-7.624650478363037,0.00032364457729272544,40,0.0,0.0,0.0,986,-8.061338424682617,0.00020913039043080062,52,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,6,198,"
",5633,-11.836196899414062,4.616080695996061e-05,498,0.0,0.0,0.0,5145,-10.96495532989502,0.00011031861504307017,192,0.0,0.0,0.0,2644,-9.833785057067871,0.000341908453265205,56,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,7,29881,Copy,30,-36.40048599243164,5.873884219909087e-05,701,0.0,0.0,0.0,0,-35.96992111206055,9.034774848259985e-05,513,0.0,0.0,0.0,1399,-34.85989761352539,0.0002741538919508457,204,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,8,25,:,30,-5.266067028045654,6.475451664300635e-05,78,0.0,0.0,0.0,0,-4.342617034912109,0.0001630493497941643,39,0.0,0.0,0.0,986,-4.402929782867432,0.00015350600006058812,41,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,9,198,"
",5633,-3.8010506629943848,3.1922434573061764e-05,534,0.0,0.0,0.0,5145,-3.0627708435058594,6.679241050733253e-05,246,0.0,0.0,0.0,2644,-1.598185658454895,0.0002889271709136665,48,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,10,29881,Copy,30,-32.577083587646484,4.603496927302331e-05,678,0.0,0.0,0.0,0,-32.11931228637695,7.276045653270558e-05,485,0.0,0.0,0.0,1399,-30.94068145751953,0.0002364657848374918,185,0.0,0.0,0.0
distilgpt2,question,in_template,The engineer completed the task for the team.,copy_sentence,1,random_norm,1.0,random_norm,11,25,:,30,-10.169475555419922,5.042158591095358e-05,65,0.0,0.0,0.0,0,-9.50058650970459,9.842643339652568e-05,43,0.0,0.0,0.0,986,-9.257411003112793,0.0001255224779015407,34,0.0,0.0,0.0
