model,layer,source,target,target_class,control,gain,vector_class,prompt,generated,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"Input: The pirate repaired the satellite.
Output:","The satellite was damaged.
The satellite was damaged?
The satellite was damaged?
The satellite was damaged?
The satellite was damaged",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,133.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,modality,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
Output: The pirate repaired the satellite.
Output: The pirate repaired the satellite.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,1.0,question,"Input: The pirate repaired the satellite.
Output:","The satellite was damaged.
The satellite was damaged?
The satellite was damaged?
The satellite was damaged?
The satellite was damaged",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,133.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,1.0,modality,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,1.0,random_norm,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
Output: The pirate repaired the satellite.
Output: The pirate repaired the satellite.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
gpt2,2,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,1.0,question,"Input: The pirate repaired the satellite.
Output:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.25,question,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.25,tense_shift,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.25,random_norm,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.25,question,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.5,question,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.5,tense_shift,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.5,random_norm,"Input: The vampire found the island.
Output:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.5,question,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"Input: The vampire found the island.
Output:","The vampire found the island.
The vampire found the island?
The vampire found the island?
The vampire found the island?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,119.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,tense_shift,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,1.0,question,"Input: The vampire found the island.
Output:","The vampire found the island.

The answer is:

The answer is:

The answer is:

The answer",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,1.0,tense_shift,"Input: The vampire found the island.
Output:","The vampire found the island.
Output: The vampire found the island.
Output: The vampire found the island.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,1.0,random_norm,"Input: The vampire found the island.
Output:","The vampire found the island.

The vampire found the island.

The vampire found the island.

The vampire found the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,1.0,question,"Input: The vampire found the island.
Output:","The vampire found the island.

Output: The vampire found the island.

Output: The vampire found the island.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.25,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.25,negation,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.25,random_norm,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.25,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.5,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.5,negation,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
Output: The mermaid built the tower.
Output: The mermaid built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.5,random_norm,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.5,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
The mermaid built the tower?
The mermaid built the tower?
The mermaid built",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,104.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,negation,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.

Output: The mermaid built the tower.

Output: The mermaid built the tower",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,1.0,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.

The answer is:

The answer is:

The answer is:

The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,1.0,negation,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid built",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,1.0,random_norm,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.

The mermaid built the tower.

The mermaid was built: By: By:",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,90.0
gpt2,2,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,1.0,question,"Input: The mermaid built the tower.
Output:","The mermaid built the tower.

Output: The mermaid built the tower.

Output: The mermaid built the tower",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,none,0.0,,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,target,0.25,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,wrong_class,0.25,modality,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,random_norm,0.25,random_norm,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,negative_target,0.25,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,target,0.5,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The tower built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,wrong_class,0.5,modality,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,random_norm,0.5,random_norm,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,negative_target,0.5,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,target,0.75,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower?
The spirit built the tower?
The spirit built the tower?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,wrong_class,0.75,modality,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,random_norm,0.75,random_norm,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,negative_target,0.75,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,target,1.0,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower?
The tower?
The tower?
The tower?
The tower",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,98.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,wrong_class,1.0,modality,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,random_norm,1.0,random_norm,"Input: The spirit built the tower.
Output:","The tower was built from a very simple design.
The tower was built from a very simple design. The tower was built from a very",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,125.0
gpt2,2,The spirit built the tower.,I wonder whether the spirit built the tower.,question,negative_target,1.0,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,none,0.0,,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,target,0.25,question,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,wrong_class,0.25,modality,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,random_norm,0.25,random_norm,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,negative_target,0.25,question,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,target,0.5,question,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,wrong_class,0.5,modality,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,random_norm,0.5,random_norm,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,negative_target,0.5,question,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,target,0.75,question,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle is not a satellite.
The oracle is not a satellite?
The or",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,103.0
