model,target_class,source_set,source_id,source,prompt_style,layer,control,gain,fixed_setting_source,vector_class,prompt,generated,generated_chars,target_marker_hit,content_preserved,target_and_preserved,target_step0_prob,target_step0_rank,target_best_prob,target_best_rank,target_top1_any,target_top5_any
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,same_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Same sentence:
The grant application was revised after the committee meeting.
Same:","The committee meeting was held on the same day as the hearing.
Same:
The committee meeting was held on",102.0,0.0,0.0,0.0,5.32084159203805e-05,899.0,0.0002132374356733635,125.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,same_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Same sentence:
The grant application was revised after the committee meeting.
Same:","The committee meeting was held on the same day as the committee meeting.
The committee meeting was held on the same",115.0,0.0,0.0,0.0,6.957312143640593e-05,659.0,0.028651177883148193,3.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,same_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Same sentence:
The grant application was revised after the committee meeting.
Same:","The committee meeting was held on the same day.
The committee meeting was held on the same day!
The",99.0,0.0,0.0,0.0,5.7054869103012607e-05,988.0,0.017239877954125404,4.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,same_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Same sentence:
The grant application was revised after the committee meeting.
Same:","The committee meeting was held on the same day.
Same:
The committee meeting was held on the same day",100.0,0.0,0.0,0.0,0.00010856766311917454,717.0,0.0005403982358984649,61.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,0,The grant application was revised after the committee meeting.,same_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Same sentence:
The grant application was revised after the committee meeting.
Same:","The committee meeting was adjourned.
Same:
The committee meeting was adjourned.
Same:
The",89.0,0.0,0.0,0.0,5.506919842446223e-05,1007.0,5.916023292229511e-05,218.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",repeat_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Repeat this sentence:
Although the prototype overheated, the backup controller stayed online.
Repeated:","The backup controller was not working.
The backup controller was not working.
The backup controller was not working.",116.0,0.0,0.0,0.0,8.178776624845341e-05,801.0,0.0003326523583382368,39.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",repeat_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
Although the prototype overheated, the backup controller stayed online.
Repeated:","The backup controller was not working.
The backup controller was not working?
The backup controller was not working?",116.0,1.0,0.0,0.0,8.346283721039072e-05,603.0,0.8763265609741211,1.0,1.0,1.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",repeat_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Repeat this sentence:
Although the prototype overheated, the backup controller stayed online.
Repeated:","The backup controller was still online.
The backup controller was still online!
The backup controller was still online!",119.0,0.0,0.0,0.0,6.765635771444067e-05,767.0,0.006134072784334421,7.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",repeat_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Repeat this sentence:
Although the prototype overheated, the backup controller stayed online.
Repeated:","The backup controller was not working.
The backup controller was not working.
The backup controller was not working.",116.0,0.0,0.0,0.0,0.00011033182090613991,734.0,0.0005344922537915409,65.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",repeat_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
Although the prototype overheated, the backup controller stayed online.
Repeated:","The backup controller was still working.
The backup controller was still working.
The backup controller was still working.",122.0,0.0,0.0,0.0,0.00010512679000385106,785.0,0.0001546026614960283,172.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",copy_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Copy this sentence:
Although the prototype overheated, the backup controller stayed online.
Copy:","The backup controller was able to keep the backup controller running.
Copy:
The backup controller was able to keep",114.0,0.0,0.0,0.0,0.0002035736251855269,415.0,0.00044507207348942757,85.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",copy_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Copy this sentence:
Although the prototype overheated, the backup controller stayed online.
Copy:","The backup controller was a little more complicated.
The backup controller was a little more complicated?
The backup controller",127.0,1.0,0.0,0.0,0.00014970917254686356,493.0,0.7067359089851379,1.0,1.0,1.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",copy_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Copy this sentence:
Although the prototype overheated, the backup controller stayed online.
Copy:","The backup controller was a little more complicated.
The backup controller was a little more complicated!
The backup controller",127.0,0.0,0.0,0.0,0.00011456112406449392,749.0,0.005463435314595699,9.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",copy_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Copy this sentence:
Although the prototype overheated, the backup controller stayed online.
Copy:","The backup controller was able to keep the backup controller online.
The backup controller was able to keep the backup controller",129.0,0.0,0.0,0.0,0.0001932335289893672,465.0,0.0002451114705763757,96.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",copy_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Copy this sentence:
Although the prototype overheated, the backup controller stayed online.
Copy:","The backup controller was still working, but the backup controller was still working.
Copy:
The backup controller was",117.0,0.0,0.0,0.0,0.00021301167726051062,420.0,0.0007362129399552941,104.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",same_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Same sentence:
Although the prototype overheated, the backup controller stayed online.
Same:","The backup controller was not working.
Same:
The backup controller was not working.
Same:
The",93.0,0.0,0.0,0.0,7.557310891570523e-05,710.0,0.0002968116314150393,52.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",same_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Same sentence:
Although the prototype overheated, the backup controller stayed online.
Same:","The backup controller was not working.
The backup controller was not working?
The backup controller was not working?",116.0,1.0,0.0,0.0,6.884145841468126e-05,532.0,0.8794261813163757,1.0,1.0,1.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",same_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Same sentence:
Although the prototype overheated, the backup controller stayed online.
Same:","The backup controller was able to keep the backup controller online.
The backup controller was able to keep the backup controller",129.0,0.0,0.0,0.0,5.247901935945265e-05,934.0,0.0005779393250122666,91.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",same_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Same sentence:
Although the prototype overheated, the backup controller stayed online.
Same:","The prototype overheated, but the backup controller stayed online.
Same: The prototype overheated, but the backup controller",124.0,0.0,1.0,0.0,6.238050264073536e-05,992.0,0.0025057299062609673,18.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,1,"Although the prototype overheated, the backup controller stayed online.",same_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Same sentence:
Although the prototype overheated, the backup controller stayed online.
Same:","The backup controller was still working.
The backup controller was still working.
The backup controller was still working.",122.0,0.0,0.0,0.0,4.643318970920518e-05,1262.0,0.00015877078112680465,185.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,repeat_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Repeat this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Repeated:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.00012931940727867186,531.0,0.00046520709292963147,37.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,repeat_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Repeated:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.00011889531742781401,504.0,0.049580127000808716,3.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,repeat_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Repeat this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Repeated:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,9.046820923686028e-05,611.0,0.0012523249024525285,26.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,repeat_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Repeat this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Repeated:","Marina's lab technician, who was working on the freezer alarm, was working on the freezer alarm.
Mar",100.0,0.0,0.0,0.0,0.00012653855083044618,633.0,0.0006100070313550532,75.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,repeat_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Repeated:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.00013610586756840348,577.0,0.0008569596684537828,21.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,copy_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Copy this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Copy:","Marina's freezer alarm sounded.
Marina's freezer alarm sounded.
Marina's freezer alarm sounded.",95.0,0.0,0.0,0.0,0.00014212277892511338,638.0,0.0029582642018795013,25.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,copy_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Copy this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Copy:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.0001371945982100442,582.0,0.09985185414552689,2.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,copy_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Copy this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Copy:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.00010690547060221434,720.0,0.001480952720157802,14.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,copy_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Copy this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Copy:","Marina's freezer alarm sounded.
Marina's freezer alarm sounded.
Marina's freezer alarm sounded.",95.0,0.0,0.0,0.0,9.426484757568687e-05,984.0,0.009945386089384556,12.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,copy_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Copy this sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Copy:","Marina, I'm sorry. I'm sorry. I'm sorry.
I'm sorry.
I'm",55.0,0.0,0.0,0.0,0.00013822528126183897,687.0,0.0015098132425919175,51.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,same_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Same sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Same:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.0001372828264720738,469.0,0.00028221376123838127,19.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,same_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Same sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Same:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.0001255726965609938,431.0,0.07065396755933762,3.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,same_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Same sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Same:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.00012534033157862723,497.0,0.0010444403160363436,19.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,same_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Same sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Same:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.00028021237812936306,268.0,0.001267441431991756,8.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,2,Marina counted 73 labeled samples before the freezer alarm sounded.,same_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Same sentence:
Marina counted 73 labeled samples before the freezer alarm sounded.
Same:","Marina counted 73 labeled samples before the freezer alarm sounded.
Marina counted 73 labeled samples before the freezer alarm",126.0,0.0,1.0,0.0,0.00010817328438861296,620.0,0.0005843332619406283,28.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,repeat_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Repeat this sentence:
The dataset was anonymized by the hospital team in Krakow.
Repeated:","The dataset was anonymized by the hospital team in Krakow.
The data was anonymized by the hospital",98.0,0.0,1.0,0.0,0.00012406001042108983,713.0,0.00012406001042108983,81.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,repeat_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
The dataset was anonymized by the hospital team in Krakow.
Repeated:","The data were anonymized by the hospital team in Krakow.

The data were anonymized by",85.0,0.0,1.0,0.0,0.00014334742445498705,462.0,0.02818836271762848,3.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,repeat_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Repeat this sentence:
The dataset was anonymized by the hospital team in Krakow.
Repeated:","The dataset was anonymized by the hospital team in Krakow.
The dataset was anonymized by the hospital",101.0,0.0,1.0,0.0,0.0001219131809193641,626.0,0.0003703282563947141,31.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,repeat_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Repeat this sentence:
The dataset was anonymized by the hospital team in Krakow.
Repeated:","The data was anonymized by the hospital team in Krakow.
The data was anonymized by the hospital team",100.0,0.0,1.0,0.0,4.711067595053464e-05,2365.0,0.0006693406030535698,43.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,repeat_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
The dataset was anonymized by the hospital team in Krakow.
Repeated:","The data was anonymized by the hospital team in Krakow.
The data was anonymized by the hospital",95.0,0.0,1.0,0.0,0.00013754513929598033,674.0,0.00013754513929598033,96.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,copy_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Copy this sentence:
The dataset was anonymized by the hospital team in Krakow.
Copy:","The data was anonymized by the hospital team in Krakow.
The data was anonymized by the hospital",95.0,0.0,1.0,0.0,0.00011988776532234624,820.0,0.0001928236015373841,55.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,copy_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Copy this sentence:
The dataset was anonymized by the hospital team in Krakow.
Copy:","The data was anonymized by the hospital team in Krakow.

The data was anonymized by",83.0,0.0,1.0,0.0,0.000129527848912403,629.0,0.0525299534201622,2.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,copy_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Copy this sentence:
The dataset was anonymized by the hospital team in Krakow.
Copy:","The dataset was anonymized by the hospital team in Krakow.
The dataset was anonymized by the hospital",101.0,0.0,1.0,0.0,8.531991625204682e-05,1115.0,0.0006940106977708638,19.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,copy_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Copy this sentence:
The dataset was anonymized by the hospital team in Krakow.
Copy:","The dataset was anonymized by the hospital team in Krakow.
The data were anonymized by the hospital",99.0,0.0,1.0,0.0,7.664443546673283e-05,1553.0,0.0003403985174372792,59.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,copy_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Copy this sentence:
The dataset was anonymized by the hospital team in Krakow.
Copy:","The data was collected from the hospital's data center in Krakow, Poland.
The data was collected from",101.0,0.0,0.0,0.0,0.00012205319217173383,782.0,0.00017026436398737133,260.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,same_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Same sentence:
The dataset was anonymized by the hospital team in Krakow.
Same:","The dataset was anonymized by the hospital team in Krakow.
Same:
The dataset was anonymized",91.0,0.0,1.0,0.0,0.00012630005949176848,568.0,0.00012815295485779643,23.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,same_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Same sentence:
The dataset was anonymized by the hospital team in Krakow.
Same:","The dataset was anonymized by the hospital team in Krakow.
The dataset was anonymized by the hospital",101.0,0.0,1.0,0.0,0.00015789920871611685,310.0,0.04174017906188965,2.0,0.0,1.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,same_sentence,2,wrong_marker,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,exclamation,"Same sentence:
The dataset was anonymized by the hospital team in Krakow.
Same:","The dataset was anonymized by the hospital team in Krakow.
The dataset was anonymized by the hospital",101.0,0.0,1.0,0.0,0.00010808711522258818,602.0,0.000785220181569457,20.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,same_sentence,2,random_norm,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,random_norm,"Same sentence:
The dataset was anonymized by the hospital team in Krakow.
Same:","The dataset was anonymized by the hospital team in Krakow.
Same:
The dataset was anonymized",91.0,0.0,1.0,0.0,0.00015748255827929825,525.0,0.00021555456623900682,68.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,3,The dataset was anonymized by the hospital team in Krakow.,same_sentence,2,negative_target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Same sentence:
The dataset was anonymized by the hospital team in Krakow.
Same:","The dataset was anonymized by the hospital team in Krakow.
Same:
The dataset was anonymized",91.0,0.0,1.0,0.0,7.052274304442108e-05,1114.0,0.00021081250451970845,86.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,4,"When the parser failed, the notebook saved a diagnostic snapshot.",repeat_sentence,2,none,0.0,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,,"Repeat this sentence:
When the parser failed, the notebook saved a diagnostic snapshot.
Repeated:","The notebook saved a diagnostic snapshot.
The notebook saved a diagnostic snapshot.
The notebook saved a diagnostic snapshot.",125.0,0.0,0.0,0.0,0.00022257158707361668,340.0,0.00036103453021496534,61.0,0.0,0.0
gpt2,question,confirmatory_hard_heldout,4,"When the parser failed, the notebook saved a diagnostic snapshot.",repeat_sentence,2,target,0.75,fixed from prior GPT-2 question/final-marker audits; no tuning in this run,question,"Repeat this sentence:
When the parser failed, the notebook saved a diagnostic snapshot.
Repeated:","The notebook saved a diagnostic snapshot.

The notebook saved a diagnostic snapshot?

The notebook saved a",106.0,1.0,0.0,0.0,0.00022200059902388602,254.0,0.6241870522499084,1.0,1.0,1.0
