model,base_id,class,variant_id,source,target,delta_norm
roberta-base,1,negation,4,The nurse discovered a complex machine.,The nurse could not discover a complex machine.,1.5212525129318237
roberta-base,1,question,0,The nurse discovered a complex machine.,Did the nurse discover a complex machine?,1.4420828819274902
roberta-base,1,question,1,The nurse discovered a complex machine.,Was it true that the nurse discovered a complex machine?,2.020350933074951
roberta-base,1,question,2,The nurse discovered a complex machine.,Could the nurse have discovered a complex machine?,1.7948583364486694
roberta-base,1,question,3,The nurse discovered a complex machine.,Is there evidence that the nurse discovered a complex machine?,1.9991971254348755
roberta-base,1,question,4,The nurse discovered a complex machine.,Can we confirm that the nurse discovered a complex machine?,1.8732365369796753
roberta-base,1,past_to_future,0,The nurse discovered a complex machine.,The nurse will discover a complex machine.,1.0867133140563965
roberta-base,1,past_to_future,1,The nurse discovered a complex machine.,The nurse is going to discover a complex machine.,1.9676473140716553
roberta-base,1,past_to_future,2,The nurse discovered a complex machine.,The nurse is expected to discover a complex machine.,1.8903181552886963
roberta-base,1,past_to_future,3,The nurse discovered a complex machine.,The nurse is likely to discover a complex machine.,1.7611033916473389
roberta-base,1,past_to_future,4,The nurse discovered a complex machine.,The nurse plans to discover a complex machine.,1.4805337190628052
roberta-base,1,certainty_to_uncertainty,0,The nurse discovered a complex machine.,The nurse may have discovered a complex machine.,1.3266856670379639
roberta-base,1,certainty_to_uncertainty,1,The nurse discovered a complex machine.,The nurse might have discovered a complex machine.,1.455979347229004
roberta-base,1,certainty_to_uncertainty,2,The nurse discovered a complex machine.,It is possible that the nurse discovered a complex machine.,2.291952133178711
roberta-base,1,certainty_to_uncertainty,3,The nurse discovered a complex machine.,There is a chance that the nurse discovered a complex machine.,2.155256748199463
roberta-base,1,certainty_to_uncertainty,4,The nurse discovered a complex machine.,The nurse probably discovered a complex machine.,1.053726077079773
roberta-base,1,active_to_passive,0,The nurse discovered a complex machine.,A complex machine was discovered by the nurse.,1.4493259191513062
roberta-base,1,active_to_passive,1,The nurse discovered a complex machine.,A complex machine had been discovered by the nurse.,1.818070888519287
roberta-base,1,active_to_passive,2,The nurse discovered a complex machine.,A complex machine got discovered by the nurse.,1.585468053817749
roberta-base,1,active_to_passive,3,The nurse discovered a complex machine.,A complex machine was successfully discovered by the nurse.,1.6945507526397705
roberta-base,1,active_to_passive,4,The nurse discovered a complex machine.,A complex machine was eventually discovered by the nurse.,1.7485041618347168
roberta-base,1,formalization,0,The nurse discovered a complex machine.,It is true that the nurse discovered a complex machine.,2.0823094844818115
roberta-base,1,formalization,1,The nurse discovered a complex machine.,The statement that the nurse discovered a complex machine is true.,2.1782400608062744
roberta-base,1,formalization,2,The nurse discovered a complex machine.,One can state that the nurse discovered a complex machine.,1.7498779296875
roberta-base,1,formalization,3,The nurse discovered a complex machine.,It can be formally said that the nurse discovered a complex machine.,2.559523820877075
roberta-base,1,formalization,4,The nurse discovered a complex machine.,The fact is that the nurse discovered a complex machine.,2.0545589923858643
roberta-base,2,negation,0,The manager reported the event.,The manager did not report the event.,1.3358111381530762
roberta-base,2,negation,1,The manager reported the event.,The manager never reported the event.,1.1694657802581787
roberta-base,2,negation,2,The manager reported the event.,The manager failed to report the event.,1.490189790725708
roberta-base,2,negation,3,The manager reported the event.,The manager was unable to report the event.,1.8352903127670288
roberta-base,2,negation,4,The manager reported the event.,The manager could not report the event.,1.5326099395751953
roberta-base,2,question,0,The manager reported the event.,Did the manager report the event?,1.5972535610198975
roberta-base,2,question,1,The manager reported the event.,Was it true that the manager reported the event?,2.08601975440979
roberta-base,2,question,2,The manager reported the event.,Could the manager have reported the event?,1.816893458366394
roberta-base,2,question,3,The manager reported the event.,Is there evidence that the manager reported the event?,2.1916115283966064
roberta-base,2,question,4,The manager reported the event.,Can we confirm that the manager reported the event?,1.9538992643356323
roberta-base,2,past_to_future,0,The manager reported the event.,The manager will report the event.,1.3070887327194214
roberta-base,2,past_to_future,1,The manager reported the event.,The manager is going to report the event.,1.79228675365448
roberta-base,2,past_to_future,2,The manager reported the event.,The manager is expected to report the event.,1.8784617185592651
roberta-base,2,past_to_future,3,The manager reported the event.,The manager is likely to report the event.,1.7105308771133423
roberta-base,2,past_to_future,4,The manager reported the event.,The manager plans to report the event.,1.4336355924606323
roberta-base,2,certainty_to_uncertainty,0,The manager reported the event.,The manager may have reported the event.,1.3454668521881104
roberta-base,2,certainty_to_uncertainty,1,The manager reported the event.,The manager might have reported the event.,1.4223055839538574
roberta-base,2,certainty_to_uncertainty,2,The manager reported the event.,It is possible that the manager reported the event.,1.9656310081481934
roberta-base,2,certainty_to_uncertainty,3,The manager reported the event.,There is a chance that the manager reported the event.,1.9710599184036255
roberta-base,2,certainty_to_uncertainty,4,The manager reported the event.,The manager probably reported the event.,1.024130940437317
roberta-base,2,active_to_passive,0,The manager reported the event.,The event was reported by the manager.,1.4133440256118774
roberta-base,2,active_to_passive,1,The manager reported the event.,The event had been reported by the manager.,1.9076069593429565
roberta-base,2,active_to_passive,2,The manager reported the event.,The event got reported by the manager.,1.410374641418457
roberta-base,2,active_to_passive,3,The manager reported the event.,The event was successfully reported by the manager.,1.679937481880188
roberta-base,2,active_to_passive,4,The manager reported the event.,The event was eventually reported by the manager.,1.6838490962982178
roberta-base,2,formalization,0,The manager reported the event.,It is true that the manager reported the event.,1.7377787828445435
roberta-base,2,formalization,1,The manager reported the event.,The statement that the manager reported the event is true.,1.9392391443252563
roberta-base,2,formalization,2,The manager reported the event.,One can state that the manager reported the event.,1.4579453468322754
roberta-base,2,formalization,3,The manager reported the event.,It can be formally said that the manager reported the event.,2.2681026458740234
roberta-base,2,formalization,4,The manager reported the event.,The fact is that the manager reported the event.,1.817839503288269
roberta-base,3,negation,0,The farmer described a black cat.,The farmer did not describe a black cat.,1.2208644151687622
roberta-base,3,negation,1,The farmer described a black cat.,The farmer never described a black cat.,1.2359619140625
roberta-base,3,negation,2,The farmer described a black cat.,The farmer failed to describe a black cat.,1.213997483253479
roberta-base,3,negation,3,The farmer described a black cat.,The farmer was unable to describe a black cat.,1.605773687362671
roberta-base,3,negation,4,The farmer described a black cat.,The farmer could not describe a black cat.,1.3661742210388184
roberta-base,3,question,0,The farmer described a black cat.,Did the farmer describe a black cat?,1.3975449800491333
roberta-base,3,question,1,The farmer described a black cat.,Was it true that the farmer described a black cat?,2.0335981845855713
roberta-base,3,question,2,The farmer described a black cat.,Could the farmer have described a black cat?,1.779676079750061
roberta-base,3,question,3,The farmer described a black cat.,Is there evidence that the farmer described a black cat?,1.9705541133880615
roberta-base,3,question,4,The farmer described a black cat.,Can we confirm that the farmer described a black cat?,1.8378373384475708
roberta-base,3,past_to_future,0,The farmer described a black cat.,The farmer will describe a black cat.,1.0246480703353882
roberta-base,3,past_to_future,1,The farmer described a black cat.,The farmer is going to describe a black cat.,1.6310971975326538
roberta-base,3,past_to_future,2,The farmer described a black cat.,The farmer is expected to describe a black cat.,1.7115048170089722
roberta-base,3,past_to_future,3,The farmer described a black cat.,The farmer is likely to describe a black cat.,1.769040584564209
roberta-base,3,past_to_future,4,The farmer described a black cat.,The farmer plans to describe a black cat.,1.408515453338623
roberta-base,3,certainty_to_uncertainty,0,The farmer described a black cat.,The farmer may have described a black cat.,1.2538756132125854
roberta-base,3,certainty_to_uncertainty,1,The farmer described a black cat.,The farmer might have described a black cat.,1.4325149059295654
roberta-base,3,certainty_to_uncertainty,2,The farmer described a black cat.,It is possible that the farmer described a black cat.,2.0928685665130615
roberta-base,3,certainty_to_uncertainty,3,The farmer described a black cat.,There is a chance that the farmer described a black cat.,2.029331684112549
roberta-base,3,certainty_to_uncertainty,4,The farmer described a black cat.,The farmer probably described a black cat.,1.0578557252883911
roberta-base,3,active_to_passive,0,The farmer described a black cat.,A black cat was described by the farmer.,1.1180610656738281
roberta-base,3,active_to_passive,1,The farmer described a black cat.,A black cat had been described by the farmer.,1.5378130674362183
roberta-base,3,active_to_passive,2,The farmer described a black cat.,A black cat got described by the farmer.,1.4840569496154785
roberta-base,3,active_to_passive,3,The farmer described a black cat.,A black cat was successfully described by the farmer.,1.3326935768127441
roberta-base,3,active_to_passive,4,The farmer described a black cat.,A black cat was eventually described by the farmer.,1.3953015804290771
roberta-base,3,formalization,0,The farmer described a black cat.,It is true that the farmer described a black cat.,1.950695514678955
roberta-base,3,formalization,1,The farmer described a black cat.,The statement that the farmer described a black cat is true.,2.1204190254211426
roberta-base,3,formalization,2,The farmer described a black cat.,One can state that the farmer described a black cat.,1.598105788230896
roberta-base,3,formalization,3,The farmer described a black cat.,It can be formally said that the farmer described a black cat.,2.44927978515625
roberta-base,3,formalization,4,The farmer described a black cat.,The fact is that the farmer described a black cat.,1.7686163187026978
roberta-base,4,negation,0,The musician approved the project.,The musician did not approve the project.,1.4041178226470947
roberta-base,4,negation,1,The musician approved the project.,The musician never approved the project.,1.3292391300201416
roberta-base,4,negation,2,The musician approved the project.,The musician failed to approve the project.,1.4729350805282593
roberta-base,4,negation,3,The musician approved the project.,The musician was unable to approve the project.,1.8638355731964111
roberta-base,4,negation,4,The musician approved the project.,The musician could not approve the project.,1.4843944311141968
roberta-base,4,question,0,The musician approved the project.,Did the musician approve the project?,1.699373483657837
roberta-base,4,question,1,The musician approved the project.,Was it true that the musician approved the project?,2.172882556915283
roberta-base,4,question,2,The musician approved the project.,Could the musician have approved the project?,1.9606167078018188
roberta-base,4,question,3,The musician approved the project.,Is there evidence that the musician approved the project?,2.2929763793945312
roberta-base,4,question,4,The musician approved the project.,Can we confirm that the musician approved the project?,2.0646331310272217
roberta-base,4,past_to_future,0,The musician approved the project.,The musician will approve the project.,1.2537273168563843
roberta-base,4,past_to_future,1,The musician approved the project.,The musician is going to approve the project.,1.7307512760162354
roberta-base,4,past_to_future,2,The musician approved the project.,The musician is expected to approve the project.,2.0597715377807617
roberta-base,4,past_to_future,3,The musician approved the project.,The musician is likely to approve the project.,1.8782812356948853
roberta-base,4,past_to_future,4,The musician approved the project.,The musician plans to approve the project.,1.5283252000808716
roberta-base,4,certainty_to_uncertainty,0,The musician approved the project.,The musician may have approved the project.,1.4050631523132324
roberta-base,4,certainty_to_uncertainty,1,The musician approved the project.,The musician might have approved the project.,1.6064332723617554
roberta-base,4,certainty_to_uncertainty,2,The musician approved the project.,It is possible that the musician approved the project.,2.345642566680908
roberta-base,4,certainty_to_uncertainty,3,The musician approved the project.,There is a chance that the musician approved the project.,2.308494806289673
roberta-base,4,certainty_to_uncertainty,4,The musician approved the project.,The musician probably approved the project.,1.2077443599700928
roberta-base,4,active_to_passive,0,The musician approved the project.,The project was approved by the musician.,1.2799712419509888
roberta-base,4,active_to_passive,1,The musician approved the project.,The project had been approved by the musician.,1.6577303409576416
roberta-base,4,active_to_passive,2,The musician approved the project.,The project got approved by the musician.,1.3818738460540771
roberta-base,4,active_to_passive,3,The musician approved the project.,The project was successfully approved by the musician.,1.667070984840393
roberta-base,4,active_to_passive,4,The musician approved the project.,The project was eventually approved by the musician.,1.744087815284729
roberta-base,4,formalization,0,The musician approved the project.,It is true that the musician approved the project.,1.9852045774459839
roberta-base,4,formalization,1,The musician approved the project.,The statement that the musician approved the project is true.,2.237581491470337
roberta-base,4,formalization,2,The musician approved the project.,One can state that the musician approved the project.,1.7855002880096436
roberta-base,4,formalization,3,The musician approved the project.,It can be formally said that the musician approved the project.,2.6000163555145264
roberta-base,4,formalization,4,The musician approved the project.,The fact is that the musician approved the project.,2.128366470336914
roberta-base,5,negation,0,The chef accepted the family.,The chef did not accept the family.,1.2619152069091797
roberta-base,5,negation,1,The chef accepted the family.,The chef never accepted the family.,1.115188479423523
roberta-base,5,negation,2,The chef accepted the family.,The chef failed to accept the family.,1.393418550491333
roberta-base,5,negation,3,The chef accepted the family.,The chef was unable to accept the family.,1.9648523330688477
roberta-base,5,negation,4,The chef accepted the family.,The chef could not accept the family.,1.478740930557251
roberta-base,5,question,0,The chef accepted the family.,Did the chef accept the family?,1.4037882089614868
roberta-base,5,question,1,The chef accepted the family.,Was it true that the chef accepted the family?,2.047229766845703
roberta-base,5,question,2,The chef accepted the family.,Could the chef have accepted the family?,1.8247370719909668
roberta-base,5,question,3,The chef accepted the family.,Is there evidence that the chef accepted the family?,2.1263012886047363
roberta-base,5,question,4,The chef accepted the family.,Can we confirm that the chef accepted the family?,1.927929401397705
roberta-base,5,past_to_future,0,The chef accepted the family.,The chef will accept the family.,1.0435594320297241
roberta-base,5,past_to_future,1,The chef accepted the family.,The chef is going to accept the family.,1.794921875
roberta-base,5,past_to_future,2,The chef accepted the family.,The chef is expected to accept the family.,1.8174341917037964
roberta-base,5,past_to_future,3,The chef accepted the family.,The chef is likely to accept the family.,1.8146817684173584
roberta-base,5,past_to_future,4,The chef accepted the family.,The chef plans to accept the family.,1.4464552402496338
roberta-base,5,certainty_to_uncertainty,0,The chef accepted the family.,The chef may have accepted the family.,1.3335405588150024
roberta-base,5,certainty_to_uncertainty,1,The chef accepted the family.,The chef might have accepted the family.,1.4793641567230225
roberta-base,5,certainty_to_uncertainty,2,The chef accepted the family.,It is possible that the chef accepted the family.,2.330256462097168
roberta-base,5,certainty_to_uncertainty,3,The chef accepted the family.,There is a chance that the chef accepted the family.,2.223639965057373
roberta-base,5,certainty_to_uncertainty,4,The chef accepted the family.,The chef probably accepted the family.,1.025917649269104
roberta-base,5,active_to_passive,0,The chef accepted the family.,The family was accepted by the chef.,1.4078760147094727
roberta-base,5,active_to_passive,1,The chef accepted the family.,The family had been accepted by the chef.,1.753679633140564
roberta-base,5,active_to_passive,2,The chef accepted the family.,The family got accepted by the chef.,1.532581090927124
roberta-base,5,active_to_passive,3,The chef accepted the family.,The family was successfully accepted by the chef.,1.7102324962615967
roberta-base,5,active_to_passive,4,The chef accepted the family.,The family was eventually accepted by the chef.,1.7791881561279297
roberta-base,5,formalization,0,The chef accepted the family.,It is true that the chef accepted the family.,1.8826535940170288
roberta-base,5,formalization,1,The chef accepted the family.,The statement that the chef accepted the family is true.,2.1526334285736084
roberta-base,5,formalization,2,The chef accepted the family.,One can state that the chef accepted the family.,1.7169411182403564
roberta-base,5,formalization,3,The chef accepted the family.,It can be formally said that the chef accepted the family.,2.5814719200134277
roberta-base,5,formalization,4,The chef accepted the family.,The fact is that the chef accepted the family.,2.0738513469696045
roberta-base,6,negation,0,The student described the data.,The student did not describe the data.,1.4555165767669678
roberta-base,6,negation,1,The student described the data.,The student never described the data.,1.4618396759033203
roberta-base,6,negation,2,The student described the data.,The student failed to describe the data.,1.522310495376587
roberta-base,6,negation,3,The student described the data.,The student was unable to describe the data.,2.085397481918335
roberta-base,6,negation,4,The student described the data.,The student could not describe the data.,1.621769666671753
roberta-base,6,question,0,The student described the data.,Did the student describe the data?,1.6655877828598022
roberta-base,6,question,1,The student described the data.,Was it true that the student described the data?,2.2374227046966553
roberta-base,6,question,2,The student described the data.,Could the student have described the data?,2.033630132675171
roberta-base,6,question,3,The student described the data.,Is there evidence that the student described the data?,2.2719521522521973
roberta-base,6,question,4,The student described the data.,Can we confirm that the student described the data?,2.260479688644409
roberta-base,6,past_to_future,0,The student described the data.,The student will describe the data.,1.5265642404556274
roberta-base,6,past_to_future,1,The student described the data.,The student is going to describe the data.,1.9746779203414917
roberta-base,6,past_to_future,2,The student described the data.,The student is expected to describe the data.,2.172020673751831
roberta-base,6,past_to_future,3,The student described the data.,The student is likely to describe the data.,1.8703911304473877
roberta-base,6,past_to_future,4,The student described the data.,The student plans to describe the data.,1.4353210926055908
roberta-base,6,certainty_to_uncertainty,0,The student described the data.,The student may have described the data.,1.6288352012634277
roberta-base,6,certainty_to_uncertainty,1,The student described the data.,The student might have described the data.,1.6120201349258423
roberta-base,6,certainty_to_uncertainty,2,The student described the data.,It is possible that the student described the data.,2.242702007293701
roberta-base,6,certainty_to_uncertainty,3,The student described the data.,There is a chance that the student described the data.,2.4177815914154053
roberta-base,6,certainty_to_uncertainty,4,The student described the data.,The student probably described the data.,1.310268521308899
roberta-base,6,active_to_passive,0,The student described the data.,The data was described by the student.,1.3746823072433472
roberta-base,6,active_to_passive,1,The student described the data.,The data had been described by the student.,1.6933614015579224
roberta-base,6,active_to_passive,2,The student described the data.,The data got described by the student.,1.5206211805343628
roberta-base,6,active_to_passive,3,The student described the data.,The data was successfully described by the student.,1.6849486827850342
roberta-base,6,active_to_passive,4,The student described the data.,The data was eventually described by the student.,1.5891821384429932
roberta-base,6,formalization,0,The student described the data.,It is true that the student described the data.,2.0584497451782227
roberta-base,6,formalization,1,The student described the data.,The statement that the student described the data is true.,2.327714681625366
roberta-base,6,formalization,2,The student described the data.,One can state that the student described the data.,1.8776154518127441
roberta-base,6,formalization,3,The student described the data.,It can be formally said that the student described the data.,2.6448135375976562
roberta-base,6,formalization,4,The student described the data.,The fact is that the student described the data.,2.0308430194854736
roberta-base,7,negation,0,The scientist prepared the theory.,The scientist did not prepare the theory.,1.4952754974365234
roberta-base,7,negation,1,The scientist prepared the theory.,The scientist never prepared the theory.,1.3600643873214722
roberta-base,7,negation,2,The scientist prepared the theory.,The scientist failed to prepare the theory.,1.5861155986785889
roberta-base,7,negation,3,The scientist prepared the theory.,The scientist was unable to prepare the theory.,1.9849119186401367
roberta-base,7,negation,4,The scientist prepared the theory.,The scientist could not prepare the theory.,1.681771159172058
roberta-base,7,question,0,The scientist prepared the theory.,Did the scientist prepare the theory?,1.8429254293441772
roberta-base,7,question,1,The scientist prepared the theory.,Was it true that the scientist prepared the theory?,2.363384485244751
roberta-base,7,question,2,The scientist prepared the theory.,Could the scientist have prepared the theory?,2.091663360595703
roberta-base,7,question,3,The scientist prepared the theory.,Is there evidence that the scientist prepared the theory?,2.392007827758789
roberta-base,7,question,4,The scientist prepared the theory.,Can we confirm that the scientist prepared the theory?,2.2577054500579834
roberta-base,7,past_to_future,0,The scientist prepared the theory.,The scientist will prepare the theory.,1.2095898389816284
roberta-base,7,past_to_future,1,The scientist prepared the theory.,The scientist is going to prepare the theory.,1.9138680696487427
roberta-base,7,past_to_future,2,The scientist prepared the theory.,The scientist is expected to prepare the theory.,1.9185069799423218
roberta-base,7,past_to_future,3,The scientist prepared the theory.,The scientist is likely to prepare the theory.,1.9349123239517212
roberta-base,7,past_to_future,4,The scientist prepared the theory.,The scientist plans to prepare the theory.,1.4594173431396484
roberta-base,7,certainty_to_uncertainty,0,The scientist prepared the theory.,The scientist may have prepared the theory.,1.5573017597198486
roberta-base,7,certainty_to_uncertainty,1,The scientist prepared the theory.,The scientist might have prepared the theory.,1.6614941358566284
roberta-base,7,certainty_to_uncertainty,2,The scientist prepared the theory.,It is possible that the scientist prepared the theory.,2.3476521968841553
roberta-base,7,certainty_to_uncertainty,3,The scientist prepared the theory.,There is a chance that the scientist prepared the theory.,2.487199306488037
roberta-base,7,certainty_to_uncertainty,4,The scientist prepared the theory.,The scientist probably prepared the theory.,1.1856505870819092
roberta-base,7,active_to_passive,0,The scientist prepared the theory.,The theory was prepared by the scientist.,1.5467506647109985
roberta-base,7,active_to_passive,1,The scientist prepared the theory.,The theory had been prepared by the scientist.,1.985175609588623
roberta-base,7,active_to_passive,2,The scientist prepared the theory.,The theory got prepared by the scientist.,1.5841766595840454
roberta-base,7,active_to_passive,3,The scientist prepared the theory.,The theory was successfully prepared by the scientist.,1.8576244115829468
roberta-base,7,active_to_passive,4,The scientist prepared the theory.,The theory was eventually prepared by the scientist.,1.7460263967514038
roberta-base,7,formalization,0,The scientist prepared the theory.,It is true that the scientist prepared the theory.,2.254503011703491
roberta-base,7,formalization,1,The scientist prepared the theory.,The statement that the scientist prepared the theory is true.,2.4561638832092285
roberta-base,7,formalization,2,The scientist prepared the theory.,One can state that the scientist prepared the theory.,1.92384672164917
roberta-base,7,formalization,3,The scientist prepared the theory.,It can be formally said that the scientist prepared the theory.,2.6555614471435547
roberta-base,7,formalization,4,The scientist prepared the theory.,The fact is that the scientist prepared the theory.,2.2284762859344482
roberta-base,8,negation,0,The historian prepared a black cat.,The historian did not prepare a black cat.,1.5696003437042236
roberta-base,8,negation,1,The historian prepared a black cat.,The historian never prepared a black cat.,1.3762863874435425
roberta-base,8,negation,2,The historian prepared a black cat.,The historian failed to prepare a black cat.,1.5631425380706787
roberta-base,8,negation,3,The historian prepared a black cat.,The historian was unable to prepare a black cat.,2.080367088317871
roberta-base,8,negation,4,The historian prepared a black cat.,The historian could not prepare a black cat.,1.7344635725021362
roberta-base,8,question,0,The historian prepared a black cat.,Did the historian prepare a black cat?,1.7728468179702759
roberta-base,8,question,1,The historian prepared a black cat.,Was it true that the historian prepared a black cat?,2.247849702835083
roberta-base,8,question,2,The historian prepared a black cat.,Could the historian have prepared a black cat?,2.0445170402526855
roberta-base,8,question,3,The historian prepared a black cat.,Is there evidence that the historian prepared a black cat?,2.1328701972961426
roberta-base,8,question,4,The historian prepared a black cat.,Can we confirm that the historian prepared a black cat?,1.988237977027893
roberta-base,8,past_to_future,0,The historian prepared a black cat.,The historian will prepare a black cat.,1.0325027704238892
roberta-base,8,past_to_future,1,The historian prepared a black cat.,The historian is going to prepare a black cat.,2.0057058334350586
roberta-base,8,past_to_future,2,The historian prepared a black cat.,The historian is expected to prepare a black cat.,1.9598318338394165
roberta-base,8,past_to_future,3,The historian prepared a black cat.,The historian is likely to prepare a black cat.,1.9687824249267578
roberta-base,8,past_to_future,4,The historian prepared a black cat.,The historian plans to prepare a black cat.,1.3863571882247925
roberta-base,8,certainty_to_uncertainty,0,The historian prepared a black cat.,The historian may have prepared a black cat.,1.496620774269104
roberta-base,8,certainty_to_uncertainty,1,The historian prepared a black cat.,The historian might have prepared a black cat.,1.5656077861785889
roberta-base,8,certainty_to_uncertainty,2,The historian prepared a black cat.,It is possible that the historian prepared a black cat.,2.5054376125335693
roberta-base,8,certainty_to_uncertainty,3,The historian prepared a black cat.,There is a chance that the historian prepared a black cat.,2.5844357013702393
roberta-base,8,certainty_to_uncertainty,4,The historian prepared a black cat.,The historian probably prepared a black cat.,1.1463046073913574
roberta-base,8,active_to_passive,0,The historian prepared a black cat.,A black cat was prepared by the historian.,1.3207178115844727
roberta-base,8,active_to_passive,1,The historian prepared a black cat.,A black cat had been prepared by the historian.,1.8130576610565186
roberta-base,8,active_to_passive,2,The historian prepared a black cat.,A black cat got prepared by the historian.,1.4033583402633667
roberta-base,8,active_to_passive,3,The historian prepared a black cat.,A black cat was successfully prepared by the historian.,1.5699965953826904
roberta-base,8,active_to_passive,4,The historian prepared a black cat.,A black cat was eventually prepared by the historian.,1.685115933418274
roberta-base,8,formalization,0,The historian prepared a black cat.,It is true that the historian prepared a black cat.,2.3417539596557617
roberta-base,8,formalization,1,The historian prepared a black cat.,The statement that the historian prepared a black cat is true.,2.3386037349700928
roberta-base,8,formalization,2,The historian prepared a black cat.,One can state that the historian prepared a black cat.,1.993070125579834
roberta-base,8,formalization,3,The historian prepared a black cat.,It can be formally said that the historian prepared a black cat.,2.9870386123657227
roberta-base,8,formalization,4,The historian prepared a black cat.,The fact is that the historian prepared a black cat.,2.328895092010498
roberta-base,9,negation,0,The scientist helped the family.,The scientist did not help the family.,1.3754078149795532
roberta-base,9,negation,1,The scientist helped the family.,The scientist never helped the family.,1.3179622888565063
roberta-base,9,negation,2,The scientist helped the family.,The scientist failed to help the family.,1.4017384052276611
roberta-base,9,negation,3,The scientist helped the family.,The scientist was unable to help the family.,2.1602323055267334
roberta-base,9,negation,4,The scientist helped the family.,The scientist could not help the family.,1.6682721376419067
roberta-base,9,question,0,The scientist helped the family.,Did the scientist help the family?,1.5403591394424438
roberta-base,9,question,1,The scientist helped the family.,Was it true that the scientist helped the family?,2.2520382404327393
roberta-base,9,question,2,The scientist helped the family.,Could the scientist have helped the family?,1.9934113025665283
roberta-base,9,question,3,The scientist helped the family.,Is there evidence that the scientist helped the family?,2.258448600769043
roberta-base,9,question,4,The scientist helped the family.,Can we confirm that the scientist helped the family?,1.997628927230835
roberta-base,9,past_to_future,0,The scientist helped the family.,The scientist will help the family.,1.1488438844680786
roberta-base,9,past_to_future,1,The scientist helped the family.,The scientist is going to help the family.,1.9256172180175781
roberta-base,9,past_to_future,2,The scientist helped the family.,The scientist is expected to help the family.,2.1050360202789307
roberta-base,9,past_to_future,3,The scientist helped the family.,The scientist is likely to help the family.,1.9298750162124634
roberta-base,9,past_to_future,4,The scientist helped the family.,The scientist plans to help the family.,1.5535153150558472
