model,target_class,prompt_style,layer,control,gain,target_marker_rate,content_preserved_rate,target_and_preserved_rate,malformed_or_repetitive_rate,mean_target_best_prob,median_target_best_rank,target_top1_any_rate,rows
distilgpt2,question,neutral_restate,-1,none,0.0,0.0,0.8625,0.0,0.075,3.485028381646771e-05,45.0,0.0,80
distilgpt2,question,neutral_restate,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
distilgpt2,question,neutral_restate,-1,strong_prompt,0.0,0.0,0.7875,0.0,0.0375,4.241532487867516e-05,43.0,0.0,80
distilgpt2,question,neutral_restate,2,negative_target,1.0,0.0,0.4875,0.0,0.2625,2.9841177433809207e-05,437.0,0.0,80
distilgpt2,question,neutral_restate,2,random_norm,1.0,0.0,0.5,0.0,0.2875,0.0003579447758511378,58.5,0.0,80
distilgpt2,question,neutral_restate,2,target,1.0,0.65,0.5625,0.25,0.4625,0.6147954752552323,1.0,0.65,80
distilgpt2,question,neutral_restate,2,wrong_marker,1.0,0.0,0.6625,0.0,0.1875,0.0010133060278803897,14.5,0.0,80
distilgpt2,question,neutral_same,-1,none,0.0,0.0,0.5625,0.0,0.4125,0.00014364514945555129,41.5,0.0,80
distilgpt2,question,neutral_same,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
distilgpt2,question,neutral_same,-1,strong_prompt,0.0,0.0,0.7875,0.0,0.0375,4.241532487867516e-05,43.0,0.0,80
distilgpt2,question,neutral_same,2,negative_target,1.0,0.0,0.4625,0.0,0.3,5.861045101482887e-05,246.0,0.0,80
distilgpt2,question,neutral_same,2,random_norm,1.0,0.0,0.2875,0.0,0.65,0.0016783673904456008,73.5,0.0,80
distilgpt2,question,neutral_same,2,target,1.0,0.3375,0.2125,0.0875,0.7625,0.3282566270325333,2.0,0.3375,80
distilgpt2,question,neutral_same,2,wrong_marker,1.0,0.0,0.4875,0.0,0.2,0.0009154639287771715,22.0,0.0,80
gpt2,ellipsis,neutral_restate,-1,none,0.0,0.0,0.65,0.0,0.075,0.0005489270847647276,32.0,0.0,80
gpt2,ellipsis,neutral_restate,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
gpt2,ellipsis,neutral_restate,-1,strong_prompt,0.0,0.0,0.6125,0.0,0.0375,0.0004180304477813479,33.0,0.0,80
gpt2,ellipsis,neutral_restate,2,negative_target,0.75,0.0,0.2125,0.0,0.1125,0.0005806186447443907,124.0,0.0,80
gpt2,ellipsis,neutral_restate,2,random_norm,0.75,0.0,0.6625,0.0,0.1875,0.000953535096050473,35.5,0.0,80
gpt2,ellipsis,neutral_restate,2,target,0.75,0.675,0.425,0.275,0.1875,0.5766196908487473,1.0,0.675,80
gpt2,ellipsis,neutral_restate,2,wrong_marker,0.75,0.0,0.65,0.0,0.15,0.0010972701940772823,35.0,0.0,80
gpt2,ellipsis,neutral_restate,3,negative_target,0.75,0.0,0.3875,0.0,0.1,0.0003057290637116239,128.5,0.0,80
gpt2,ellipsis,neutral_restate,3,random_norm,0.75,0.0,0.4875,0.0,0.1375,0.0013358090778638142,36.5,0.0,80
gpt2,ellipsis,neutral_restate,3,target,0.75,0.65,0.4125,0.225,0.3,0.5231954298040364,1.0,0.65,80
gpt2,ellipsis,neutral_restate,3,wrong_marker,0.75,0.0,0.6,0.0,0.1375,0.0014980680960434256,39.0,0.0,80
gpt2,ellipsis,neutral_same,-1,none,0.0,0.0,0.6375,0.0,0.2625,0.00207759819822968,15.0,0.0,80
gpt2,ellipsis,neutral_same,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
gpt2,ellipsis,neutral_same,-1,strong_prompt,0.0,0.0,0.6125,0.0,0.0375,0.0004180304477813479,33.0,0.0,80
gpt2,ellipsis,neutral_same,2,negative_target,0.75,0.0,0.275,0.0,0.45,0.000766886898145458,64.5,0.0,80
gpt2,ellipsis,neutral_same,2,random_norm,0.75,0.0,0.5875,0.0,0.325,0.002229589387206943,19.5,0.0,80
gpt2,ellipsis,neutral_same,2,target,0.75,0.6875,0.45,0.3375,0.3875,0.5615673157153651,1.0,0.6875,80
gpt2,ellipsis,neutral_same,2,wrong_marker,0.75,0.0,0.4875,0.0,0.5125,0.0035118212312227116,18.0,0.0,80
gpt2,ellipsis,neutral_same,3,negative_target,0.75,0.0,0.3375,0.0,0.3875,0.0005007136650419852,75.5,0.0,80
gpt2,ellipsis,neutral_same,3,random_norm,0.75,0.0,0.5375,0.0,0.325,0.002128076628650888,18.0,0.0,80
gpt2,ellipsis,neutral_same,3,target,0.75,0.7625,0.6125,0.45,0.325,0.5836902141105383,1.0,0.7625,80
gpt2,ellipsis,neutral_same,3,wrong_marker,0.75,0.0,0.5375,0.0,0.5875,0.003450747144233901,14.0,0.0,80
gpt2,exclamation,neutral_restate,-1,none,0.0,0.0,0.65,0.0,0.075,0.0002771774642155833,64.0,0.0,80
gpt2,exclamation,neutral_restate,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
gpt2,exclamation,neutral_restate,-1,strong_prompt,0.0,0.0,0.625,0.0,0.0375,0.0002938007905640916,63.0,0.0,80
gpt2,exclamation,neutral_restate,2,negative_target,0.75,0.0,0.475,0.0,0.05,8.499024711454695e-05,205.0,0.0,80
gpt2,exclamation,neutral_restate,2,random_norm,0.75,0.0,0.625,0.0,0.05,0.0003570197701264988,57.5,0.0,80
gpt2,exclamation,neutral_restate,2,target,0.75,0.6,0.75,0.4,0.1375,0.5165450231812428,1.0,0.6,80
gpt2,exclamation,neutral_restate,2,wrong_marker,0.75,0.0,0.65,0.0,0.15,0.002649929748986324,19.5,0.0,80
gpt2,exclamation,neutral_restate,3,negative_target,0.75,0.0,0.4875,0.0,0.1375,0.00011471369653008879,173.5,0.0,80
gpt2,exclamation,neutral_restate,3,random_norm,0.75,0.0,0.675,0.0,0.0875,0.0004866520935479457,58.0,0.0,80
gpt2,exclamation,neutral_restate,3,target,0.75,0.4875,0.725,0.3125,0.15,0.446865415632783,2.0,0.475,80
gpt2,exclamation,neutral_restate,3,wrong_marker,0.75,0.0,0.6,0.0,0.1375,0.0018889179607867845,20.0,0.0,80
gpt2,exclamation,neutral_same,-1,none,0.0,0.0,0.6375,0.0,0.2625,0.0022078136174968678,26.0,0.0,80
gpt2,exclamation,neutral_same,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
gpt2,exclamation,neutral_same,-1,strong_prompt,0.0,0.0,0.625,0.0,0.0375,0.0002938007905640916,63.0,0.0,80
gpt2,exclamation,neutral_same,2,negative_target,0.75,0.0,0.5125,0.0,0.4375,0.0002147619456081884,118.0,0.0,80
gpt2,exclamation,neutral_same,2,random_norm,0.75,0.0,0.525,0.0,0.4,0.0017681575987808173,29.5,0.0,80
gpt2,exclamation,neutral_same,2,target,0.75,0.6875,0.5625,0.425,0.3125,0.5374789281049743,1.0,0.675,80
gpt2,exclamation,neutral_same,2,wrong_marker,0.75,0.0,0.4875,0.0,0.5125,0.00759109540231293,10.0,0.0,80
gpt2,exclamation,neutral_same,3,negative_target,0.75,0.0,0.6,0.0,0.325,0.0003517273977422519,80.5,0.0,80
gpt2,exclamation,neutral_same,3,random_norm,0.75,0.0,0.5625,0.0,0.35,0.0016952457121305997,25.5,0.0,80
gpt2,exclamation,neutral_same,3,target,0.75,0.6375,0.5875,0.4,0.3375,0.543174868170172,1.0,0.6375,80
gpt2,exclamation,neutral_same,3,wrong_marker,0.75,0.0,0.5375,0.0,0.5875,0.008015742556017358,10.0,0.0,80
gpt2,question,neutral_restate,-1,none,0.0,0.0,0.65,0.0,0.075,0.0001919150903404443,84.0,0.0,80
gpt2,question,neutral_restate,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
gpt2,question,neutral_restate,-1,strong_prompt,0.0,0.0,0.6625,0.0,0.05,0.00014444218904827722,67.5,0.0,80
gpt2,question,neutral_restate,2,negative_target,0.75,0.0,0.4,0.0,0.125,7.981200450331016e-05,227.0,0.0,80
gpt2,question,neutral_restate,2,random_norm,0.75,0.0,0.7375,0.0,0.125,0.00023285605859655334,64.5,0.0,80
gpt2,question,neutral_restate,2,target,0.75,0.625,0.65,0.35,0.15,0.5558829418499954,1.0,0.625,80
gpt2,question,neutral_restate,2,wrong_marker,0.75,0.0,0.75,0.0,0.1375,0.0030390215598572468,10.0,0.0,80
gpt2,question,neutral_restate,3,negative_target,0.75,0.0,0.35,0.0,0.2125,7.15438499071297e-05,260.0,0.0,80
gpt2,question,neutral_restate,3,random_norm,0.75,0.0,0.575,0.0,0.1375,0.0003070626072258165,61.5,0.0,80
gpt2,question,neutral_restate,3,target,0.75,0.675,0.6,0.375,0.1375,0.6121089282038156,1.0,0.675,80
gpt2,question,neutral_restate,3,wrong_marker,0.75,0.0,0.725,0.0,0.15,0.0018262284845377507,15.0,0.0,80
gpt2,question,neutral_same,-1,none,0.0,0.0,0.6375,0.0,0.2625,0.0004237728575390065,56.0,0.0,80
gpt2,question,neutral_same,-1,string_append_source,0.0,1.0,1.0,1.0,0.0,,,,80
gpt2,question,neutral_same,-1,strong_prompt,0.0,0.0,0.6625,0.0,0.05,0.00014444218904827722,67.5,0.0,80
gpt2,question,neutral_same,2,negative_target,0.75,0.0,0.575,0.0,0.375,0.0003710702503212815,70.0,0.0,80
gpt2,question,neutral_same,2,random_norm,0.75,0.0,0.55,0.0,0.325,0.0009394718108524103,42.5,0.0,80
gpt2,question,neutral_same,2,target,0.75,0.5625,0.4875,0.3375,0.5125,0.5041660040835267,1.0,0.5625,80
gpt2,question,neutral_same,2,wrong_marker,0.75,0.0,0.5625,0.0,0.3125,0.0034952716070620225,13.0,0.0,80
gpt2,question,neutral_same,3,negative_target,0.75,0.0,0.525,0.0,0.25,0.0002808066395118658,121.0,0.0,80
gpt2,question,neutral_same,3,random_norm,0.75,0.0,0.475,0.0,0.3375,0.0010565401212716096,39.5,0.0,80
gpt2,question,neutral_same,3,target,0.75,0.65,0.5375,0.325,0.5875,0.5546472001355142,1.0,0.65,80
gpt2,question,neutral_same,3,wrong_marker,0.75,0.0,0.5875,0.0,0.3375,0.0019221316379116615,16.5,0.0,80
