scale,language,template_id,level,text,marker
affect,en,9,-1,the artist dislikes the design during the review.,dislikes
affect,en,9,0,the artist feels indifferent toward the design during the review.,indifferent
affect,en,9,1,the artist likes the design during the review.,likes
affect,en,9,2,the artist loves the design during the review.,loves
affect,en,10,-2,I hates this system today.,hates
affect,en,10,-1,I dislikes this system today.,dislikes
affect,en,10,0,I feels indifferent toward this system today.,indifferent
affect,en,10,1,I likes this system today.,likes
affect,en,10,2,I loves this system today.,loves
affect,en,11,-2,the user hates the proposal during the review.,hates
affect,en,11,-1,the user dislikes the proposal during the review.,dislikes
affect,en,11,0,the user feels indifferent toward the proposal during the review.,indifferent
affect,en,11,1,the user likes the proposal during the review.,likes
affect,en,11,2,the user loves the proposal during the review.,loves
affect,en,12,-2,the critic hates this system in private.,hates
affect,en,12,-1,the critic dislikes this system in private.,dislikes
affect,en,12,0,the critic feels indifferent toward this system in private.,indifferent
affect,en,12,1,the critic likes this system in private.,likes
affect,en,12,2,the critic loves this system in private.,loves
affect,en,13,-2,the researcher hates this city at the end.,hates
affect,en,13,-1,the researcher dislikes this city at the end.,dislikes
affect,en,13,0,the researcher feels indifferent toward this city at the end.,indifferent
affect,en,13,1,the researcher likes this city at the end.,likes
affect,en,13,2,the researcher loves this city at the end.,loves
affect,en,14,-2,the researcher hates you after the meeting.,hates
affect,en,14,-1,the researcher dislikes you after the meeting.,dislikes
affect,en,14,0,the researcher feels indifferent toward you after the meeting.,indifferent
affect,en,14,1,the researcher likes you after the meeting.,likes
affect,en,14,2,the researcher loves you after the meeting.,loves
affect,en,15,-2,she hates this idea in private.,hates
affect,en,15,-1,she dislikes this idea in private.,dislikes
affect,en,15,0,she feels indifferent toward this idea in private.,indifferent
affect,en,15,1,she likes this idea in private.,likes
affect,en,15,2,she loves this idea in private.,loves
affect,en,16,-2,the researcher hates the design after the meeting.,hates
affect,en,16,-1,the researcher dislikes the design after the meeting.,dislikes
affect,en,16,0,the researcher feels indifferent toward the design after the meeting.,indifferent
affect,en,16,1,the researcher likes the design after the meeting.,likes
affect,en,16,2,the researcher loves the design after the meeting.,loves
affect,en,17,-2,the researcher hates the song today.,hates
affect,en,17,-1,the researcher dislikes the song today.,dislikes
affect,en,17,0,the researcher feels indifferent toward the song today.,indifferent
affect,en,17,1,the researcher likes the song today.,likes
affect,en,17,2,the researcher loves the song today.,loves
affect,en,18,-2,the researcher hates the design at the end.,hates
affect,en,18,-1,the researcher dislikes the design at the end.,dislikes
affect,en,18,0,the researcher feels indifferent toward the design at the end.,indifferent
affect,en,18,1,the researcher likes the design at the end.,likes
affect,en,18,2,the researcher loves the design at the end.,loves
affect,en,19,-2,the user hates this idea after the meeting.,hates
affect,en,19,-1,the user dislikes this idea after the meeting.,dislikes
affect,en,19,0,the user feels indifferent toward this idea after the meeting.,indifferent
affect,en,19,1,the user likes this idea after the meeting.,likes
affect,en,19,2,the user loves this idea after the meeting.,loves
affect,en,20,-2,the researcher hates this system today.,hates
affect,en,20,-1,the researcher dislikes this system today.,dislikes
affect,en,20,0,the researcher feels indifferent toward this system today.,indifferent
affect,en,20,1,the researcher likes this system today.,likes
affect,en,20,2,the researcher loves this system today.,loves
affect,en,21,-2,the researcher hates the proposal today.,hates
affect,en,21,-1,the researcher dislikes the proposal today.,dislikes
affect,en,21,0,the researcher feels indifferent toward the proposal today.,indifferent
affect,en,21,1,the researcher likes the proposal today.,likes
affect,en,21,2,the researcher loves the proposal today.,loves
affect,en,22,-2,I hates this system in private.,hates
affect,en,22,-1,I dislikes this system in private.,dislikes
affect,en,22,0,I feels indifferent toward this system in private.,indifferent
affect,en,22,1,I likes this system in private.,likes
affect,en,22,2,I loves this system in private.,loves
affect,en,23,-2,the artist hates the design after the meeting.,hates
affect,en,23,-1,the artist dislikes the design after the meeting.,dislikes
affect,en,23,0,the artist feels indifferent toward the design after the meeting.,indifferent
affect,en,23,1,the artist likes the design after the meeting.,likes
affect,en,23,2,the artist loves the design after the meeting.,loves
affect,en,24,-2,the neighbor hates you at the end.,hates
affect,en,24,-1,the neighbor dislikes you at the end.,dislikes
affect,en,24,0,the neighbor feels indifferent toward you at the end.,indifferent
affect,en,24,1,the neighbor likes you at the end.,likes
affect,en,24,2,the neighbor loves you at the end.,loves
affect,en,25,-2,the neighbor hates the song during the review.,hates
affect,en,25,-1,the neighbor dislikes the song during the review.,dislikes
affect,en,25,0,the neighbor feels indifferent toward the song during the review.,indifferent
affect,en,25,1,the neighbor likes the song during the review.,likes
affect,en,25,2,the neighbor loves the song during the review.,loves
affect,en,26,-2,the researcher hates this film after the meeting.,hates
affect,en,26,-1,the researcher dislikes this film after the meeting.,dislikes
affect,en,26,0,the researcher feels indifferent toward this film after the meeting.,indifferent
affect,en,26,1,the researcher likes this film after the meeting.,likes
affect,en,26,2,the researcher loves this film after the meeting.,loves
affect,en,27,-2,the artist hates this idea during the review.,hates
affect,en,27,-1,the artist dislikes this idea during the review.,dislikes
affect,en,27,0,the artist feels indifferent toward this idea during the review.,indifferent
affect,en,27,1,the artist likes this idea during the review.,likes
affect,en,27,2,the artist loves this idea during the review.,loves
affect,en,28,-2,I hates the song in private.,hates
affect,en,28,-1,I dislikes the song in private.,dislikes
affect,en,28,0,I feels indifferent toward the song in private.,indifferent
affect,en,28,1,I likes the song in private.,likes
affect,en,28,2,I loves the song in private.,loves
affect,en,29,-2,the neighbor hates you today.,hates
affect,en,29,-1,the neighbor dislikes you today.,dislikes
affect,en,29,0,the neighbor feels indifferent toward you today.,indifferent
affect,en,29,1,the neighbor likes you today.,likes
affect,en,29,2,the neighbor loves you today.,loves
affect,en,30,-2,the teacher hates the design during the review.,hates
affect,en,30,-1,the teacher dislikes the design during the review.,dislikes
affect,en,30,0,the teacher feels indifferent toward the design during the review.,indifferent
affect,en,30,1,the teacher likes the design during the review.,likes
affect,en,30,2,the teacher loves the design during the review.,loves
affect,en,31,-2,she hates the proposal at the end.,hates
affect,en,31,-1,she dislikes the proposal at the end.,dislikes
affect,en,31,0,she feels indifferent toward the proposal at the end.,indifferent
affect,en,31,1,she likes the proposal at the end.,likes
affect,en,31,2,she loves the proposal at the end.,loves
affect,en,32,-2,the artist hates this city during the review.,hates
affect,en,32,-1,the artist dislikes this city during the review.,dislikes
affect,en,32,0,the artist feels indifferent toward this city during the review.,indifferent
affect,en,32,1,the artist likes this city during the review.,likes
affect,en,32,2,the artist loves this city during the review.,loves
affect,en,33,-2,the researcher hates the proposal at the end.,hates
affect,en,33,-1,the researcher dislikes the proposal at the end.,dislikes
affect,en,33,0,the researcher feels indifferent toward the proposal at the end.,indifferent
affect,en,33,1,the researcher likes the proposal at the end.,likes
affect,en,33,2,the researcher loves the proposal at the end.,loves
affect,en,34,-2,the researcher hates you today.,hates
affect,en,34,-1,the researcher dislikes you today.,dislikes
affect,en,34,0,the researcher feels indifferent toward you today.,indifferent
affect,en,34,1,the researcher likes you today.,likes
affect,en,34,2,the researcher loves you today.,loves
affect,en,35,-2,the critic hates the song during the review.,hates
affect,en,35,-1,the critic dislikes the song during the review.,dislikes
affect,en,35,0,the critic feels indifferent toward the song during the review.,indifferent
affect,en,35,1,the critic likes the song during the review.,likes
affect,en,35,2,the critic loves the song during the review.,loves
affect,en,36,-2,she hates this film after the meeting.,hates
affect,en,36,-1,she dislikes this film after the meeting.,dislikes
affect,en,36,0,she feels indifferent toward this film after the meeting.,indifferent
affect,en,36,1,she likes this film after the meeting.,likes
affect,en,36,2,she loves this film after the meeting.,loves
affect,en,37,-2,the neighbor hates this city at the end.,hates
affect,en,37,-1,the neighbor dislikes this city at the end.,dislikes
affect,en,37,0,the neighbor feels indifferent toward this city at the end.,indifferent
affect,en,37,1,the neighbor likes this city at the end.,likes
affect,en,37,2,the neighbor loves this city at the end.,loves
affect,en,38,-2,the researcher hates the song during the review.,hates
affect,en,38,-1,the researcher dislikes the song during the review.,dislikes
affect,en,38,0,the researcher feels indifferent toward the song during the review.,indifferent
affect,en,38,1,the researcher likes the song during the review.,likes
affect,en,38,2,the researcher loves the song during the review.,loves
affect,en,39,-2,the artist hates this film during the review.,hates
affect,en,39,-1,the artist dislikes this film during the review.,dislikes
affect,en,39,0,the artist feels indifferent toward this film during the review.,indifferent
affect,en,39,1,the artist likes this film during the review.,likes
affect,en,39,2,the artist loves this film during the review.,loves
affect,en,40,-2,the user hates the proposal after the meeting.,hates
affect,en,40,-1,the user dislikes the proposal after the meeting.,dislikes
affect,en,40,0,the user feels indifferent toward the proposal after the meeting.,indifferent
affect,en,40,1,the user likes the proposal after the meeting.,likes
affect,en,40,2,the user loves the proposal after the meeting.,loves
affect,en,41,-2,the neighbor hates the design at the end.,hates
affect,en,41,-1,the neighbor dislikes the design at the end.,dislikes
affect,en,41,0,the neighbor feels indifferent toward the design at the end.,indifferent
affect,en,41,1,the neighbor likes the design at the end.,likes
affect,en,41,2,the neighbor loves the design at the end.,loves
affect,en,42,-2,the teacher hates the song in private.,hates
affect,en,42,-1,the teacher dislikes the song in private.,dislikes
affect,en,42,0,the teacher feels indifferent toward the song in private.,indifferent
affect,en,42,1,the teacher likes the song in private.,likes
affect,en,42,2,the teacher loves the song in private.,loves
affect,en,43,-2,she hates this system at the end.,hates
affect,en,43,-1,she dislikes this system at the end.,dislikes
affect,en,43,0,she feels indifferent toward this system at the end.,indifferent
affect,en,43,1,she likes this system at the end.,likes
affect,en,43,2,she loves this system at the end.,loves
affect,en,44,-2,the researcher hates this city during the review.,hates
affect,en,44,-1,the researcher dislikes this city during the review.,dislikes
affect,en,44,0,the researcher feels indifferent toward this city during the review.,indifferent
affect,en,44,1,the researcher likes this city during the review.,likes
affect,en,44,2,the researcher loves this city during the review.,loves
affect,en,45,-2,I hates this idea during the review.,hates
affect,en,45,-1,I dislikes this idea during the review.,dislikes
affect,en,45,0,I feels indifferent toward this idea during the review.,indifferent
affect,en,45,1,I likes this idea during the review.,likes
affect,en,45,2,I loves this idea during the review.,loves
affect,en,46,-2,the critic hates the song today.,hates
affect,en,46,-1,the critic dislikes the song today.,dislikes
affect,en,46,0,the critic feels indifferent toward the song today.,indifferent
affect,en,46,1,the critic likes the song today.,likes
affect,en,46,2,the critic loves the song today.,loves
affect,en,47,-2,I hates the design at the end.,hates
affect,en,47,-1,I dislikes the design at the end.,dislikes
affect,en,47,0,I feels indifferent toward the design at the end.,indifferent
affect,en,47,1,I likes the design at the end.,likes
affect,en,47,2,I loves the design at the end.,loves
affect,en,48,-2,the artist hates the design today.,hates
affect,en,48,-1,the artist dislikes the design today.,dislikes
affect,en,48,0,the artist feels indifferent toward the design today.,indifferent
affect,en,48,1,the artist likes the design today.,likes
affect,en,48,2,the artist loves the design today.,loves
affect,en,49,-2,the artist hates this system during the review.,hates
affect,en,49,-1,the artist dislikes this system during the review.,dislikes
affect,en,49,0,the artist feels indifferent toward this system during the review.,indifferent
affect,en,49,1,the artist likes this system during the review.,likes
affect,en,49,2,the artist loves this system during the review.,loves
affect,en,50,-2,I hates this idea in private.,hates
affect,en,50,-1,I dislikes this idea in private.,dislikes
affect,en,50,0,I feels indifferent toward this idea in private.,indifferent
affect,en,50,1,I likes this idea in private.,likes
affect,en,50,2,I loves this idea in private.,loves
affect,en,51,-2,the artist hates the proposal in private.,hates
affect,en,51,-1,the artist dislikes the proposal in private.,dislikes
affect,en,51,0,the artist feels indifferent toward the proposal in private.,indifferent
affect,en,51,1,the artist likes the proposal in private.,likes
affect,en,51,2,the artist loves the proposal in private.,loves
affect,en,52,-2,the artist hates this system today.,hates
affect,en,52,-1,the artist dislikes this system today.,dislikes
affect,en,52,0,the artist feels indifferent toward this system today.,indifferent
affect,en,52,1,the artist likes this system today.,likes
affect,en,52,2,the artist loves this system today.,loves
affect,en,53,-2,the critic hates you during the review.,hates
affect,en,53,-1,the critic dislikes you during the review.,dislikes
affect,en,53,0,the critic feels indifferent toward you during the review.,indifferent
affect,en,53,1,the critic likes you during the review.,likes
affect,en,53,2,the critic loves you during the review.,loves
affect,en,54,-2,the researcher hates this idea during the review.,hates
affect,en,54,-1,the researcher dislikes this idea during the review.,dislikes
affect,en,54,0,the researcher feels indifferent toward this idea during the review.,indifferent
affect,en,54,1,the researcher likes this idea during the review.,likes
affect,en,54,2,the researcher loves this idea during the review.,loves
affect,en,55,-2,the researcher hates the proposal during the review.,hates
affect,en,55,-1,the researcher dislikes the proposal during the review.,dislikes
affect,en,55,0,the researcher feels indifferent toward the proposal during the review.,indifferent
affect,en,55,1,the researcher likes the proposal during the review.,likes
affect,en,55,2,the researcher loves the proposal during the review.,loves
affect,en,56,-2,the neighbor hates this idea today.,hates
affect,en,56,-1,the neighbor dislikes this idea today.,dislikes
affect,en,56,0,the neighbor feels indifferent toward this idea today.,indifferent
affect,en,56,1,the neighbor likes this idea today.,likes
affect,en,56,2,the neighbor loves this idea today.,loves
affect,en,57,-2,she hates the proposal during the review.,hates
affect,en,57,-1,she dislikes the proposal during the review.,dislikes
affect,en,57,0,she feels indifferent toward the proposal during the review.,indifferent
affect,en,57,1,she likes the proposal during the review.,likes
affect,en,57,2,she loves the proposal during the review.,loves
affect,en,58,-2,the researcher hates the song at the end.,hates
affect,en,58,-1,the researcher dislikes the song at the end.,dislikes
affect,en,58,0,the researcher feels indifferent toward the song at the end.,indifferent
affect,en,58,1,the researcher likes the song at the end.,likes
affect,en,58,2,the researcher loves the song at the end.,loves
affect,en,59,-2,the neighbor hates you in private.,hates
affect,en,59,-1,the neighbor dislikes you in private.,dislikes
affect,en,59,0,the neighbor feels indifferent toward you in private.,indifferent
affect,en,59,1,the neighbor likes you in private.,likes
affect,en,59,2,the neighbor loves you in private.,loves
affect,en,60,-2,the critic hates this film in private.,hates
affect,en,60,-1,the critic dislikes this film in private.,dislikes
affect,en,60,0,the critic feels indifferent toward this film in private.,indifferent
affect,en,60,1,the critic likes this film in private.,likes
affect,en,60,2,the critic loves this film in private.,loves
affect,en,61,-2,the user hates the song in private.,hates
affect,en,61,-1,the user dislikes the song in private.,dislikes
affect,en,61,0,the user feels indifferent toward the song in private.,indifferent
affect,en,61,1,the user likes the song in private.,likes
affect,en,61,2,the user loves the song in private.,loves
affect,en,62,-2,I hates the design during the review.,hates
affect,en,62,-1,I dislikes the design during the review.,dislikes
affect,en,62,0,I feels indifferent toward the design during the review.,indifferent
affect,en,62,1,I likes the design during the review.,likes
affect,en,62,2,I loves the design during the review.,loves
affect,en,63,-2,I hates this system during the review.,hates
affect,en,63,-1,I dislikes this system during the review.,dislikes
affect,en,63,0,I feels indifferent toward this system during the review.,indifferent
affect,en,63,1,I likes this system during the review.,likes
affect,en,63,2,I loves this system during the review.,loves
affect,en,64,-2,the artist hates this city today.,hates
affect,en,64,-1,the artist dislikes this city today.,dislikes
affect,en,64,0,the artist feels indifferent toward this city today.,indifferent
affect,en,64,1,the artist likes this city today.,likes
affect,en,64,2,the artist loves this city today.,loves
affect,en,65,-2,the critic hates this film after the meeting.,hates
affect,en,65,-1,the critic dislikes this film after the meeting.,dislikes
affect,en,65,0,the critic feels indifferent toward this film after the meeting.,indifferent
affect,en,65,1,the critic likes this film after the meeting.,likes
affect,en,65,2,the critic loves this film after the meeting.,loves
affect,en,66,-2,I hates the song today.,hates
affect,en,66,-1,I dislikes the song today.,dislikes
affect,en,66,0,I feels indifferent toward the song today.,indifferent
affect,en,66,1,I likes the song today.,likes
affect,en,66,2,I loves the song today.,loves
affect,en,67,-2,the user hates the proposal in private.,hates
affect,en,67,-1,the user dislikes the proposal in private.,dislikes
affect,en,67,0,the user feels indifferent toward the proposal in private.,indifferent
affect,en,67,1,the user likes the proposal in private.,likes
affect,en,67,2,the user loves the proposal in private.,loves
affect,en,68,-2,the user hates the design today.,hates
affect,en,68,-1,the user dislikes the design today.,dislikes
affect,en,68,0,the user feels indifferent toward the design today.,indifferent
affect,en,68,1,the user likes the design today.,likes
affect,en,68,2,the user loves the design today.,loves
affect,en,69,-2,she hates the song after the meeting.,hates
affect,en,69,-1,she dislikes the song after the meeting.,dislikes
affect,en,69,0,she feels indifferent toward the song after the meeting.,indifferent
affect,en,69,1,she likes the song after the meeting.,likes
affect,en,69,2,she loves the song after the meeting.,loves
affect,en,70,-2,the user hates this city in private.,hates
affect,en,70,-1,the user dislikes this city in private.,dislikes
affect,en,70,0,the user feels indifferent toward this city in private.,indifferent
affect,en,70,1,the user likes this city in private.,likes
affect,en,70,2,the user loves this city in private.,loves
affect,en,71,-2,she hates you in private.,hates
affect,en,71,-1,she dislikes you in private.,dislikes
affect,en,71,0,she feels indifferent toward you in private.,indifferent
affect,en,71,1,she likes you in private.,likes
affect,en,71,2,she loves you in private.,loves
affect,en,72,-2,I hates the song after the meeting.,hates
affect,en,72,-1,I dislikes the song after the meeting.,dislikes
affect,en,72,0,I feels indifferent toward the song after the meeting.,indifferent
affect,en,72,1,I likes the song after the meeting.,likes
affect,en,72,2,I loves the song after the meeting.,loves
affect,en,73,-2,the artist hates this film today.,hates
affect,en,73,-1,the artist dislikes this film today.,dislikes
affect,en,73,0,the artist feels indifferent toward this film today.,indifferent
affect,en,73,1,the artist likes this film today.,likes
affect,en,73,2,the artist loves this film today.,loves
affect,en,74,-2,the neighbor hates this system during the review.,hates
affect,en,74,-1,the neighbor dislikes this system during the review.,dislikes
affect,en,74,0,the neighbor feels indifferent toward this system during the review.,indifferent
affect,en,74,1,the neighbor likes this system during the review.,likes
affect,en,74,2,the neighbor loves this system during the review.,loves
affect,en,75,-2,the teacher hates the design after the meeting.,hates
affect,en,75,-1,the teacher dislikes the design after the meeting.,dislikes
affect,en,75,0,the teacher feels indifferent toward the design after the meeting.,indifferent
affect,en,75,1,the teacher likes the design after the meeting.,likes
affect,en,75,2,the teacher loves the design after the meeting.,loves
affect,en,76,-2,the teacher hates this city in private.,hates
affect,en,76,-1,the teacher dislikes this city in private.,dislikes
affect,en,76,0,the teacher feels indifferent toward this city in private.,indifferent
affect,en,76,1,the teacher likes this city in private.,likes
affect,en,76,2,the teacher loves this city in private.,loves
affect,en,77,-2,the artist hates the proposal today.,hates
affect,en,77,-1,the artist dislikes the proposal today.,dislikes
affect,en,77,0,the artist feels indifferent toward the proposal today.,indifferent
affect,en,77,1,the artist likes the proposal today.,likes
affect,en,77,2,the artist loves the proposal today.,loves
affect,en,78,-2,the researcher hates this idea after the meeting.,hates
affect,en,78,-1,the researcher dislikes this idea after the meeting.,dislikes
affect,en,78,0,the researcher feels indifferent toward this idea after the meeting.,indifferent
affect,en,78,1,the researcher likes this idea after the meeting.,likes
affect,en,78,2,the researcher loves this idea after the meeting.,loves
affect,en,79,-2,the researcher hates this system during the review.,hates
affect,en,79,-1,the researcher dislikes this system during the review.,dislikes
affect,en,79,0,the researcher feels indifferent toward this system during the review.,indifferent
affect,en,79,1,the researcher likes this system during the review.,likes
affect,en,79,2,the researcher loves this system during the review.,loves
affect,en,80,-2,the critic hates this system after the meeting.,hates
affect,en,80,-1,the critic dislikes this system after the meeting.,dislikes
affect,en,80,0,the critic feels indifferent toward this system after the meeting.,indifferent
affect,en,80,1,the critic likes this system after the meeting.,likes
affect,en,80,2,the critic loves this system after the meeting.,loves
affect,en,81,-2,I hates the proposal today.,hates
affect,en,81,-1,I dislikes the proposal today.,dislikes
affect,en,81,0,I feels indifferent toward the proposal today.,indifferent
affect,en,81,1,I likes the proposal today.,likes
affect,en,81,2,I loves the proposal today.,loves
affect,en,82,-2,the neighbor hates this film after the meeting.,hates
affect,en,82,-1,the neighbor dislikes this film after the meeting.,dislikes
affect,en,82,0,the neighbor feels indifferent toward this film after the meeting.,indifferent
affect,en,82,1,the neighbor likes this film after the meeting.,likes
affect,en,82,2,the neighbor loves this film after the meeting.,loves
affect,en,83,-2,the teacher hates this city during the review.,hates
affect,en,83,-1,the teacher dislikes this city during the review.,dislikes
affect,en,83,0,the teacher feels indifferent toward this city during the review.,indifferent
affect,en,83,1,the teacher likes this city during the review.,likes
affect,en,83,2,the teacher loves this city during the review.,loves
affect,en,84,-2,the researcher hates the song after the meeting.,hates
affect,en,84,-1,the researcher dislikes the song after the meeting.,dislikes
affect,en,84,0,the researcher feels indifferent toward the song after the meeting.,indifferent
affect,en,84,1,the researcher likes the song after the meeting.,likes
affect,en,84,2,the researcher loves the song after the meeting.,loves
affect,en,85,-2,the critic hates the design after the meeting.,hates
affect,en,85,-1,the critic dislikes the design after the meeting.,dislikes
affect,en,85,0,the critic feels indifferent toward the design after the meeting.,indifferent
affect,en,85,1,the critic likes the design after the meeting.,likes
affect,en,85,2,the critic loves the design after the meeting.,loves
affect,en,86,-2,I hates this film at the end.,hates
affect,en,86,-1,I dislikes this film at the end.,dislikes
affect,en,86,0,I feels indifferent toward this film at the end.,indifferent
affect,en,86,1,I likes this film at the end.,likes
affect,en,86,2,I loves this film at the end.,loves
affect,en,87,-2,she hates the song in private.,hates
affect,en,87,-1,she dislikes the song in private.,dislikes
affect,en,87,0,she feels indifferent toward the song in private.,indifferent
affect,en,87,1,she likes the song in private.,likes
affect,en,87,2,she loves the song in private.,loves
affect,en,88,-2,the user hates this city at the end.,hates
affect,en,88,-1,the user dislikes this city at the end.,dislikes
affect,en,88,0,the user feels indifferent toward this city at the end.,indifferent
affect,en,88,1,the user likes this city at the end.,likes
affect,en,88,2,the user loves this city at the end.,loves
affect,en,89,-2,I hates the design today.,hates
affect,en,89,-1,I dislikes the design today.,dislikes
affect,en,89,0,I feels indifferent toward the design today.,indifferent
affect,en,89,1,I likes the design today.,likes
affect,en,89,2,I loves the design today.,loves
affect,en,90,-2,she hates the song today.,hates
affect,en,90,-1,she dislikes the song today.,dislikes
affect,en,90,0,she feels indifferent toward the song today.,indifferent
affect,en,90,1,she likes the song today.,likes
affect,en,90,2,she loves the song today.,loves
affect,en,91,-2,the teacher hates the proposal at the end.,hates
affect,en,91,-1,the teacher dislikes the proposal at the end.,dislikes
affect,en,91,0,the teacher feels indifferent toward the proposal at the end.,indifferent
affect,en,91,1,the teacher likes the proposal at the end.,likes
affect,en,91,2,the teacher loves the proposal at the end.,loves
affect,en,92,-2,the user hates you during the review.,hates
affect,en,92,-1,the user dislikes you during the review.,dislikes
affect,en,92,0,the user feels indifferent toward you during the review.,indifferent
affect,en,92,1,the user likes you during the review.,likes
affect,en,92,2,the user loves you during the review.,loves
affect,en,93,-2,the artist hates this idea today.,hates
affect,en,93,-1,the artist dislikes this idea today.,dislikes
affect,en,93,0,the artist feels indifferent toward this idea today.,indifferent
affect,en,93,1,the artist likes this idea today.,likes
affect,en,93,2,the artist loves this idea today.,loves
affect,en,94,-2,the user hates this system in private.,hates
affect,en,94,-1,the user dislikes this system in private.,dislikes
affect,en,94,0,the user feels indifferent toward this system in private.,indifferent
affect,en,94,1,the user likes this system in private.,likes
affect,en,94,2,the user loves this system in private.,loves
affect,en,95,-2,the neighbor hates the song in private.,hates
affect,en,95,-1,the neighbor dislikes the song in private.,dislikes
affect,en,95,0,the neighbor feels indifferent toward the song in private.,indifferent
affect,en,95,1,the neighbor likes the song in private.,likes
affect,en,95,2,the neighbor loves the song in private.,loves
affect,en,96,-2,the teacher hates this system after the meeting.,hates
affect,en,96,-1,the teacher dislikes this system after the meeting.,dislikes
affect,en,96,0,the teacher feels indifferent toward this system after the meeting.,indifferent
affect,en,96,1,the teacher likes this system after the meeting.,likes
affect,en,96,2,the teacher loves this system after the meeting.,loves
affect,en,97,-2,the critic hates you in private.,hates
affect,en,97,-1,the critic dislikes you in private.,dislikes
affect,en,97,0,the critic feels indifferent toward you in private.,indifferent
affect,en,97,1,the critic likes you in private.,likes
affect,en,97,2,the critic loves you in private.,loves
affect,en,98,-2,the artist hates this system after the meeting.,hates
affect,en,98,-1,the artist dislikes this system after the meeting.,dislikes
affect,en,98,0,the artist feels indifferent toward this system after the meeting.,indifferent
affect,en,98,1,the artist likes this system after the meeting.,likes
affect,en,98,2,the artist loves this system after the meeting.,loves
affect,en,99,-2,the critic hates the proposal in private.,hates
affect,en,99,-1,the critic dislikes the proposal in private.,dislikes
affect,en,99,0,the critic feels indifferent toward the proposal in private.,indifferent
affect,en,99,1,the critic likes the proposal in private.,likes
affect,en,99,2,the critic loves the proposal in private.,loves
affect,en,100,-2,the neighbor hates the design today.,hates
affect,en,100,-1,the neighbor dislikes the design today.,dislikes
affect,en,100,0,the neighbor feels indifferent toward the design today.,indifferent
affect,en,100,1,the neighbor likes the design today.,likes
affect,en,100,2,the neighbor loves the design today.,loves
affect,en,101,-2,the neighbor hates this city after the meeting.,hates
affect,en,101,-1,the neighbor dislikes this city after the meeting.,dislikes
affect,en,101,0,the neighbor feels indifferent toward this city after the meeting.,indifferent
affect,en,101,1,the neighbor likes this city after the meeting.,likes
affect,en,101,2,the neighbor loves this city after the meeting.,loves
affect,en,102,-2,the artist hates this idea at the end.,hates
affect,en,102,-1,the artist dislikes this idea at the end.,dislikes
affect,en,102,0,the artist feels indifferent toward this idea at the end.,indifferent
affect,en,102,1,the artist likes this idea at the end.,likes
affect,en,102,2,the artist loves this idea at the end.,loves
affect,en,103,-2,the artist hates this city in private.,hates
affect,en,103,-1,the artist dislikes this city in private.,dislikes
affect,en,103,0,the artist feels indifferent toward this city in private.,indifferent
affect,en,103,1,the artist likes this city in private.,likes
