model,layer,source_set,source,target,target_class,control,gain,vector_class,prompt,generated,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,in_template_test,The spirit built the tower.,I wonder whether the spirit built the tower.,question,none,0.0,,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The spirit built the tower.,I wonder whether the spirit built the tower.,question,target,0.75,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower?
The spirit built the tower?
The spirit built the tower?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,111.0
gpt2,2,in_template_test,The spirit built the tower.,I wonder whether the spirit built the tower.,question,wrong_class,0.75,negation,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The spirit built the tower.,I wonder whether the spirit built the tower.,question,random_norm,0.75,random_norm,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The spirit built the tower.,I wonder whether the spirit built the tower.,question,negative_target,0.75,question,"Input: The spirit built the tower.
Output:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,none,0.0,,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,in_template_test,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,target,0.75,question,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle is not a satellite.
The oracle is not a satellite?
The or",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,103.0
gpt2,2,in_template_test,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,wrong_class,0.75,tense_shift,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,in_template_test,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,random_norm,0.75,random_norm,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
Output: The oracle repaired the satellite.
Output: The oracle repaired the satellite.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
gpt2,2,in_template_test,The oracle repaired the satellite.,Someone asked whether the oracle repaired the satellite.,question,negative_target,0.75,question,"Input: The oracle repaired the satellite.
Output:","The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired the satellite.
The oracle repaired",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,in_template_test,The wizard built the tower.,Someone asked whether the wizard built the tower.,question,none,0.0,,"Input: The wizard built the tower.
Output:","The wizard built the tower.
The wizard built the tower.
The wizard built the tower.
The wizard built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The wizard built the tower.,Someone asked whether the wizard built the tower.,question,target,0.75,question,"Input: The wizard built the tower.
Output:","The tower was built from the ground.
The tower was built from the ground?
The tower was built from the ground?
The",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,114.0
gpt2,2,in_template_test,The wizard built the tower.,Someone asked whether the wizard built the tower.,question,wrong_class,0.75,negation,"Input: The wizard built the tower.
Output:","The wizard built the tower.
The wizard built the tower.
The wizard built the tower.
The wizard built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The wizard built the tower.,Someone asked whether the wizard built the tower.,question,random_norm,0.75,random_norm,"Input: The wizard built the tower.
Output:","The wizard built the tower.

The wizard built the tower.

The wizard built the tower.

The wizard built the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
gpt2,2,in_template_test,The wizard built the tower.,Someone asked whether the wizard built the tower.,question,negative_target,0.75,question,"Input: The wizard built the tower.
Output:","The wizard built the tower.
The wizard built the tower.
The wizard built the tower.
The wizard built the tower.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The alien created the artifact.,Nobody knew whether the alien had created the artifact.,question,none,0.0,,"Input: The alien created the artifact.
Output:","The alien created the artifact.
The alien created the artifact.
The alien created the artifact.
The alien created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,The alien created the artifact.,Nobody knew whether the alien had created the artifact.,question,target,0.75,question,"Input: The alien created the artifact.
Output:","The alien created the artifact.
The alien created the artifact?
The alien created the artifact?
The alien created the artifact?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,127.0
gpt2,2,in_template_test,The alien created the artifact.,Nobody knew whether the alien had created the artifact.,question,wrong_class,0.75,modality,"Input: The alien created the artifact.
Output:","The alien created the artifact.
The alien created the artifact.
The alien created the artifact.
The alien created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,The alien created the artifact.,Nobody knew whether the alien had created the artifact.,question,random_norm,0.75,random_norm,"Input: The alien created the artifact.
Output:","The alien created the artifact.

The alien created the artifact.

The alien created the artifact.

The alien created the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
gpt2,2,in_template_test,The alien created the artifact.,Nobody knew whether the alien had created the artifact.,question,negative_target,0.75,question,"Input: The alien created the artifact.
Output:","The alien created the artifact.

Output: The alien created the artifact.

Output: The alien created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
gpt2,2,in_template_test,The knight protected the village.,Someone asked whether the knight protected the village.,question,none,0.0,,"Input: The knight protected the village.
Output:","The knight protected the village.
Output: The knight protected the village.
Output: The knight protected the village.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
gpt2,2,in_template_test,The knight protected the village.,Someone asked whether the knight protected the village.,question,target,0.75,question,"Input: The knight protected the village.
Output:","The knight protected the village.
The knight protected the village?
The knight protected the village?
The knight protected the village?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,135.0
gpt2,2,in_template_test,The knight protected the village.,Someone asked whether the knight protected the village.,question,wrong_class,0.75,modality,"Input: The knight protected the village.
Output:","The knight protected the village.
Output: The knight protected the village.
Output: The knight protected the village.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
gpt2,2,in_template_test,The knight protected the village.,Someone asked whether the knight protected the village.,question,random_norm,0.75,random_norm,"Input: The knight protected the village.
Output:","The knight protected the village.

The knight protected the village.

The knight protected the village.

The knight",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,in_template_test,The knight protected the village.,Someone asked whether the knight protected the village.,question,negative_target,0.75,question,"Input: The knight protected the village.
Output:","The knight protected the village.
The knight protected the village.
The knight protected the village.
The knight protected the village.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,The druid opened the portal.,I wonder whether the druid opened the portal.,question,none,0.0,,"Input: The druid opened the portal.
Output:","The druid opened the portal.
The druid opened the portal.
The druid opened the portal.
The druid opened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
gpt2,2,in_template_test,The druid opened the portal.,I wonder whether the druid opened the portal.,question,target,0.75,question,"Input: The druid opened the portal.
Output:","The druid opened the portal.
The portal opened.
The portal opened?
The portal opened?
The portal opened?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,104.0
gpt2,2,in_template_test,The druid opened the portal.,I wonder whether the druid opened the portal.,question,wrong_class,0.75,modality,"Input: The druid opened the portal.
Output:","The druid opened the portal.
The druid opened the portal.
The druid opened the portal.
The druid opened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
gpt2,2,in_template_test,The druid opened the portal.,I wonder whether the druid opened the portal.,question,random_norm,0.75,random_norm,"Input: The druid opened the portal.
Output:","The druid opened the portal.
Output: The druid opened the portal.
Output: The druid opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,in_template_test,The druid opened the portal.,I wonder whether the druid opened the portal.,question,negative_target,0.75,question,"Input: The druid opened the portal.
Output:","The druid opened the portal.
The druid opened the portal.
The druid opened the portal.
The druid opened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
gpt2,2,in_template_test,The wizard revealed the secret.,Someone asked whether the wizard revealed the secret.,question,none,0.0,,"Input: The wizard revealed the secret.
Output:","The wizard revealed the secret.
Output: The wizard revealed the secret.
Output: The wizard revealed the secret.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The wizard revealed the secret.,Someone asked whether the wizard revealed the secret.,question,target,0.75,question,"Input: The wizard revealed the secret.
Output:","The wizard revealed the secret.
The wizard revealed the secret?
The secret?
The secret?
The secret?
The secret",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,110.0
gpt2,2,in_template_test,The wizard revealed the secret.,Someone asked whether the wizard revealed the secret.,question,wrong_class,0.75,negation,"Input: The wizard revealed the secret.
Output:","The wizard revealed the secret.
Output: The wizard revealed the secret.
Output: The wizard revealed the secret.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The wizard revealed the secret.,Someone asked whether the wizard revealed the secret.,question,random_norm,0.75,random_norm,"Input: The wizard revealed the secret.
Output:","The wizard revealed the secret.
The wizard revealed the secret.
The wizard revealed the secret.
The wizard revealed the secret.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,The wizard revealed the secret.,Someone asked whether the wizard revealed the secret.,question,negative_target,0.75,question,"Input: The wizard revealed the secret.
Output:","The wizard revealed the secret.
The wizard revealed the secret.
The wizard revealed the secret.
The wizard revealed the secret.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
gpt2,2,in_template_test,The giant opened the portal.,Someone asked whether the giant opened the portal.,question,none,0.0,,"Input: The giant opened the portal.
Output:","The portal opened.
The giant opened the portal.
The portal opened.
The portal opened.
The portal opened.
The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,in_template_test,The giant opened the portal.,Someone asked whether the giant opened the portal.,question,target,0.75,question,"Input: The giant opened the portal.
Output:","The portal was opened.
The portal was opened?
The portal was opened?
The portal was opened?
The portal was opened",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,113.0
gpt2,2,in_template_test,The giant opened the portal.,Someone asked whether the giant opened the portal.,question,wrong_class,0.75,modality,"Input: The giant opened the portal.
Output:","The giant opened the portal.
The giant opened the portal.
The giant opened the portal.
The giant opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,in_template_test,The giant opened the portal.,Someone asked whether the giant opened the portal.,question,random_norm,0.75,random_norm,"Input: The giant opened the portal.
Output:","The giant opened the portal.
The giant opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The giant opened the portal.,Someone asked whether the giant opened the portal.,question,negative_target,0.75,question,"Input: The giant opened the portal.
Output:","The giant opened the portal.
The giant opened the portal.
The giant opened the portal.
The giant opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,in_template_test,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,none,0.0,,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,target,0.75,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm?
The sorcerer predicted the storm?
The sorcerer predicted the storm?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,135.0
gpt2,2,in_template_test,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,wrong_class,0.75,modality,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,random_norm,0.75,random_norm,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,The sorcerer predicted the storm.,Someone asked whether the sorcerer predicted the storm.,question,negative_target,0.75,question,"Input: The sorcerer predicted the storm.
Output:","The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.
The sorcerer predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
gpt2,2,in_template_test,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,none,0.0,,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,target,0.75,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm?
The alien predicted the storm?
The alien predicted the storm?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,123.0
gpt2,2,in_template_test,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,wrong_class,0.75,negation,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,random_norm,0.75,random_norm,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
Output: The alien predicted the storm.
Output: The alien predicted the storm.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
gpt2,2,in_template_test,The alien predicted the storm.,It is unclear whether the alien predicted the storm.,question,negative_target,0.75,question,"Input: The alien predicted the storm.
Output:","The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.
The alien predicted the storm.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,in_template_test,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,none,0.0,,"Input: The giant guarded the treasure.
Output:","The treasure was guarded by the giant.
The treasure was guarded by the giant.
The treasure was guarded by the giant.
The",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,120.0
gpt2,2,in_template_test,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,target,0.75,question,"Input: The giant guarded the treasure.
Output:","The treasure was a large, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny, shiny,",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,102.0
gpt2,2,in_template_test,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,wrong_class,0.75,negation,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.
The treasure was a large, dark, and very large treasure.
The treasure was a large, dark",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,119.0
gpt2,2,in_template_test,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,random_norm,0.75,random_norm,"Input: The giant guarded the treasure.
Output:","The giant guarded the treasure.

Output: The giant guarded the treasure.

Output: The giant guarded the treasure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
gpt2,2,in_template_test,The giant guarded the treasure.,Nobody knew whether the giant had guarded the treasure.,question,negative_target,0.75,question,"Input: The giant guarded the treasure.
Output:","The treasure was found in the treasure chest.
The treasure was found in the treasure chest.
The treasure was found in the treasure chest",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,136.0
gpt2,2,in_template_test,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,none,0.0,,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,target,0.75,question,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal?
The robot opened the portal?
The robot opened the portal?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,115.0
gpt2,2,in_template_test,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,wrong_class,0.75,modality,"Input: The robot opened the portal.
Output:","The robot opened the portal.
The robot opened the portal.
The portal opened.
The portal opened.
The portal opened.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
gpt2,2,in_template_test,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,random_norm,0.75,random_norm,"Input: The robot opened the portal.
Output:","The robot opened the portal.

The robot opened the portal.

The robot opened the portal.

The robot opened the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
gpt2,2,in_template_test,The robot opened the portal.,It is unclear whether the robot opened the portal.,question,negative_target,0.75,question,"Input: The robot opened the portal.
Output:","The robot was able to enter the portal.

The robot was able to enter the portal.

The robot was able to enter",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,109.0
gpt2,2,in_template_test,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,none,0.0,,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal.
Output: The griffin opened the portal.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
gpt2,2,in_template_test,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,target,0.75,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
Output: The griffin opened the portal?
Output: The griffin opened the portal?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,108.0
gpt2,2,in_template_test,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,wrong_class,0.75,modality,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
The griffin opened the portal.
The griffin opened the portal.
The griffin opened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,random_norm,0.75,random_norm,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.
The griffin opened the portal.
The griffin opened the portal.
The griffin opened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,The griffin opened the portal.,It is unclear whether the griffin opened the portal.,question,negative_target,0.75,question,"Input: The griffin opened the portal.
Output:","The griffin opened the portal.

Output: The griffin opened the portal.

Output: The griffin opened the portal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
gpt2,2,in_template_test,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,none,0.0,,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,in_template_test,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,target,0.75,question,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact?
The spirit created the artifact?
The spirit created the artifact?",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,131.0
gpt2,2,in_template_test,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,wrong_class,0.75,modality,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.
The spirit created the artifact.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
gpt2,2,in_template_test,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,random_norm,0.75,random_norm,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.

The spirit created the artifact.

The spirit created the artifact.

The spirit created the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,in_template_test,The spirit created the artifact.,I wonder whether the spirit created the artifact.,question,negative_target,0.75,question,"Input: The spirit created the artifact.
Output:","The spirit created the artifact.

The spirit created the artifact.

The spirit created the artifact.

The spirit created the",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
gpt2,2,in_template_test,The dragon signed the treaty.,Someone asked whether the dragon signed the treaty.,question,none,0.0,,"Input: The dragon signed the treaty.
Output:","The dragon signed the treaty.
Output: The dragon signed the treaty.
Output: The dragon signed the treaty.
Output: The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
