language,template_id,level,text,marker
en,43,0,she feels indifferent toward this system at the end.,indifferent
en,43,1,she likes this system at the end.,likes
en,43,2,she loves this system at the end.,loves
en,44,-2,the researcher hates this city during the review.,hates
en,44,-1,the researcher dislikes this city during the review.,dislikes
en,44,0,the researcher feels indifferent toward this city during the review.,indifferent
en,44,1,the researcher likes this city during the review.,likes
en,44,2,the researcher loves this city during the review.,loves
en,45,-2,I hates this idea during the review.,hates
en,45,-1,I dislikes this idea during the review.,dislikes
en,45,0,I feels indifferent toward this idea during the review.,indifferent
en,45,1,I likes this idea during the review.,likes
en,45,2,I loves this idea during the review.,loves
en,46,-2,the critic hates the song today.,hates
en,46,-1,the critic dislikes the song today.,dislikes
en,46,0,the critic feels indifferent toward the song today.,indifferent
en,46,1,the critic likes the song today.,likes
en,46,2,the critic loves the song today.,loves
en,47,-2,I hates the design at the end.,hates
en,47,-1,I dislikes the design at the end.,dislikes
en,47,0,I feels indifferent toward the design at the end.,indifferent
en,47,1,I likes the design at the end.,likes
en,47,2,I loves the design at the end.,loves
en,48,-2,the artist hates the design today.,hates
en,48,-1,the artist dislikes the design today.,dislikes
en,48,0,the artist feels indifferent toward the design today.,indifferent
en,48,1,the artist likes the design today.,likes
en,48,2,the artist loves the design today.,loves
en,49,-2,the artist hates this system during the review.,hates
en,49,-1,the artist dislikes this system during the review.,dislikes
en,49,0,the artist feels indifferent toward this system during the review.,indifferent
en,49,1,the artist likes this system during the review.,likes
en,49,2,the artist loves this system during the review.,loves
en,50,-2,I hates this idea in private.,hates
en,50,-1,I dislikes this idea in private.,dislikes
en,50,0,I feels indifferent toward this idea in private.,indifferent
en,50,1,I likes this idea in private.,likes
en,50,2,I loves this idea in private.,loves
en,51,-2,the artist hates the proposal in private.,hates
en,51,-1,the artist dislikes the proposal in private.,dislikes
en,51,0,the artist feels indifferent toward the proposal in private.,indifferent
en,51,1,the artist likes the proposal in private.,likes
en,51,2,the artist loves the proposal in private.,loves
en,52,-2,the artist hates this system today.,hates
en,52,-1,the artist dislikes this system today.,dislikes
en,52,0,the artist feels indifferent toward this system today.,indifferent
en,52,1,the artist likes this system today.,likes
en,52,2,the artist loves this system today.,loves
en,53,-2,the critic hates you during the review.,hates
en,53,-1,the critic dislikes you during the review.,dislikes
en,53,0,the critic feels indifferent toward you during the review.,indifferent
en,53,1,the critic likes you during the review.,likes
en,53,2,the critic loves you during the review.,loves
en,54,-2,the researcher hates this idea during the review.,hates
en,54,-1,the researcher dislikes this idea during the review.,dislikes
en,54,0,the researcher feels indifferent toward this idea during the review.,indifferent
en,54,1,the researcher likes this idea during the review.,likes
en,54,2,the researcher loves this idea during the review.,loves
en,55,-2,the researcher hates the proposal during the review.,hates
en,55,-1,the researcher dislikes the proposal during the review.,dislikes
en,55,0,the researcher feels indifferent toward the proposal during the review.,indifferent
en,55,1,the researcher likes the proposal during the review.,likes
en,55,2,the researcher loves the proposal during the review.,loves
en,56,-2,the neighbor hates this idea today.,hates
en,56,-1,the neighbor dislikes this idea today.,dislikes
en,56,0,the neighbor feels indifferent toward this idea today.,indifferent
en,56,1,the neighbor likes this idea today.,likes
en,56,2,the neighbor loves this idea today.,loves
en,57,-2,she hates the proposal during the review.,hates
en,57,-1,she dislikes the proposal during the review.,dislikes
en,57,0,she feels indifferent toward the proposal during the review.,indifferent
en,57,1,she likes the proposal during the review.,likes
en,57,2,she loves the proposal during the review.,loves
en,58,-2,the researcher hates the song at the end.,hates
en,58,-1,the researcher dislikes the song at the end.,dislikes
en,58,0,the researcher feels indifferent toward the song at the end.,indifferent
en,58,1,the researcher likes the song at the end.,likes
en,58,2,the researcher loves the song at the end.,loves
en,59,-2,the neighbor hates you in private.,hates
en,59,-1,the neighbor dislikes you in private.,dislikes
en,59,0,the neighbor feels indifferent toward you in private.,indifferent
en,59,1,the neighbor likes you in private.,likes
en,59,2,the neighbor loves you in private.,loves
en,60,-2,the critic hates this film in private.,hates
en,60,-1,the critic dislikes this film in private.,dislikes
en,60,0,the critic feels indifferent toward this film in private.,indifferent
en,60,1,the critic likes this film in private.,likes
en,60,2,the critic loves this film in private.,loves
en,61,-2,the user hates the song in private.,hates
en,61,-1,the user dislikes the song in private.,dislikes
en,61,0,the user feels indifferent toward the song in private.,indifferent
en,61,1,the user likes the song in private.,likes
en,61,2,the user loves the song in private.,loves
en,62,-2,I hates the design during the review.,hates
en,62,-1,I dislikes the design during the review.,dislikes
en,62,0,I feels indifferent toward the design during the review.,indifferent
en,62,1,I likes the design during the review.,likes
en,62,2,I loves the design during the review.,loves
en,63,-2,I hates this system during the review.,hates
en,63,-1,I dislikes this system during the review.,dislikes
en,63,0,I feels indifferent toward this system during the review.,indifferent
en,63,1,I likes this system during the review.,likes
en,63,2,I loves this system during the review.,loves
en,64,-2,the artist hates this city today.,hates
en,64,-1,the artist dislikes this city today.,dislikes
en,64,0,the artist feels indifferent toward this city today.,indifferent
en,64,1,the artist likes this city today.,likes
en,64,2,the artist loves this city today.,loves
en,65,-2,the critic hates this film after the meeting.,hates
en,65,-1,the critic dislikes this film after the meeting.,dislikes
en,65,0,the critic feels indifferent toward this film after the meeting.,indifferent
en,65,1,the critic likes this film after the meeting.,likes
en,65,2,the critic loves this film after the meeting.,loves
en,66,-2,I hates the song today.,hates
en,66,-1,I dislikes the song today.,dislikes
en,66,0,I feels indifferent toward the song today.,indifferent
en,66,1,I likes the song today.,likes
en,66,2,I loves the song today.,loves
en,67,-2,the user hates the proposal in private.,hates
en,67,-1,the user dislikes the proposal in private.,dislikes
en,67,0,the user feels indifferent toward the proposal in private.,indifferent
en,67,1,the user likes the proposal in private.,likes
en,67,2,the user loves the proposal in private.,loves
en,68,-2,the user hates the design today.,hates
en,68,-1,the user dislikes the design today.,dislikes
en,68,0,the user feels indifferent toward the design today.,indifferent
en,68,1,the user likes the design today.,likes
en,68,2,the user loves the design today.,loves
en,69,-2,she hates the song after the meeting.,hates
en,69,-1,she dislikes the song after the meeting.,dislikes
en,69,0,she feels indifferent toward the song after the meeting.,indifferent
en,69,1,she likes the song after the meeting.,likes
en,69,2,she loves the song after the meeting.,loves
en,70,-2,the user hates this city in private.,hates
en,70,-1,the user dislikes this city in private.,dislikes
en,70,0,the user feels indifferent toward this city in private.,indifferent
en,70,1,the user likes this city in private.,likes
en,70,2,the user loves this city in private.,loves
en,71,-2,she hates you in private.,hates
en,71,-1,she dislikes you in private.,dislikes
en,71,0,she feels indifferent toward you in private.,indifferent
en,71,1,she likes you in private.,likes
en,71,2,she loves you in private.,loves
en,72,-2,I hates the song after the meeting.,hates
en,72,-1,I dislikes the song after the meeting.,dislikes
en,72,0,I feels indifferent toward the song after the meeting.,indifferent
en,72,1,I likes the song after the meeting.,likes
en,72,2,I loves the song after the meeting.,loves
en,73,-2,the artist hates this film today.,hates
en,73,-1,the artist dislikes this film today.,dislikes
en,73,0,the artist feels indifferent toward this film today.,indifferent
en,73,1,the artist likes this film today.,likes
en,73,2,the artist loves this film today.,loves
en,74,-2,the neighbor hates this system during the review.,hates
en,74,-1,the neighbor dislikes this system during the review.,dislikes
en,74,0,the neighbor feels indifferent toward this system during the review.,indifferent
en,74,1,the neighbor likes this system during the review.,likes
en,74,2,the neighbor loves this system during the review.,loves
en,75,-2,the teacher hates the design after the meeting.,hates
en,75,-1,the teacher dislikes the design after the meeting.,dislikes
en,75,0,the teacher feels indifferent toward the design after the meeting.,indifferent
en,75,1,the teacher likes the design after the meeting.,likes
en,75,2,the teacher loves the design after the meeting.,loves
en,76,-2,the teacher hates this city in private.,hates
en,76,-1,the teacher dislikes this city in private.,dislikes
en,76,0,the teacher feels indifferent toward this city in private.,indifferent
en,76,1,the teacher likes this city in private.,likes
en,76,2,the teacher loves this city in private.,loves
en,77,-2,the artist hates the proposal today.,hates
en,77,-1,the artist dislikes the proposal today.,dislikes
en,77,0,the artist feels indifferent toward the proposal today.,indifferent
en,77,1,the artist likes the proposal today.,likes
en,77,2,the artist loves the proposal today.,loves
en,78,-2,the researcher hates this idea after the meeting.,hates
en,78,-1,the researcher dislikes this idea after the meeting.,dislikes
en,78,0,the researcher feels indifferent toward this idea after the meeting.,indifferent
en,78,1,the researcher likes this idea after the meeting.,likes
en,78,2,the researcher loves this idea after the meeting.,loves
en,79,-2,the researcher hates this system during the review.,hates
en,79,-1,the researcher dislikes this system during the review.,dislikes
en,79,0,the researcher feels indifferent toward this system during the review.,indifferent
en,79,1,the researcher likes this system during the review.,likes
en,79,2,the researcher loves this system during the review.,loves
en,80,-2,the critic hates this system after the meeting.,hates
en,80,-1,the critic dislikes this system after the meeting.,dislikes
en,80,0,the critic feels indifferent toward this system after the meeting.,indifferent
en,80,1,the critic likes this system after the meeting.,likes
en,80,2,the critic loves this system after the meeting.,loves
en,81,-2,I hates the proposal today.,hates
en,81,-1,I dislikes the proposal today.,dislikes
en,81,0,I feels indifferent toward the proposal today.,indifferent
en,81,1,I likes the proposal today.,likes
en,81,2,I loves the proposal today.,loves
en,82,-2,the neighbor hates this film after the meeting.,hates
en,82,-1,the neighbor dislikes this film after the meeting.,dislikes
en,82,0,the neighbor feels indifferent toward this film after the meeting.,indifferent
en,82,1,the neighbor likes this film after the meeting.,likes
en,82,2,the neighbor loves this film after the meeting.,loves
en,83,-2,the teacher hates this city during the review.,hates
en,83,-1,the teacher dislikes this city during the review.,dislikes
en,83,0,the teacher feels indifferent toward this city during the review.,indifferent
en,83,1,the teacher likes this city during the review.,likes
en,83,2,the teacher loves this city during the review.,loves
en,84,-2,the researcher hates the song after the meeting.,hates
en,84,-1,the researcher dislikes the song after the meeting.,dislikes
en,84,0,the researcher feels indifferent toward the song after the meeting.,indifferent
en,84,1,the researcher likes the song after the meeting.,likes
en,84,2,the researcher loves the song after the meeting.,loves
en,85,-2,the critic hates the design after the meeting.,hates
en,85,-1,the critic dislikes the design after the meeting.,dislikes
en,85,0,the critic feels indifferent toward the design after the meeting.,indifferent
en,85,1,the critic likes the design after the meeting.,likes
en,85,2,the critic loves the design after the meeting.,loves
en,86,-2,I hates this film at the end.,hates
en,86,-1,I dislikes this film at the end.,dislikes
en,86,0,I feels indifferent toward this film at the end.,indifferent
en,86,1,I likes this film at the end.,likes
en,86,2,I loves this film at the end.,loves
en,87,-2,she hates the song in private.,hates
en,87,-1,she dislikes the song in private.,dislikes
en,87,0,she feels indifferent toward the song in private.,indifferent
en,87,1,she likes the song in private.,likes
en,87,2,she loves the song in private.,loves
en,88,-2,the user hates this city at the end.,hates
en,88,-1,the user dislikes this city at the end.,dislikes
en,88,0,the user feels indifferent toward this city at the end.,indifferent
en,88,1,the user likes this city at the end.,likes
en,88,2,the user loves this city at the end.,loves
en,89,-2,I hates the design today.,hates
en,89,-1,I dislikes the design today.,dislikes
en,89,0,I feels indifferent toward the design today.,indifferent
en,89,1,I likes the design today.,likes
en,89,2,I loves the design today.,loves
en,90,-2,she hates the song today.,hates
en,90,-1,she dislikes the song today.,dislikes
en,90,0,she feels indifferent toward the song today.,indifferent
en,90,1,she likes the song today.,likes
en,90,2,she loves the song today.,loves
en,91,-2,the teacher hates the proposal at the end.,hates
en,91,-1,the teacher dislikes the proposal at the end.,dislikes
en,91,0,the teacher feels indifferent toward the proposal at the end.,indifferent
en,91,1,the teacher likes the proposal at the end.,likes
en,91,2,the teacher loves the proposal at the end.,loves
en,92,-2,the user hates you during the review.,hates
en,92,-1,the user dislikes you during the review.,dislikes
en,92,0,the user feels indifferent toward you during the review.,indifferent
en,92,1,the user likes you during the review.,likes
en,92,2,the user loves you during the review.,loves
en,93,-2,the artist hates this idea today.,hates
en,93,-1,the artist dislikes this idea today.,dislikes
en,93,0,the artist feels indifferent toward this idea today.,indifferent
en,93,1,the artist likes this idea today.,likes
en,93,2,the artist loves this idea today.,loves
en,94,-2,the user hates this system in private.,hates
en,94,-1,the user dislikes this system in private.,dislikes
en,94,0,the user feels indifferent toward this system in private.,indifferent
en,94,1,the user likes this system in private.,likes
en,94,2,the user loves this system in private.,loves
en,95,-2,the neighbor hates the song in private.,hates
en,95,-1,the neighbor dislikes the song in private.,dislikes
en,95,0,the neighbor feels indifferent toward the song in private.,indifferent
en,95,1,the neighbor likes the song in private.,likes
en,95,2,the neighbor loves the song in private.,loves
en,96,-2,the teacher hates this system after the meeting.,hates
en,96,-1,the teacher dislikes this system after the meeting.,dislikes
en,96,0,the teacher feels indifferent toward this system after the meeting.,indifferent
en,96,1,the teacher likes this system after the meeting.,likes
en,96,2,the teacher loves this system after the meeting.,loves
en,97,-2,the critic hates you in private.,hates
en,97,-1,the critic dislikes you in private.,dislikes
en,97,0,the critic feels indifferent toward you in private.,indifferent
en,97,1,the critic likes you in private.,likes
en,97,2,the critic loves you in private.,loves
en,98,-2,the artist hates this system after the meeting.,hates
en,98,-1,the artist dislikes this system after the meeting.,dislikes
en,98,0,the artist feels indifferent toward this system after the meeting.,indifferent
en,98,1,the artist likes this system after the meeting.,likes
en,98,2,the artist loves this system after the meeting.,loves
en,99,-2,the critic hates the proposal in private.,hates
en,99,-1,the critic dislikes the proposal in private.,dislikes
en,99,0,the critic feels indifferent toward the proposal in private.,indifferent
en,99,1,the critic likes the proposal in private.,likes
en,99,2,the critic loves the proposal in private.,loves
en,100,-2,the neighbor hates the design today.,hates
en,100,-1,the neighbor dislikes the design today.,dislikes
en,100,0,the neighbor feels indifferent toward the design today.,indifferent
en,100,1,the neighbor likes the design today.,likes
en,100,2,the neighbor loves the design today.,loves
en,101,-2,the neighbor hates this city after the meeting.,hates
en,101,-1,the neighbor dislikes this city after the meeting.,dislikes
en,101,0,the neighbor feels indifferent toward this city after the meeting.,indifferent
en,101,1,the neighbor likes this city after the meeting.,likes
en,101,2,the neighbor loves this city after the meeting.,loves
en,102,-2,the artist hates this idea at the end.,hates
en,102,-1,the artist dislikes this idea at the end.,dislikes
en,102,0,the artist feels indifferent toward this idea at the end.,indifferent
en,102,1,the artist likes this idea at the end.,likes
en,102,2,the artist loves this idea at the end.,loves
en,103,-2,the artist hates this city in private.,hates
en,103,-1,the artist dislikes this city in private.,dislikes
en,103,0,the artist feels indifferent toward this city in private.,indifferent
en,103,1,the artist likes this city in private.,likes
en,103,2,the artist loves this city in private.,loves
en,104,-2,the artist hates the song after the meeting.,hates
en,104,-1,the artist dislikes the song after the meeting.,dislikes
en,104,0,the artist feels indifferent toward the song after the meeting.,indifferent
en,104,1,the artist likes the song after the meeting.,likes
en,104,2,the artist loves the song after the meeting.,loves
en,105,-2,the neighbor hates this system in private.,hates
en,105,-1,the neighbor dislikes this system in private.,dislikes
en,105,0,the neighbor feels indifferent toward this system in private.,indifferent
en,105,1,the neighbor likes this system in private.,likes
en,105,2,the neighbor loves this system in private.,loves
en,106,-2,the user hates you after the meeting.,hates
en,106,-1,the user dislikes you after the meeting.,dislikes
en,106,0,the user feels indifferent toward you after the meeting.,indifferent
en,106,1,the user likes you after the meeting.,likes
en,106,2,the user loves you after the meeting.,loves
en,107,-2,the critic hates this idea during the review.,hates
en,107,-1,the critic dislikes this idea during the review.,dislikes
en,107,0,the critic feels indifferent toward this idea during the review.,indifferent
en,107,1,the critic likes this idea during the review.,likes
en,107,2,the critic loves this idea during the review.,loves
en,108,-2,the critic hates the song at the end.,hates
en,108,-1,the critic dislikes the song at the end.,dislikes
en,108,0,the critic feels indifferent toward the song at the end.,indifferent
en,108,1,the critic likes the song at the end.,likes
en,108,2,the critic loves the song at the end.,loves
en,109,-2,I hates the song during the review.,hates
en,109,-1,I dislikes the song during the review.,dislikes
en,109,0,I feels indifferent toward the song during the review.,indifferent
en,109,1,I likes the song during the review.,likes
en,109,2,I loves the song during the review.,loves
en,110,-2,I hates you today.,hates
en,110,-1,I dislikes you today.,dislikes
en,110,0,I feels indifferent toward you today.,indifferent
en,110,1,I likes you today.,likes
en,110,2,I loves you today.,loves
en,111,-2,the artist hates this system in private.,hates
en,111,-1,the artist dislikes this system in private.,dislikes
en,111,0,the artist feels indifferent toward this system in private.,indifferent
en,111,1,the artist likes this system in private.,likes
en,111,2,the artist loves this system in private.,loves
en,112,-2,she hates this film in private.,hates
en,112,-1,she dislikes this film in private.,dislikes
en,112,0,she feels indifferent toward this film in private.,indifferent
en,112,1,she likes this film in private.,likes
en,112,2,she loves this film in private.,loves
en,113,-2,the critic hates the design at the end.,hates
en,113,-1,the critic dislikes the design at the end.,dislikes
en,113,0,the critic feels indifferent toward the design at the end.,indifferent
en,113,1,the critic likes the design at the end.,likes
en,113,2,the critic loves the design at the end.,loves
en,114,-2,she hates this idea after the meeting.,hates
en,114,-1,she dislikes this idea after the meeting.,dislikes
en,114,0,she feels indifferent toward this idea after the meeting.,indifferent
en,114,1,she likes this idea after the meeting.,likes
en,114,2,she loves this idea after the meeting.,loves
en,115,-2,the neighbor hates this idea at the end.,hates
en,115,-1,the neighbor dislikes this idea at the end.,dislikes
en,115,0,the neighbor feels indifferent toward this idea at the end.,indifferent
en,115,1,the neighbor likes this idea at the end.,likes
en,115,2,the neighbor loves this idea at the end.,loves
en,116,-2,she hates this city during the review.,hates
en,116,-1,she dislikes this city during the review.,dislikes
en,116,0,she feels indifferent toward this city during the review.,indifferent
en,116,1,she likes this city during the review.,likes
en,116,2,she loves this city during the review.,loves
en,117,-2,I hates this city today.,hates
