comparison,train_model,test_model,prototype_method,feature,acc,f1,observed_raw_f1,observed_aligned_f1,gain_vs_observed_aligned_f1
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_prototype_scores,0.6,0.4994106775030648,,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.596,0.4806691525561872,,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,rise_style,delta_only,0.762,0.7145861261882733,,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_prototype_scores,0.61,0.507747304049825,,,
within_model,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_hybrid_delta_scores,0.61,0.49546364416252897,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,mdv_raw,delta_only,0.708,0.694233410484854,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,mdv_raw,mdv_raw_prototype_scores,0.624,0.6243734815350518,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.634,0.6192234166792483,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,mdv_unit,delta_only,0.708,0.694233410484854,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,mdv_unit,mdv_unit_prototype_scores,0.646,0.6282871349733926,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.636,0.6112788028348,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,rise_style,delta_only,0.708,0.694233410484854,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,rise_style,rise_style_prototype_scores,0.64,0.6254357474610317,,,
within_model,microsoft/deberta-v3-base,microsoft/deberta-v3-base,rise_style,rise_style_hybrid_delta_scores,0.632,0.6068990853173838,,,
cross_model_full_anchor,bert-base-uncased,roberta-base,mdv_raw,delta_only,0.706,0.6498234346398973,0.2462072183356395,0.6498234346398973,0.0
cross_model_full_anchor,bert-base-uncased,roberta-base,mdv_raw,mdv_raw_prototype_scores,0.62,0.548516612152177,0.2462072183356395,0.6498234346398973,-0.10130682248772038
cross_model_full_anchor,bert-base-uncased,roberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.67,0.6043165342328523,0.2462072183356395,0.6498234346398973,-0.04550690040704508
cross_model_full_anchor,bert-base-uncased,roberta-base,mdv_unit,delta_only,0.706,0.6498234346398973,0.2462072183356395,0.6498234346398973,0.0
cross_model_full_anchor,bert-base-uncased,roberta-base,mdv_unit,mdv_unit_prototype_scores,0.656,0.5931846238937732,0.2462072183356395,0.6498234346398973,-0.05663881074612409
cross_model_full_anchor,bert-base-uncased,roberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.558,0.441347835706208,0.2462072183356395,0.6498234346398973,-0.20847559893368933
cross_model_full_anchor,bert-base-uncased,roberta-base,rise_style,delta_only,0.706,0.6498234346398973,0.2462072183356395,0.6498234346398973,0.0
cross_model_full_anchor,bert-base-uncased,roberta-base,rise_style,rise_style_prototype_scores,0.668,0.6212511997487608,0.2462072183356395,0.6498234346398973,-0.028572234891136583
cross_model_full_anchor,bert-base-uncased,roberta-base,rise_style,rise_style_hybrid_delta_scores,0.542,0.43517632130315465,0.2462072183356395,0.6498234346398973,-0.2146471133367427
cross_model_full_anchor,bert-base-uncased,distilroberta-base,mdv_raw,delta_only,0.682,0.6132691468617952,0.2316825942466093,0.6132691468617952,0.0
cross_model_full_anchor,bert-base-uncased,distilroberta-base,mdv_raw,mdv_raw_prototype_scores,0.616,0.5381157412797896,0.2316825942466093,0.6132691468617952,-0.07515340558200567
cross_model_full_anchor,bert-base-uncased,distilroberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.648,0.5857611298444755,0.2316825942466093,0.6132691468617952,-0.027508017017319752
cross_model_full_anchor,bert-base-uncased,distilroberta-base,mdv_unit,delta_only,0.682,0.6132691468617952,0.2316825942466093,0.6132691468617952,0.0
cross_model_full_anchor,bert-base-uncased,distilroberta-base,mdv_unit,mdv_unit_prototype_scores,0.672,0.6205374202197792,0.2316825942466093,0.6132691468617952,0.0072682733579839676
cross_model_full_anchor,bert-base-uncased,distilroberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.516,0.4246285879459225,0.2316825942466093,0.6132691468617952,-0.18864055891587272
cross_model_full_anchor,bert-base-uncased,distilroberta-base,rise_style,delta_only,0.682,0.6132691468617952,0.2316825942466093,0.6132691468617952,0.0
cross_model_full_anchor,bert-base-uncased,distilroberta-base,rise_style,rise_style_prototype_scores,0.704,0.6702325472980446,0.2316825942466093,0.6132691468617952,0.05696340043624937
cross_model_full_anchor,bert-base-uncased,distilroberta-base,rise_style,rise_style_hybrid_delta_scores,0.558,0.4560935318584245,0.2316825942466093,0.6132691468617952,-0.15717561500337074
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,delta_only,0.768,0.7538170115036008,0.1657294157379263,0.7538170115036008,0.0
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_prototype_scores,0.598,0.5107172314593237,0.1657294157379263,0.7538170115036008,-0.24309978004427713
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.586,0.5184137214153415,0.1657294157379263,0.7538170115036008,-0.23540329008825933
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,delta_only,0.768,0.7538170115036008,0.1657294157379263,0.7538170115036008,0.0
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_prototype_scores,0.524,0.4947381747652206,0.1657294157379263,0.7538170115036008,-0.2590788367383802
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.468,0.4429039722343332,0.1657294157379263,0.7538170115036008,-0.3109130392692676
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,rise_style,delta_only,0.768,0.7538170115036008,0.1657294157379263,0.7538170115036008,0.0
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_prototype_scores,0.478,0.44826276574191404,0.1657294157379263,0.7538170115036008,-0.30555424576168677
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_hybrid_delta_scores,0.57,0.52841052668564,0.1657294157379263,0.7538170115036008,-0.22540648481796077
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,mdv_raw,delta_only,0.858,0.8570105256098959,0.151719981920688,0.8570105256098959,0.0
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_prototype_scores,0.554,0.4309820963332299,0.151719981920688,0.8570105256098959,-0.42602842927666595
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.524,0.43252033317513916,0.151719981920688,0.8570105256098959,-0.4244901924347567
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,mdv_unit,delta_only,0.858,0.8570105256098959,0.151719981920688,0.8570105256098959,0.0
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_prototype_scores,0.502,0.42514297450282107,0.151719981920688,0.8570105256098959,-0.4318675511070748
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.422,0.2870337535353483,0.151719981920688,0.8570105256098959,-0.5699767720745476
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,rise_style,delta_only,0.858,0.8570105256098959,0.151719981920688,0.8570105256098959,0.0
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_prototype_scores,0.512,0.44676896039742375,0.151719981920688,0.8570105256098959,-0.4102415652124721
cross_model_full_anchor,bert-base-uncased,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_hybrid_delta_scores,0.432,0.29506303758689756,0.151719981920688,0.8570105256098959,-0.5619474880229983
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,mdv_raw,delta_only,0.704,0.6845208126950875,0.1264393054103368,0.6845208126950875,0.0
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,mdv_raw,mdv_raw_prototype_scores,0.666,0.6558304499466783,0.1264393054103368,0.6845208126950875,-0.028690362748409193
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.656,0.6224092848650131,0.1264393054103368,0.6845208126950875,-0.06211152783007434
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,mdv_unit,delta_only,0.704,0.6845208126950875,0.1264393054103368,0.6845208126950875,0.0
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,mdv_unit,mdv_unit_prototype_scores,0.676,0.6695240677248424,0.1264393054103368,0.6845208126950875,-0.014996744970245057
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.622,0.6008312631780894,0.1264393054103368,0.6845208126950875,-0.08368954951699803
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,rise_style,delta_only,0.704,0.6845208126950875,0.1264393054103368,0.6845208126950875,0.0
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,rise_style,rise_style_prototype_scores,0.692,0.6860432958561083,0.1264393054103368,0.6845208126950875,0.0015224831610208822
cross_model_full_anchor,bert-base-uncased,microsoft/deberta-v3-base,rise_style,rise_style_hybrid_delta_scores,0.646,0.632044489193605,0.1264393054103368,0.6845208126950875,-0.05247632350148246
cross_model_full_anchor,roberta-base,bert-base-uncased,mdv_raw,delta_only,0.702,0.6789906125053523,0.1994588225604192,0.6789906125053523,0.0
cross_model_full_anchor,roberta-base,bert-base-uncased,mdv_raw,mdv_raw_prototype_scores,0.2,0.06791171477079797,0.1994588225604192,0.6789906125053523,-0.6110788977345544
cross_model_full_anchor,roberta-base,bert-base-uncased,mdv_raw,mdv_raw_hybrid_delta_scores,0.37,0.23639895759298746,0.1994588225604192,0.6789906125053523,-0.44259165491236485
cross_model_full_anchor,roberta-base,bert-base-uncased,mdv_unit,delta_only,0.702,0.6789906125053523,0.1994588225604192,0.6789906125053523,0.0
cross_model_full_anchor,roberta-base,bert-base-uncased,mdv_unit,mdv_unit_prototype_scores,0.4,0.2415063093523318,0.1994588225604192,0.6789906125053523,-0.4374843031530205
cross_model_full_anchor,roberta-base,bert-base-uncased,mdv_unit,mdv_unit_hybrid_delta_scores,0.36,0.2522328270497088,0.1994588225604192,0.6789906125053523,-0.4267577854556435
cross_model_full_anchor,roberta-base,bert-base-uncased,rise_style,delta_only,0.702,0.6789906125053523,0.1994588225604192,0.6789906125053523,0.0
cross_model_full_anchor,roberta-base,bert-base-uncased,rise_style,rise_style_prototype_scores,0.4,0.2375,0.1994588225604192,0.6789906125053523,-0.4414906125053523
cross_model_full_anchor,roberta-base,bert-base-uncased,rise_style,rise_style_hybrid_delta_scores,0.354,0.25049313499908177,0.1994588225604192,0.6789906125053523,-0.42849747750627054
cross_model_full_anchor,roberta-base,distilroberta-base,mdv_raw,delta_only,0.738,0.6890647576915783,0.4373816645690323,0.6890647576915783,0.0
cross_model_full_anchor,roberta-base,distilroberta-base,mdv_raw,mdv_raw_prototype_scores,0.644,0.6178357017092452,0.4373816645690323,0.6890647576915783,-0.07122905598233309
cross_model_full_anchor,roberta-base,distilroberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.644,0.626287767749895,0.4373816645690323,0.6890647576915783,-0.06277698994168324
cross_model_full_anchor,roberta-base,distilroberta-base,mdv_unit,delta_only,0.738,0.6890647576915783,0.4373816645690323,0.6890647576915783,0.0
cross_model_full_anchor,roberta-base,distilroberta-base,mdv_unit,mdv_unit_prototype_scores,0.608,0.5983623328176988,0.4373816645690323,0.6890647576915783,-0.09070242487387947
cross_model_full_anchor,roberta-base,distilroberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.58,0.5861535854498853,0.4373816645690323,0.6890647576915783,-0.102911172241693
cross_model_full_anchor,roberta-base,distilroberta-base,rise_style,delta_only,0.738,0.6890647576915783,0.4373816645690323,0.6890647576915783,0.0
cross_model_full_anchor,roberta-base,distilroberta-base,rise_style,rise_style_prototype_scores,0.63,0.6130253689928884,0.4373816645690323,0.6890647576915783,-0.07603938869868987
cross_model_full_anchor,roberta-base,distilroberta-base,rise_style,rise_style_hybrid_delta_scores,0.578,0.5799828320484932,0.4373816645690323,0.6890647576915783,-0.10908192564308505
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,delta_only,0.792,0.768514878953126,0.1511502052773171,0.768514878953126,0.0
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_prototype_scores,0.29,0.2165536774232426,0.1511502052773171,0.768514878953126,-0.5519612015298834
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.384,0.35537560099652243,0.1511502052773171,0.768514878953126,-0.41313927795660355
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,delta_only,0.792,0.768514878953126,0.1511502052773171,0.768514878953126,0.0
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_prototype_scores,0.394,0.32352499775303445,0.1511502052773171,0.768514878953126,-0.44498988120009153
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.2,0.06666666666666667,0.1511502052773171,0.768514878953126,-0.7018482122864593
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,delta_only,0.792,0.768514878953126,0.1511502052773171,0.768514878953126,0.0
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_prototype_scores,0.2,0.06666666666666667,0.1511502052773171,0.768514878953126,-0.7018482122864593
cross_model_full_anchor,roberta-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_hybrid_delta_scores,0.2,0.06666666666666667,0.1511502052773171,0.768514878953126,-0.7018482122864593
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,delta_only,0.786,0.7804289533123703,0.0931444344334199,0.7804289533123703,0.0
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_prototype_scores,0.55,0.43035570170296883,0.0931444344334199,0.7804289533123703,-0.35007325160940145
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.504,0.395089247888501,0.0931444344334199,0.7804289533123703,-0.38533970542386925
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,delta_only,0.786,0.7804289533123703,0.0931444344334199,0.7804289533123703,0.0
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_prototype_scores,0.474,0.4119818425369887,0.0931444344334199,0.7804289533123703,-0.36844711077538156
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.378,0.3289091514561192,0.0931444344334199,0.7804289533123703,-0.45151980185625107
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,rise_style,delta_only,0.786,0.7804289533123703,0.0931444344334199,0.7804289533123703,0.0
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_prototype_scores,0.47,0.4079369899104709,0.0931444344334199,0.7804289533123703,-0.3724919634018994
cross_model_full_anchor,roberta-base,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_hybrid_delta_scores,0.356,0.31769016627244057,0.0931444344334199,0.7804289533123703,-0.4627387870399297
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,mdv_raw,delta_only,0.636,0.6276559586876973,0.4771946514454838,0.6276559586876973,0.0
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,mdv_raw,mdv_raw_prototype_scores,0.2,0.06814310051107325,0.4771946514454838,0.6276559586876973,-0.559512858176624
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.37,0.220810747317956,0.4771946514454838,0.6276559586876973,-0.4068452113697413
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,mdv_unit,delta_only,0.636,0.6276559586876973,0.4771946514454838,0.6276559586876973,0.0
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,mdv_unit,mdv_unit_prototype_scores,0.398,0.24600719774341018,0.4771946514454838,0.6276559586876973,-0.3816487609442871
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.378,0.23166368355906997,0.4771946514454838,0.6276559586876973,-0.39599227512862734
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,rise_style,delta_only,0.636,0.6276559586876973,0.4771946514454838,0.6276559586876973,0.0
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,rise_style,rise_style_prototype_scores,0.396,0.23943617635228484,0.4771946514454838,0.6276559586876973,-0.38821978233541243
cross_model_full_anchor,roberta-base,microsoft/deberta-v3-base,rise_style,rise_style_hybrid_delta_scores,0.38,0.24584417053036303,0.4771946514454838,0.6276559586876973,-0.3818117881573343
cross_model_full_anchor,distilroberta-base,bert-base-uncased,mdv_raw,delta_only,0.67,0.6137021406068748,0.336865166243237,0.6137021406068748,0.0
cross_model_full_anchor,distilroberta-base,bert-base-uncased,mdv_raw,mdv_raw_prototype_scores,0.4,0.2729844536398988,0.336865166243237,0.6137021406068748,-0.34071768696697596
cross_model_full_anchor,distilroberta-base,bert-base-uncased,mdv_raw,mdv_raw_hybrid_delta_scores,0.424,0.3537139841548536,0.336865166243237,0.6137021406068748,-0.25998815645202117
cross_model_full_anchor,distilroberta-base,bert-base-uncased,mdv_unit,delta_only,0.67,0.6137021406068748,0.336865166243237,0.6137021406068748,0.0
cross_model_full_anchor,distilroberta-base,bert-base-uncased,mdv_unit,mdv_unit_prototype_scores,0.2,0.06666666666666667,0.336865166243237,0.6137021406068748,-0.5470354739402081
cross_model_full_anchor,distilroberta-base,bert-base-uncased,mdv_unit,mdv_unit_hybrid_delta_scores,0.2,0.06666666666666667,0.336865166243237,0.6137021406068748,-0.5470354739402081
cross_model_full_anchor,distilroberta-base,bert-base-uncased,rise_style,delta_only,0.67,0.6137021406068748,0.336865166243237,0.6137021406068748,0.0
cross_model_full_anchor,distilroberta-base,bert-base-uncased,rise_style,rise_style_prototype_scores,0.2,0.06666666666666667,0.336865166243237,0.6137021406068748,-0.5470354739402081
cross_model_full_anchor,distilroberta-base,bert-base-uncased,rise_style,rise_style_hybrid_delta_scores,0.2,0.06666666666666667,0.336865166243237,0.6137021406068748,-0.5470354739402081
cross_model_full_anchor,distilroberta-base,roberta-base,mdv_raw,delta_only,0.686,0.6339397575802788,0.4775905048735896,0.6339397575802788,0.0
cross_model_full_anchor,distilroberta-base,roberta-base,mdv_raw,mdv_raw_prototype_scores,0.618,0.5616560748858885,0.4775905048735896,0.6339397575802788,-0.07228368269439023
cross_model_full_anchor,distilroberta-base,roberta-base,mdv_raw,mdv_raw_hybrid_delta_scores,0.628,0.5612727350608503,0.4775905048735896,0.6339397575802788,-0.07266702251942847
cross_model_full_anchor,distilroberta-base,roberta-base,mdv_unit,delta_only,0.686,0.6339397575802788,0.4775905048735896,0.6339397575802788,0.0
cross_model_full_anchor,distilroberta-base,roberta-base,mdv_unit,mdv_unit_prototype_scores,0.634,0.6006342723788031,0.4775905048735896,0.6339397575802788,-0.03330548520147569
cross_model_full_anchor,distilroberta-base,roberta-base,mdv_unit,mdv_unit_hybrid_delta_scores,0.642,0.5991387912993191,0.4775905048735896,0.6339397575802788,-0.03480096628095963
cross_model_full_anchor,distilroberta-base,roberta-base,rise_style,delta_only,0.686,0.6339397575802788,0.4775905048735896,0.6339397575802788,0.0
cross_model_full_anchor,distilroberta-base,roberta-base,rise_style,rise_style_prototype_scores,0.634,0.5816568914980491,0.4775905048735896,0.6339397575802788,-0.05228286608222965
cross_model_full_anchor,distilroberta-base,roberta-base,rise_style,rise_style_hybrid_delta_scores,0.636,0.5706185033399448,0.4775905048735896,0.6339397575802788,-0.06332125424033397
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,delta_only,0.788,0.7384064101485334,0.0994744602726311,0.7384064101485334,0.0
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_prototype_scores,0.4,0.3263064291507634,0.0994744602726311,0.7384064101485334,-0.41209998099776995
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.442,0.33777555259199826,0.0994744602726311,0.7384064101485334,-0.4006308575565351
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,delta_only,0.788,0.7384064101485334,0.0994744602726311,0.7384064101485334,0.0
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_prototype_scores,0.2,0.06666666666666667,0.0994744602726311,0.7384064101485334,-0.6717397434818667
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.2,0.06666666666666667,0.0994744602726311,0.7384064101485334,-0.6717397434818667
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,delta_only,0.788,0.7384064101485334,0.0994744602726311,0.7384064101485334,0.0
cross_model_full_anchor,distilroberta-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_prototype_scores,0.2,0.06666666666666667,0.0994744602726311,0.7384064101485334,-0.6717397434818667
