prompt_id,prompt
216,A short story was played by the musician.
217,It is true that the musician played a short story.
218,The programmer did not discover the meal.
219,Did the programmer discover the meal?
220,The programmer will discover the meal.
221,The programmer may have discovered the meal.
222,The meal was discovered by the programmer.
223,It is true that the programmer discovered the meal.
224,The doctor did not explain the aircraft.
225,Did the doctor explain the aircraft?
226,The doctor will explain the aircraft.
227,The doctor may have explained the aircraft.
228,The aircraft was explained by the doctor.
229,It is true that the doctor explained the aircraft.
230,The journalist did not explain a complex machine.
231,Did the journalist explain a complex machine?
232,The journalist will explain a complex machine.
233,The journalist may have explained a complex machine.
234,A complex machine was explained by the journalist.
235,It is true that the journalist explained a complex machine.
236,The nurse did not design the event.
237,Did the nurse design the event?
238,The nurse will design the event.
239,The nurse may have designed the event.
240,The event was designed by the nurse.
241,It is true that the nurse designed the event.
242,The musician did not grow the problem.
243,Did the musician grow the problem?
244,The musician will grow the problem.
245,The musician may have grew the problem.
246,The problem was grew by the musician.
247,It is true that the musician grew the problem.
248,The engineer did not help a complex machine.
249,Did the engineer help a complex machine?
250,The engineer will help a complex machine.
251,The engineer may have helped a complex machine.
252,A complex machine was helped by the engineer.
253,It is true that the engineer helped a complex machine.
254,The writer did not control the aircraft.
255,Did the writer control the aircraft?
256,The writer will control the aircraft.
257,The writer may have controlled the aircraft.
258,The aircraft was controlled by the writer.
259,It is true that the writer controlled the aircraft.
260,The journalist did not create a sad melody.
261,Did the journalist create a sad melody?
262,The journalist will create a sad melody.
263,The journalist may have created a sad melody.
264,A sad melody was created by the journalist.
265,It is true that the journalist created a sad melody.
266,The nurse did not examine the event.
267,Did the nurse examine the event?
268,The nurse will examine the event.
269,The nurse may have examined the event.
270,The event was examined by the nurse.
271,It is true that the nurse examined the event.
272,The writer did not control a short story.
273,Did the writer control a short story?
274,The writer will control a short story.
275,The writer may have controlled a short story.
276,A short story was controlled by the writer.
277,It is true that the writer controlled a short story.
278,The scientist did not discover the family.
279,Did the scientist discover the family?
280,The scientist will discover the family.
281,The scientist may have discovered the family.
282,The family was discovered by the scientist.
283,It is true that the scientist discovered the family.
284,The pilot did not test a complex machine.
285,Did the pilot test a complex machine?
286,The pilot will test a complex machine.
287,The pilot may have tested a complex machine.
288,A complex machine was tested by the pilot.
289,It is true that the pilot tested a complex machine.
290,The analyst did not control the decision.
291,Did the analyst control the decision?
292,The analyst will control the decision.
293,The analyst may have controlled the decision.
294,The decision was controlled by the analyst.
295,It is true that the analyst controlled the decision.
296,The writer did not design the rule.
297,Did the writer design the rule?
298,The writer will design the rule.
299,The writer may have designed the rule.
300,The rule was designed by the writer.
301,It is true that the writer designed the rule.
302,The scientist did not defend the garden.
303,Did the scientist defend the garden?
304,The scientist will defend the garden.
305,The scientist may have defended the garden.
306,The garden was defended by the scientist.
307,It is true that the scientist defended the garden.
308,The nurse did not find a sad melody.
309,Did the nurse find a sad melody?
310,The nurse will find a sad melody.
311,The nurse may have found a sad melody.
312,A sad melody was found by the nurse.
313,It is true that the nurse found a sad melody.
314,The journalist did not solve the decision.
315,Did the journalist solve the decision?
316,The journalist will solve the decision.
317,The journalist may have solved the decision.
318,The decision was solved by the journalist.
319,It is true that the journalist solved the decision.
320,The musician did not approve the data.
321,Did the musician approve the data?
322,The musician will approve the data.
323,The musician may have approved the data.
324,The data was approved by the musician.
325,It is true that the musician approved the data.
326,The scientist did not grow the interface.
327,Did the scientist grow the interface?
328,The scientist will grow the interface.
329,The scientist may have grew the interface.
330,The interface was grew by the scientist.
331,It is true that the scientist grew the interface.
332,The programmer did not defend the rule.
333,Did the programmer defend the rule?
334,The programmer will defend the rule.
335,The programmer may have defended the rule.
336,The rule was defended by the programmer.
337,It is true that the programmer defended the rule.
338,The doctor did not defend a black cat.
339,Did the doctor defend a black cat?
340,The doctor will defend a black cat.
341,The doctor may have defended a black cat.
342,A black cat was defended by the doctor.
343,It is true that the doctor defended a black cat.
344,The researcher did not analyze the aircraft.
345,Did the researcher analyze the aircraft?
346,The researcher will analyze the aircraft.
347,The researcher may have analyzed the aircraft.
348,The aircraft was analyzed by the researcher.
349,It is true that the researcher analyzed the aircraft.
350,The chef did not help the client.
351,Did the chef help the client?
352,The chef will help the client.
353,The chef may have helped the client.
354,The client was helped by the chef.
355,It is true that the chef helped the client.
356,The musician did not approve the family.
357,Did the musician approve the family?
358,The musician will approve the family.
359,The musician may have approved the family.
360,The family was approved by the musician.
361,It is true that the musician approved the family.
362,The lawyer did not study a black cat.
363,Did the lawyer study a black cat?
364,The lawyer will study a black cat.
365,The lawyer may have studied a black cat.
366,A black cat was studied by the lawyer.
367,It is true that the lawyer studied a black cat.
368,The designer did not help a short story.
369,Did the designer help a short story?
370,The designer will help a short story.
371,The designer may have helped a short story.
372,A short story was helped by the designer.
373,It is true that the designer helped a short story.
374,The engineer did not test a beautiful painting.
375,Did the engineer test a beautiful painting?
376,The engineer will test a beautiful painting.
377,The engineer may have tested a beautiful painting.
378,A beautiful painting was tested by the engineer.
379,It is true that the engineer tested a beautiful painting.
380,The analyst did not write the aircraft.
381,Did the analyst write the aircraft?
382,The analyst will write the aircraft.
383,The analyst may have wrote the aircraft.
384,The aircraft was wrote by the analyst.
385,It is true that the analyst wrote the aircraft.
386,The student did not approve the event.
387,Did the student approve the event?
388,The student will approve the event.
389,The student may have approved the event.
390,The event was approved by the student.
391,It is true that the student approved the event.
392,The scientist did not design a new principle.
393,Did the scientist design a new principle?
394,The scientist will design a new principle.
395,The scientist may have designed a new principle.
396,A new principle was designed by the scientist.
397,It is true that the scientist designed a new principle.
398,The chef did not control a new principle.
399,Did the chef control a new principle?
400,The chef will control a new principle.
401,The chef may have controlled a new principle.
402,A new principle was controlled by the chef.
403,It is true that the chef controlled a new principle.
404,The teacher did not test the decision.
405,Did the teacher test the decision?
406,The teacher will test the decision.
407,The teacher may have tested the decision.
408,The decision was tested by the teacher.
409,It is true that the teacher tested the decision.
410,The journalist did not solve the garden.
411,Did the journalist solve the garden?
412,The journalist will solve the garden.
413,The journalist may have solved the garden.
414,The garden was solved by the journalist.
415,It is true that the journalist solved the garden.
416,The pilot did not approve the family.
417,Did the pilot approve the family?
418,The pilot will approve the family.
419,The pilot may have approved the family.
420,The family was approved by the pilot.
421,It is true that the pilot approved the family.
422,The musician did not improve a short story.
423,Did the musician improve a short story?
424,The musician will improve a short story.
425,The musician may have improved a short story.
426,A short story was improved by the musician.
427,It is true that the musician improved a short story.
428,The doctor did not create a sad melody.
429,Did the doctor create a sad melody?
430,The doctor will create a sad melody.
431,The doctor may have created a sad melody.
432,A sad melody was created by the doctor.
433,It is true that the doctor created a sad melody.
434,The manager did not discover the problem.
435,Did the manager discover the problem?
436,The manager will discover the problem.
437,The manager may have discovered the problem.
438,The problem was discovered by the manager.
439,It is true that the manager discovered the problem.
440,The scientist did not prepare a black cat.
441,Did the scientist prepare a black cat?
442,The scientist will prepare a black cat.
443,The scientist may have prepared a black cat.
444,A black cat was prepared by the scientist.
445,It is true that the scientist prepared a black cat.
446,The writer did not improve the question.
447,Did the writer improve the question?
448,The writer will improve the question.
449,The writer may have improved the question.
450,The question was improved by the writer.
451,It is true that the writer improved the question.
452,The programmer did not design a sad melody.
453,Did the programmer design a sad melody?
454,The programmer will design a sad melody.
455,The programmer may have designed a sad melody.
456,A sad melody was designed by the programmer.
457,It is true that the programmer designed a sad melody.
458,The lawyer did not write the meal.
459,Did the lawyer write the meal?
460,The lawyer will write the meal.
461,The lawyer may have wrote the meal.
462,The meal was wrote by the lawyer.
463,It is true that the lawyer wrote the meal.
464,The researcher did not examine the client.
465,Did the researcher examine the client?
466,The researcher will examine the client.
467,The researcher may have examined the client.
468,The client was examined by the researcher.
469,It is true that the researcher examined the client.
470,The teacher did not improve a new principle.
471,Did the teacher improve a new principle?
472,The teacher will improve a new principle.
473,The teacher may have improved a new principle.
474,A new principle was improved by the teacher.
475,It is true that the teacher improved a new principle.
476,The lawyer did not approve the event.
477,Did the lawyer approve the event?
478,The lawyer will approve the event.
479,The lawyer may have approved the event.
480,The event was approved by the lawyer.
481,It is true that the lawyer approved the event.
482,The nurse did not analyze the rule.
483,Did the nurse analyze the rule?
484,The nurse will analyze the rule.
485,The nurse may have analyzed the rule.
486,The rule was analyzed by the nurse.
487,It is true that the nurse analyzed the rule.
488,The programmer did not approve the data.
489,Did the programmer approve the data?
490,The programmer will approve the data.
491,The programmer may have approved the data.
492,The data was approved by the programmer.
493,It is true that the programmer approved the data.
494,The researcher did not discover the meal.
495,Did the researcher discover the meal?
496,The researcher will discover the meal.
497,The researcher may have discovered the meal.
498,The meal was discovered by the researcher.
499,It is true that the researcher discovered the meal.
500,The engineer did not control the aircraft.
501,Did the engineer control the aircraft?
502,The engineer will control the aircraft.
503,The engineer may have controlled the aircraft.
504,The aircraft was controlled by the engineer.
505,It is true that the engineer controlled the aircraft.
506,The engineer did not help the family.
507,Did the engineer help the family?
508,The engineer will help the family.
509,The engineer may have helped the family.
510,The family was helped by the engineer.
511,It is true that the engineer helped the family.
512,The teacher did not study the aircraft.
513,Did the teacher study the aircraft?
514,The teacher will study the aircraft.
515,The teacher may have studied the aircraft.
516,The aircraft was studied by the teacher.
517,It is true that the teacher studied the aircraft.
518,The designer did not analyze a beautiful painting.
519,Did the designer analyze a beautiful painting?
520,The designer will analyze a beautiful painting.
521,The designer may have analyzed a beautiful painting.
522,A beautiful painting was analyzed by the designer.
523,It is true that the designer analyzed a beautiful painting.
524,The pilot did not design a sad melody.
525,Did the pilot design a sad melody?
526,The pilot will design a sad melody.
527,The pilot may have designed a sad melody.
528,A sad melody was designed by the pilot.
529,It is true that the pilot designed a sad melody.
530,The pilot did not analyze the meal.
531,Did the pilot analyze the meal?
532,The pilot will analyze the meal.
533,The pilot may have analyzed the meal.
534,The meal was analyzed by the pilot.
535,It is true that the pilot analyzed the meal.
536,The lawyer did not examine the garden.
537,Did the lawyer examine the garden?
538,The lawyer will examine the garden.
539,The lawyer may have examined the garden.
540,The garden was examined by the lawyer.
541,It is true that the lawyer examined the garden.
542,The lawyer did not approve the family.
543,Did the lawyer approve the family?
544,The lawyer will approve the family.
545,The lawyer may have approved the family.
546,The family was approved by the lawyer.
547,It is true that the lawyer approved the family.
548,The pilot did not examine a short story.
549,Did the pilot examine a short story?
550,The pilot will examine a short story.
551,The pilot may have examined a short story.
552,A short story was examined by the pilot.
553,It is true that the pilot examined a short story.
554,The analyst did not solve the event.
555,Did the analyst solve the event?
556,The analyst will solve the event.
557,The analyst may have solved the event.
558,The event was solved by the analyst.
559,It is true that the analyst solved the event.
560,The manager did not study the system.
561,Did the manager study the system?
562,The manager will study the system.
563,The manager may have studied the system.
564,The system was studied by the manager.
565,It is true that the manager studied the system.
566,The designer did not test a complex machine.
567,Did the designer test a complex machine?
568,The designer will test a complex machine.
569,The designer may have tested a complex machine.
570,A complex machine was tested by the designer.
571,It is true that the designer tested a complex machine.
572,The student did not analyze a new principle.
573,Did the student analyze a new principle?
574,The student will analyze a new principle.
575,The student may have analyzed a new principle.
576,A new principle was analyzed by the student.
577,It is true that the student analyzed a new principle.
578,The writer did not explain the data.
579,Did the writer explain the data?
580,The writer will explain the data.
581,The writer may have explained the data.
582,The data was explained by the writer.
583,It is true that the writer explained the data.
584,The student did not discover the garden.
585,Did the student discover the garden?
586,The student will discover the garden.
587,The student may have discovered the garden.
588,The garden was discovered by the student.
589,It is true that the student discovered the garden.
590,The journalist did not write the data.
591,Did the journalist write the data?
592,The journalist will write the data.
593,The journalist may have wrote the data.
594,The data was wrote by the journalist.
595,It is true that the journalist wrote the data.
596,The journalist did not report the family.
597,Did the journalist report the family?
598,The journalist will report the family.
599,The journalist may have reported the family.
600,The family was reported by the journalist.
601,It is true that the journalist reported the family.
602,The pilot did not examine a new principle.
603,Did the pilot examine a new principle?
604,The pilot will examine a new principle.
605,The pilot may have examined a new principle.
606,A new principle was examined by the pilot.
607,It is true that the pilot examined a new principle.
608,The doctor did not control the garden.
609,Did the doctor control the garden?
610,The doctor will control the garden.
611,The doctor may have controlled the garden.
612,The garden was controlled by the doctor.
613,It is true that the doctor controlled the garden.
614,The lawyer did not discover the system.
615,Did the lawyer discover the system?
616,The lawyer will discover the system.
617,The lawyer may have discovered the system.
618,The system was discovered by the lawyer.
619,It is true that the lawyer discovered the system.
620,The engineer did not report a beautiful painting.
621,Did the engineer report a beautiful painting?
622,The engineer will report a beautiful painting.
623,The engineer may have reported a beautiful painting.
624,A beautiful painting was reported by the engineer.
625,It is true that the engineer reported a beautiful painting.
626,The writer did not report the data.
627,Did the writer report the data?
628,The writer will report the data.
629,The writer may have reported the data.
630,The data was reported by the writer.
631,It is true that the writer reported the data.
632,The researcher did not explain the question.
633,Did the researcher explain the question?
634,The researcher will explain the question.
635,The researcher may have explained the question.
636,The question was explained by the researcher.
637,It is true that the researcher explained the question.
638,The nurse did not play a new principle.
639,Did the nurse play a new principle?
640,The nurse will play a new principle.
641,The nurse may have played a new principle.
642,A new principle was played by the nurse.
643,It is true that the nurse played a new principle.
644,The engineer did not discover the event.
645,Did the engineer discover the event?
646,The engineer will discover the event.
647,The engineer may have discovered the event.
648,The event was discovered by the engineer.
649,It is true that the engineer discovered the event.
650,The analyst did not control a beautiful painting.
651,Did the analyst control a beautiful painting?
652,The analyst will control a beautiful painting.
653,The analyst may have controlled a beautiful painting.
654,A beautiful painting was controlled by the analyst.
655,It is true that the analyst controlled a beautiful painting.
656,The chef did not grow the meal.
657,Did the chef grow the meal?
658,The chef will grow the meal.
659,The chef may have grew the meal.
660,The meal was grew by the chef.
661,It is true that the chef grew the meal.
662,The doctor did not study the garden.
663,Did the doctor study the garden?
664,The doctor will study the garden.
665,The doctor may have studied the garden.
666,The garden was studied by the doctor.
667,It is true that the doctor studied the garden.
668,The engineer did not explain the event.
669,Did the engineer explain the event?
670,The engineer will explain the event.
671,The engineer may have explained the event.
672,The event was explained by the engineer.
673,It is true that the engineer explained the event.
674,The teacher did not grow the patient.
675,Did the teacher grow the patient?
676,The teacher will grow the patient.
677,The teacher may have grew the patient.
678,The patient was grew by the teacher.
679,It is true that the teacher grew the patient.
680,The artist did not play a new principle.
681,Did the artist play a new principle?
682,The artist will play a new principle.
683,The artist may have played a new principle.
684,A new principle was played by the artist.
685,It is true that the artist played a new principle.
686,The designer did not create a new principle.
687,Did the designer create a new principle?
688,The designer will create a new principle.
689,The designer may have created a new principle.
690,A new principle was created by the designer.
691,It is true that the designer created a new principle.
692,The doctor did not solve a new principle.
693,Did the doctor solve a new principle?
694,The doctor will solve a new principle.
695,The doctor may have solved a new principle.
696,A new principle was solved by the doctor.
697,It is true that the doctor solved a new principle.
698,The journalist did not discover the event.
699,Did the journalist discover the event?
700,The journalist will discover the event.
701,The journalist may have discovered the event.
702,The event was discovered by the journalist.
703,It is true that the journalist discovered the event.
704,The pilot did not test a new principle.
705,Did the pilot test a new principle?
706,The pilot will test a new principle.
707,The pilot may have tested a new principle.
708,A new principle was tested by the pilot.
709,It is true that the pilot tested a new principle.
710,The child did not analyze a short story.
711,Did the child analyze a short story?
712,The child will analyze a short story.
713,The child may have analyzed a short story.
714,A short story was analyzed by the child.
715,It is true that the child analyzed a short story.
716,The lawyer did not help the garden.
717,Did the lawyer help the garden?
718,The lawyer will help the garden.
719,The lawyer may have helped the garden.
720,The garden was helped by the lawyer.
721,It is true that the lawyer helped the garden.
722,The manager did not improve a sad melody.
723,Did the manager improve a sad melody?
724,The manager will improve a sad melody.
725,The manager may have improved a sad melody.
726,A sad melody was improved by the manager.
727,It is true that the manager improved a sad melody.
728,The farmer did not design the system.
729,Did the farmer design the system?
730,The farmer will design the system.
731,The farmer may have designed the system.
732,The system was designed by the farmer.
733,It is true that the farmer designed the system.
734,The programmer did not find a beautiful painting.
735,Did the programmer find a beautiful painting?
736,The programmer will find a beautiful painting.
737,The programmer may have found a beautiful painting.
738,A beautiful painting was found by the programmer.
739,It is true that the programmer found a beautiful painting.
740,The farmer did not report the decision.
741,Did the farmer report the decision?
742,The farmer will report the decision.
743,The farmer may have reported the decision.
744,The decision was reported by the farmer.
745,It is true that the farmer reported the decision.
746,The programmer did not test a complex machine.
747,Did the programmer test a complex machine?
748,The programmer will test a complex machine.
749,The programmer may have tested a complex machine.
750,A complex machine was tested by the programmer.
751,It is true that the programmer tested a complex machine.
752,The lawyer did not approve the patient.
753,Did the lawyer approve the patient?
754,The lawyer will approve the patient.
755,The lawyer may have approved the patient.
756,The patient was approved by the lawyer.
757,It is true that the lawyer approved the patient.
758,The pilot did not report the system.
759,Did the pilot report the system?
760,The pilot will report the system.
761,The pilot may have reported the system.
762,The system was reported by the pilot.
763,It is true that the pilot reported the system.
764,The farmer did not improve the system.
765,Did the farmer improve the system?
766,The farmer will improve the system.
767,The farmer may have improved the system.
768,The system was improved by the farmer.
769,It is true that the farmer improved the system.
770,The chef did not analyze the family.
771,Did the chef analyze the family?
772,The chef will analyze the family.
773,The chef may have analyzed the family.
774,The family was analyzed by the chef.
775,It is true that the chef analyzed the family.
776,The doctor did not examine a sad melody.
777,Did the doctor examine a sad melody?
778,The doctor will examine a sad melody.
779,The doctor may have examined a sad melody.
780,A sad melody was examined by the doctor.
781,It is true that the doctor examined a sad melody.
782,The artist did not explain a new principle.
783,Did the artist explain a new principle?
784,The artist will explain a new principle.
785,The artist may have explained a new principle.
786,A new principle was explained by the artist.
787,It is true that the artist explained a new principle.
788,The musician did not prepare the meal.
789,Did the musician prepare the meal?
790,The musician will prepare the meal.
791,The musician may have prepared the meal.
792,The meal was prepared by the musician.
793,It is true that the musician prepared the meal.
794,The farmer did not design the event.
795,Did the farmer design the event?
796,The farmer will design the event.
797,The farmer may have designed the event.
798,The event was designed by the farmer.
799,It is true that the farmer designed the event.
800,The child did not grow the garden.
801,Did the child grow the garden?
802,The child will grow the garden.
803,The child may have grew the garden.
804,The garden was grew by the child.
805,It is true that the child grew the garden.
806,The researcher did not prepare the client.
807,Did the researcher prepare the client?
808,The researcher will prepare the client.
809,The researcher may have prepared the client.
810,The client was prepared by the researcher.
811,It is true that the researcher prepared the client.
812,The designer did not grow the question.
813,Did the designer grow the question?
814,The designer will grow the question.
815,The designer may have grew the question.
816,The question was grew by the designer.
817,It is true that the designer grew the question.
818,The journalist did not discover the problem.
819,Did the journalist discover the problem?
820,The journalist will discover the problem.
821,The journalist may have discovered the problem.
822,The problem was discovered by the journalist.
823,It is true that the journalist discovered the problem.
824,The researcher did not report a new principle.
825,Did the researcher report a new principle?
826,The researcher will report a new principle.
827,The researcher may have reported a new principle.
828,A new principle was reported by the researcher.
829,It is true that the researcher reported a new principle.
830,The student did not find the data.
831,Did the student find the data?
832,The student will find the data.
833,The student may have found the data.
834,The data was found by the student.
835,It is true that the student found the data.
836,The scientist did not write the data.
837,Did the scientist write the data?
838,The scientist will write the data.
839,The scientist may have wrote the data.
840,The data was wrote by the scientist.
841,It is true that the scientist wrote the data.
842,The researcher did not explain the event.
843,Did the researcher explain the event?
844,The researcher will explain the event.
845,The researcher may have explained the event.
846,The event was explained by the researcher.
847,It is true that the researcher explained the event.
848,The programmer did not explain the client.
849,Did the programmer explain the client?
850,The programmer will explain the client.
851,The programmer may have explained the client.
852,The client was explained by the programmer.
853,It is true that the programmer explained the client.
854,The scientist did not report a complex machine.
855,Did the scientist report a complex machine?
856,The scientist will report a complex machine.
857,The scientist may have reported a complex machine.
858,A complex machine was reported by the scientist.
859,It is true that the scientist reported a complex machine.
860,The researcher did not report the garden.
861,Did the researcher report the garden?
862,The researcher will report the garden.
863,The researcher may have reported the garden.
864,The garden was reported by the researcher.
865,It is true that the researcher reported the garden.
866,The student did not discover the decision.
867,Did the student discover the decision?
868,The student will discover the decision.
869,The student may have discovered the decision.
870,The decision was discovered by the student.
871,It is true that the student discovered the decision.
872,The musician did not explain the data.
873,Did the musician explain the data?
874,The musician will explain the data.
875,The musician may have explained the data.
876,The data was explained by the musician.
877,It is true that the musician explained the data.
878,The scientist did not report the garden.
879,Did the scientist report the garden?
880,The scientist will report the garden.
881,The scientist may have reported the garden.
882,The garden was reported by the scientist.
883,It is true that the scientist reported the garden.
884,The child did not test the system.
885,Did the child test the system?
886,The child will test the system.
887,The child may have tested the system.
888,The system was tested by the child.
889,It is true that the child tested the system.
890,The musician did not analyze the interface.
891,Did the musician analyze the interface?
892,The musician will analyze the interface.
893,The musician may have analyzed the interface.
894,The interface was analyzed by the musician.
895,It is true that the musician analyzed the interface.
896,The musician did not create a beautiful painting.
897,Did the musician create a beautiful painting?
898,The musician will create a beautiful painting.
899,The musician may have created a beautiful painting.
900,A beautiful painting was created by the musician.
901,It is true that the musician created a beautiful painting.
902,The teacher did not control the garden.
903,Did the teacher control the garden?
904,The teacher will control the garden.
905,The teacher may have controlled the garden.
906,The garden was controlled by the teacher.
907,It is true that the teacher controlled the garden.
908,The pilot did not solve the problem.
909,Did the pilot solve the problem?
910,The pilot will solve the problem.
911,The pilot may have solved the problem.
912,The problem was solved by the pilot.
913,It is true that the pilot solved the problem.
914,The journalist did not solve the rule.
915,Did the journalist solve the rule?
916,The journalist will solve the rule.
917,The journalist may have solved the rule.
918,The rule was solved by the journalist.
919,It is true that the journalist solved the rule.
920,The scientist did not play a short story.
921,Did the scientist play a short story?
922,The scientist will play a short story.
923,The scientist may have played a short story.
924,A short story was played by the scientist.
925,It is true that the scientist played a short story.
926,The designer did not analyze the problem.
927,Did the designer analyze the problem?
928,The designer will analyze the problem.
929,The designer may have analyzed the problem.
930,The problem was analyzed by the designer.
931,It is true that the designer analyzed the problem.
932,The manager did not study the data.
933,Did the manager study the data?
934,The manager will study the data.
935,The manager may have studied the data.
936,The data was studied by the manager.
937,It is true that the manager studied the data.
938,The writer did not write a complex machine.
939,Did the writer write a complex machine?
940,The writer will write a complex machine.
941,The writer may have wrote a complex machine.
942,A complex machine was wrote by the writer.
943,It is true that the writer wrote a complex machine.
944,The scientist did not test a black cat.
945,Did the scientist test a black cat?
946,The scientist will test a black cat.
947,The scientist may have tested a black cat.
948,A black cat was tested by the scientist.
949,It is true that the scientist tested a black cat.
950,The chef did not defend the question.
951,Did the chef defend the question?
952,The chef will defend the question.
953,The chef may have defended the question.
