model,base_id,class,source,target,delta_norm
bert-base-uncased,4,active_to_passive,The doctor explained the aircraft.,The aircraft was explained by the doctor.,5.613153457641602
bert-base-uncased,4,formalization,The doctor explained the aircraft.,It is true that the doctor explained the aircraft.,5.556122303009033
bert-base-uncased,5,negation,The journalist explained a complex machine.,The journalist did not explain a complex machine.,3.1883208751678467
bert-base-uncased,5,question,The journalist explained a complex machine.,Did the journalist explain a complex machine?,4.206664085388184
bert-base-uncased,5,past_to_future,The journalist explained a complex machine.,The journalist will explain a complex machine.,4.491489410400391
bert-base-uncased,5,certainty_to_uncertainty,The journalist explained a complex machine.,The journalist may have explained a complex machine.,3.5823848247528076
bert-base-uncased,5,active_to_passive,The journalist explained a complex machine.,A complex machine was explained by the journalist.,3.673632860183716
bert-base-uncased,5,formalization,The journalist explained a complex machine.,It is true that the journalist explained a complex machine.,4.593903064727783
bert-base-uncased,6,negation,The nurse designed the event.,The nurse did not design the event.,4.626255035400391
bert-base-uncased,6,question,The nurse designed the event.,Did the nurse design the event?,5.1314849853515625
bert-base-uncased,6,past_to_future,The nurse designed the event.,The nurse will design the event.,3.6198809146881104
bert-base-uncased,6,certainty_to_uncertainty,The nurse designed the event.,The nurse may have designed the event.,5.08376932144165
bert-base-uncased,6,active_to_passive,The nurse designed the event.,The event was designed by the nurse.,3.7457737922668457
bert-base-uncased,6,formalization,The nurse designed the event.,It is true that the nurse designed the event.,5.477852821350098
bert-base-uncased,7,negation,The musician grew the problem.,The musician did not grow the problem.,4.864256381988525
bert-base-uncased,7,question,The musician grew the problem.,Did the musician grow the problem?,5.473117828369141
bert-base-uncased,7,past_to_future,The musician grew the problem.,The musician will grow the problem.,4.570780277252197
bert-base-uncased,7,certainty_to_uncertainty,The musician grew the problem.,The musician may have grew the problem.,6.205192565917969
bert-base-uncased,7,active_to_passive,The musician grew the problem.,The problem was grew by the musician.,5.010403156280518
bert-base-uncased,7,formalization,The musician grew the problem.,It is true that the musician grew the problem.,5.677866458892822
bert-base-uncased,8,negation,The engineer helped a complex machine.,The engineer did not help a complex machine.,3.994813919067383
bert-base-uncased,8,question,The engineer helped a complex machine.,Did the engineer help a complex machine?,4.551016807556152
bert-base-uncased,8,past_to_future,The engineer helped a complex machine.,The engineer will help a complex machine.,3.418916940689087
bert-base-uncased,8,certainty_to_uncertainty,The engineer helped a complex machine.,The engineer may have helped a complex machine.,4.866324424743652
bert-base-uncased,8,active_to_passive,The engineer helped a complex machine.,A complex machine was helped by the engineer.,4.120362758636475
bert-base-uncased,8,formalization,The engineer helped a complex machine.,It is true that the engineer helped a complex machine.,4.72163724899292
bert-base-uncased,9,negation,The writer controlled the aircraft.,The writer did not control the aircraft.,5.526745319366455
bert-base-uncased,9,question,The writer controlled the aircraft.,Did the writer control the aircraft?,5.182365894317627
bert-base-uncased,9,past_to_future,The writer controlled the aircraft.,The writer will control the aircraft.,4.189533233642578
bert-base-uncased,9,certainty_to_uncertainty,The writer controlled the aircraft.,The writer may have controlled the aircraft.,6.1857452392578125
bert-base-uncased,9,active_to_passive,The writer controlled the aircraft.,The aircraft was controlled by the writer.,4.966939926147461
bert-base-uncased,9,formalization,The writer controlled the aircraft.,It is true that the writer controlled the aircraft.,5.5391411781311035
bert-base-uncased,10,negation,The journalist created a sad melody.,The journalist did not create a sad melody.,3.5025367736816406
bert-base-uncased,10,question,The journalist created a sad melody.,Did the journalist create a sad melody?,5.063855171203613
bert-base-uncased,10,past_to_future,The journalist created a sad melody.,The journalist will create a sad melody.,4.163208484649658
bert-base-uncased,10,certainty_to_uncertainty,The journalist created a sad melody.,The journalist may have created a sad melody.,4.063099384307861
bert-base-uncased,10,active_to_passive,The journalist created a sad melody.,A sad melody was created by the journalist.,3.363955020904541
bert-base-uncased,10,formalization,The journalist created a sad melody.,It is true that the journalist created a sad melody.,4.635476589202881
bert-base-uncased,11,negation,The nurse examined the event.,The nurse did not examine the event.,3.823291540145874
bert-base-uncased,11,question,The nurse examined the event.,Did the nurse examine the event?,5.439146995544434
bert-base-uncased,11,past_to_future,The nurse examined the event.,The nurse will examine the event.,4.4472222328186035
bert-base-uncased,11,certainty_to_uncertainty,The nurse examined the event.,The nurse may have examined the event.,5.36782693862915
bert-base-uncased,11,active_to_passive,The nurse examined the event.,The event was examined by the nurse.,4.187745094299316
bert-base-uncased,11,formalization,The nurse examined the event.,It is true that the nurse examined the event.,5.385867595672607
bert-base-uncased,12,negation,The writer controlled a short story.,The writer did not control a short story.,4.169864177703857
bert-base-uncased,12,question,The writer controlled a short story.,Did the writer control a short story?,4.473167896270752
bert-base-uncased,12,past_to_future,The writer controlled a short story.,The writer will control a short story.,4.248465538024902
bert-base-uncased,12,certainty_to_uncertainty,The writer controlled a short story.,The writer may have controlled a short story.,4.7182698249816895
bert-base-uncased,12,active_to_passive,The writer controlled a short story.,A short story was controlled by the writer.,4.802215576171875
bert-base-uncased,12,formalization,The writer controlled a short story.,It is true that the writer controlled a short story.,4.897355556488037
bert-base-uncased,13,negation,The scientist discovered the family.,The scientist did not discover the family.,4.243355751037598
bert-base-uncased,13,question,The scientist discovered the family.,Did the scientist discover the family?,6.007784366607666
bert-base-uncased,13,past_to_future,The scientist discovered the family.,The scientist will discover the family.,4.562832355499268
bert-base-uncased,13,certainty_to_uncertainty,The scientist discovered the family.,The scientist may have discovered the family.,5.627633571624756
bert-base-uncased,13,active_to_passive,The scientist discovered the family.,The family was discovered by the scientist.,4.746041297912598
bert-base-uncased,13,formalization,The scientist discovered the family.,It is true that the scientist discovered the family.,5.469562530517578
bert-base-uncased,14,negation,The pilot tested a complex machine.,The pilot did not test a complex machine.,4.836521148681641
bert-base-uncased,14,question,The pilot tested a complex machine.,Did the pilot test a complex machine?,5.854080677032471
bert-base-uncased,14,past_to_future,The pilot tested a complex machine.,The pilot will test a complex machine.,5.352062225341797
bert-base-uncased,14,certainty_to_uncertainty,The pilot tested a complex machine.,The pilot may have tested a complex machine.,5.972483158111572
bert-base-uncased,14,active_to_passive,The pilot tested a complex machine.,A complex machine was tested by the pilot.,4.14508581161499
bert-base-uncased,14,formalization,The pilot tested a complex machine.,It is true that the pilot tested a complex machine.,5.45574426651001
bert-base-uncased,15,negation,The analyst controlled the decision.,The analyst did not control the decision.,3.708685874938965
bert-base-uncased,15,question,The analyst controlled the decision.,Did the analyst control the decision?,5.045337200164795
bert-base-uncased,15,past_to_future,The analyst controlled the decision.,The analyst will control the decision.,4.298654556274414
bert-base-uncased,15,certainty_to_uncertainty,The analyst controlled the decision.,The analyst may have controlled the decision.,5.236251354217529
bert-base-uncased,15,active_to_passive,The analyst controlled the decision.,The decision was controlled by the analyst.,5.0459370613098145
bert-base-uncased,15,formalization,The analyst controlled the decision.,It is true that the analyst controlled the decision.,5.326967716217041
bert-base-uncased,16,negation,The writer designed the rule.,The writer did not design the rule.,4.5992045402526855
bert-base-uncased,16,question,The writer designed the rule.,Did the writer design the rule?,4.84500789642334
bert-base-uncased,16,past_to_future,The writer designed the rule.,The writer will design the rule.,4.091121196746826
bert-base-uncased,16,certainty_to_uncertainty,The writer designed the rule.,The writer may have designed the rule.,5.460452079772949
bert-base-uncased,16,active_to_passive,The writer designed the rule.,The rule was designed by the writer.,4.252302169799805
bert-base-uncased,16,formalization,The writer designed the rule.,It is true that the writer designed the rule.,5.277804851531982
bert-base-uncased,17,negation,The scientist defended the garden.,The scientist did not defend the garden.,3.8178558349609375
bert-base-uncased,17,question,The scientist defended the garden.,Did the scientist defend the garden?,4.998833179473877
bert-base-uncased,17,past_to_future,The scientist defended the garden.,The scientist will defend the garden.,4.885087013244629
bert-base-uncased,17,certainty_to_uncertainty,The scientist defended the garden.,The scientist may have defended the garden.,5.160094261169434
bert-base-uncased,17,active_to_passive,The scientist defended the garden.,The garden was defended by the scientist.,4.469597816467285
bert-base-uncased,17,formalization,The scientist defended the garden.,It is true that the scientist defended the garden.,5.762590408325195
bert-base-uncased,18,negation,The nurse found a sad melody.,The nurse did not find a sad melody.,3.245710849761963
bert-base-uncased,18,question,The nurse found a sad melody.,Did the nurse find a sad melody?,4.377446174621582
bert-base-uncased,18,past_to_future,The nurse found a sad melody.,The nurse will find a sad melody.,3.677046298980713
bert-base-uncased,18,certainty_to_uncertainty,The nurse found a sad melody.,The nurse may have found a sad melody.,3.785958766937256
bert-base-uncased,18,active_to_passive,The nurse found a sad melody.,A sad melody was found by the nurse.,3.3659677505493164
bert-base-uncased,18,formalization,The nurse found a sad melody.,It is true that the nurse found a sad melody.,4.649417877197266
bert-base-uncased,19,negation,The journalist solved the decision.,The journalist did not solve the decision.,4.610101699829102
bert-base-uncased,19,question,The journalist solved the decision.,Did the journalist solve the decision?,5.093316555023193
bert-base-uncased,19,past_to_future,The journalist solved the decision.,The journalist will solve the decision.,4.568700790405273
bert-base-uncased,19,certainty_to_uncertainty,The journalist solved the decision.,The journalist may have solved the decision.,4.515008926391602
bert-base-uncased,19,active_to_passive,The journalist solved the decision.,The decision was solved by the journalist.,4.391517639160156
bert-base-uncased,19,formalization,The journalist solved the decision.,It is true that the journalist solved the decision.,4.920611381530762
bert-base-uncased,20,negation,The musician approved the data.,The musician did not approve the data.,3.757219076156616
bert-base-uncased,20,question,The musician approved the data.,Did the musician approve the data?,5.12487268447876
bert-base-uncased,20,past_to_future,The musician approved the data.,The musician will approve the data.,3.6637680530548096
bert-base-uncased,20,certainty_to_uncertainty,The musician approved the data.,The musician may have approved the data.,4.6749725341796875
bert-base-uncased,20,active_to_passive,The musician approved the data.,The data was approved by the musician.,3.4365766048431396
bert-base-uncased,20,formalization,The musician approved the data.,It is true that the musician approved the data.,4.556515216827393
bert-base-uncased,21,negation,The scientist grew the interface.,The scientist did not grow the interface.,4.355341911315918
bert-base-uncased,21,question,The scientist grew the interface.,Did the scientist grow the interface?,5.384748458862305
bert-base-uncased,21,past_to_future,The scientist grew the interface.,The scientist will grow the interface.,3.84451961517334
bert-base-uncased,21,certainty_to_uncertainty,The scientist grew the interface.,The scientist may have grew the interface.,5.640285015106201
bert-base-uncased,21,active_to_passive,The scientist grew the interface.,The interface was grew by the scientist.,4.214591979980469
bert-base-uncased,21,formalization,The scientist grew the interface.,It is true that the scientist grew the interface.,5.958850383758545
bert-base-uncased,22,negation,The programmer defended the rule.,The programmer did not defend the rule.,3.3934946060180664
bert-base-uncased,22,question,The programmer defended the rule.,Did the programmer defend the rule?,4.8917317390441895
bert-base-uncased,22,past_to_future,The programmer defended the rule.,The programmer will defend the rule.,4.513470649719238
bert-base-uncased,22,certainty_to_uncertainty,The programmer defended the rule.,The programmer may have defended the rule.,3.8398489952087402
bert-base-uncased,22,active_to_passive,The programmer defended the rule.,The rule was defended by the programmer.,3.6089539527893066
bert-base-uncased,22,formalization,The programmer defended the rule.,It is true that the programmer defended the rule.,4.532087802886963
bert-base-uncased,23,negation,The doctor defended a black cat.,The doctor did not defend a black cat.,4.648324012756348
bert-base-uncased,23,question,The doctor defended a black cat.,Did the doctor defend a black cat?,4.833354949951172
bert-base-uncased,23,past_to_future,The doctor defended a black cat.,The doctor will defend a black cat.,4.45042610168457
bert-base-uncased,23,certainty_to_uncertainty,The doctor defended a black cat.,The doctor may have defended a black cat.,4.655853271484375
bert-base-uncased,23,active_to_passive,The doctor defended a black cat.,A black cat was defended by the doctor.,4.68074369430542
bert-base-uncased,23,formalization,The doctor defended a black cat.,It is true that the doctor defended a black cat.,5.271907329559326
bert-base-uncased,24,negation,The researcher analyzed the aircraft.,The researcher did not analyze the aircraft.,3.6992239952087402
bert-base-uncased,24,question,The researcher analyzed the aircraft.,Did the researcher analyze the aircraft?,5.692678451538086
bert-base-uncased,24,past_to_future,The researcher analyzed the aircraft.,The researcher will analyze the aircraft.,4.257870674133301
bert-base-uncased,24,certainty_to_uncertainty,The researcher analyzed the aircraft.,The researcher may have analyzed the aircraft.,5.139397144317627
bert-base-uncased,24,active_to_passive,The researcher analyzed the aircraft.,The aircraft was analyzed by the researcher.,3.4520864486694336
bert-base-uncased,24,formalization,The researcher analyzed the aircraft.,It is true that the researcher analyzed the aircraft.,5.651812553405762
bert-base-uncased,25,negation,The chef helped the client.,The chef did not help the client.,5.158101558685303
bert-base-uncased,25,question,The chef helped the client.,Did the chef help the client?,5.493394374847412
bert-base-uncased,25,past_to_future,The chef helped the client.,The chef will help the client.,4.141287803649902
bert-base-uncased,25,certainty_to_uncertainty,The chef helped the client.,The chef may have helped the client.,6.087667942047119
bert-base-uncased,25,active_to_passive,The chef helped the client.,The client was helped by the chef.,4.30842924118042
bert-base-uncased,25,formalization,The chef helped the client.,It is true that the chef helped the client.,5.333911418914795
bert-base-uncased,26,negation,The musician approved the family.,The musician did not approve the family.,3.6208982467651367
bert-base-uncased,26,question,The musician approved the family.,Did the musician approve the family?,5.947142601013184
bert-base-uncased,26,past_to_future,The musician approved the family.,The musician will approve the family.,4.096211910247803
bert-base-uncased,26,certainty_to_uncertainty,The musician approved the family.,The musician may have approved the family.,5.307339191436768
bert-base-uncased,26,active_to_passive,The musician approved the family.,The family was approved by the musician.,3.355140209197998
bert-base-uncased,26,formalization,The musician approved the family.,It is true that the musician approved the family.,5.164138317108154
bert-base-uncased,27,negation,The lawyer studied a black cat.,The lawyer did not study a black cat.,4.379500865936279
bert-base-uncased,27,question,The lawyer studied a black cat.,Did the lawyer study a black cat?,5.071639537811279
bert-base-uncased,27,past_to_future,The lawyer studied a black cat.,The lawyer will study a black cat.,5.1078033447265625
bert-base-uncased,27,certainty_to_uncertainty,The lawyer studied a black cat.,The lawyer may have studied a black cat.,5.126626014709473
bert-base-uncased,27,active_to_passive,The lawyer studied a black cat.,A black cat was studied by the lawyer.,5.188241004943848
bert-base-uncased,27,formalization,The lawyer studied a black cat.,It is true that the lawyer studied a black cat.,5.926393032073975
bert-base-uncased,28,negation,The designer helped a short story.,The designer did not help a short story.,4.6127471923828125
bert-base-uncased,28,question,The designer helped a short story.,Did the designer help a short story?,4.916957855224609
bert-base-uncased,28,past_to_future,The designer helped a short story.,The designer will help a short story.,3.30049204826355
bert-base-uncased,28,certainty_to_uncertainty,The designer helped a short story.,The designer may have helped a short story.,5.05957555770874
bert-base-uncased,28,active_to_passive,The designer helped a short story.,A short story was helped by the designer.,3.75675630569458
bert-base-uncased,28,formalization,The designer helped a short story.,It is true that the designer helped a short story.,4.957653045654297
bert-base-uncased,29,negation,The engineer tested a beautiful painting.,The engineer did not test a beautiful painting.,4.0022478103637695
bert-base-uncased,29,question,The engineer tested a beautiful painting.,Did the engineer test a beautiful painting?,5.214052200317383
bert-base-uncased,29,past_to_future,The engineer tested a beautiful painting.,The engineer will test a beautiful painting.,4.41684103012085
bert-base-uncased,29,certainty_to_uncertainty,The engineer tested a beautiful painting.,The engineer may have tested a beautiful painting.,4.450543403625488
bert-base-uncased,29,active_to_passive,The engineer tested a beautiful painting.,A beautiful painting was tested by the engineer.,3.1399221420288086
bert-base-uncased,29,formalization,The engineer tested a beautiful painting.,It is true that the engineer tested a beautiful painting.,4.6350297927856445
bert-base-uncased,30,negation,The analyst wrote the aircraft.,The analyst did not write the aircraft.,4.812026023864746
bert-base-uncased,30,question,The analyst wrote the aircraft.,Did the analyst write the aircraft?,4.51634407043457
bert-base-uncased,30,past_to_future,The analyst wrote the aircraft.,The analyst will write the aircraft.,4.058337211608887
bert-base-uncased,30,certainty_to_uncertainty,The analyst wrote the aircraft.,The analyst may have wrote the aircraft.,5.085413932800293
bert-base-uncased,30,active_to_passive,The analyst wrote the aircraft.,The aircraft was wrote by the analyst.,4.203417778015137
bert-base-uncased,30,formalization,The analyst wrote the aircraft.,It is true that the analyst wrote the aircraft.,5.2694878578186035
bert-base-uncased,31,negation,The student approved the event.,The student did not approve the event.,3.6686594486236572
bert-base-uncased,31,question,The student approved the event.,Did the student approve the event?,5.587043762207031
bert-base-uncased,31,past_to_future,The student approved the event.,The student will approve the event.,4.3146257400512695
bert-base-uncased,31,certainty_to_uncertainty,The student approved the event.,The student may have approved the event.,5.836825847625732
bert-base-uncased,31,active_to_passive,The student approved the event.,The event was approved by the student.,2.842132329940796
bert-base-uncased,31,formalization,The student approved the event.,It is true that the student approved the event.,5.405492782592773
bert-base-uncased,32,negation,The scientist designed a new principle.,The scientist did not design a new principle.,4.27424430847168
bert-base-uncased,32,question,The scientist designed a new principle.,Did the scientist design a new principle?,5.049138069152832
bert-base-uncased,32,past_to_future,The scientist designed a new principle.,The scientist will design a new principle.,3.8082187175750732
bert-base-uncased,32,certainty_to_uncertainty,The scientist designed a new principle.,The scientist may have designed a new principle.,4.684924602508545
bert-base-uncased,32,active_to_passive,The scientist designed a new principle.,A new principle was designed by the scientist.,4.133660316467285
bert-base-uncased,32,formalization,The scientist designed a new principle.,It is true that the scientist designed a new principle.,5.244430065155029
bert-base-uncased,33,negation,The chef controlled a new principle.,The chef did not control a new principle.,3.655158519744873
bert-base-uncased,33,question,The chef controlled a new principle.,Did the chef control a new principle?,4.432139873504639
bert-base-uncased,33,past_to_future,The chef controlled a new principle.,The chef will control a new principle.,3.7192015647888184
bert-base-uncased,33,certainty_to_uncertainty,The chef controlled a new principle.,The chef may have controlled a new principle.,4.281505107879639
bert-base-uncased,33,active_to_passive,The chef controlled a new principle.,A new principle was controlled by the chef.,4.647011756896973
bert-base-uncased,33,formalization,The chef controlled a new principle.,It is true that the chef controlled a new principle.,4.329320430755615
bert-base-uncased,34,negation,The teacher tested the decision.,The teacher did not test the decision.,4.918332099914551
bert-base-uncased,34,question,The teacher tested the decision.,Did the teacher test the decision?,5.212162017822266
bert-base-uncased,34,past_to_future,The teacher tested the decision.,The teacher will test the decision.,4.540253639221191
bert-base-uncased,34,certainty_to_uncertainty,The teacher tested the decision.,The teacher may have tested the decision.,4.89639949798584
bert-base-uncased,34,active_to_passive,The teacher tested the decision.,The decision was tested by the teacher.,4.487699508666992
bert-base-uncased,34,formalization,The teacher tested the decision.,It is true that the teacher tested the decision.,4.870884895324707
bert-base-uncased,35,negation,The journalist solved the garden.,The journalist did not solve the garden.,3.9523162841796875
bert-base-uncased,35,question,The journalist solved the garden.,Did the journalist solve the garden?,4.551380157470703
bert-base-uncased,35,past_to_future,The journalist solved the garden.,The journalist will solve the garden.,4.103577136993408
bert-base-uncased,35,certainty_to_uncertainty,The journalist solved the garden.,The journalist may have solved the garden.,4.953746318817139
bert-base-uncased,35,active_to_passive,The journalist solved the garden.,The garden was solved by the journalist.,4.252660274505615
bert-base-uncased,35,formalization,The journalist solved the garden.,It is true that the journalist solved the garden.,5.382197380065918
bert-base-uncased,36,negation,The pilot approved the family.,The pilot did not approve the family.,4.230332374572754
bert-base-uncased,36,question,The pilot approved the family.,Did the pilot approve the family?,5.558241367340088
bert-base-uncased,36,past_to_future,The pilot approved the family.,The pilot will approve the family.,4.4579925537109375
bert-base-uncased,36,certainty_to_uncertainty,The pilot approved the family.,The pilot may have approved the family.,5.233473300933838
bert-base-uncased,36,active_to_passive,The pilot approved the family.,The family was approved by the pilot.,4.478518486022949
bert-base-uncased,36,formalization,The pilot approved the family.,It is true that the pilot approved the family.,5.171782970428467
bert-base-uncased,37,negation,The musician improved a short story.,The musician did not improve a short story.,4.929980754852295
bert-base-uncased,37,question,The musician improved a short story.,Did the musician improve a short story?,4.642374038696289
bert-base-uncased,37,past_to_future,The musician improved a short story.,The musician will improve a short story.,4.140467643737793
bert-base-uncased,37,certainty_to_uncertainty,The musician improved a short story.,The musician may have improved a short story.,4.981788158416748
bert-base-uncased,37,active_to_passive,The musician improved a short story.,A short story was improved by the musician.,4.424498081207275
bert-base-uncased,37,formalization,The musician improved a short story.,It is true that the musician improved a short story.,5.409549236297607
bert-base-uncased,38,negation,The doctor created a sad melody.,The doctor did not create a sad melody.,3.867560863494873
bert-base-uncased,38,question,The doctor created a sad melody.,Did the doctor create a sad melody?,5.1711297035217285
bert-base-uncased,38,past_to_future,The doctor created a sad melody.,The doctor will create a sad melody.,4.113239288330078
bert-base-uncased,38,certainty_to_uncertainty,The doctor created a sad melody.,The doctor may have created a sad melody.,4.298340320587158
bert-base-uncased,38,active_to_passive,The doctor created a sad melody.,A sad melody was created by the doctor.,3.801239252090454
bert-base-uncased,38,formalization,The doctor created a sad melody.,It is true that the doctor created a sad melody.,5.048447608947754
bert-base-uncased,39,negation,The manager discovered the problem.,The manager did not discover the problem.,4.104876518249512
bert-base-uncased,39,question,The manager discovered the problem.,Did the manager discover the problem?,5.550295829772949
bert-base-uncased,39,past_to_future,The manager discovered the problem.,The manager will discover the problem.,4.982733249664307
bert-base-uncased,39,certainty_to_uncertainty,The manager discovered the problem.,The manager may have discovered the problem.,5.242104530334473
bert-base-uncased,39,active_to_passive,The manager discovered the problem.,The problem was discovered by the manager.,3.706322431564331
bert-base-uncased,39,formalization,The manager discovered the problem.,It is true that the manager discovered the problem.,6.231995105743408
bert-base-uncased,40,negation,The scientist prepared a black cat.,The scientist did not prepare a black cat.,4.548252582550049
bert-base-uncased,40,question,The scientist prepared a black cat.,Did the scientist prepare a black cat?,4.932628154754639
bert-base-uncased,40,past_to_future,The scientist prepared a black cat.,The scientist will prepare a black cat.,4.192512035369873
bert-base-uncased,40,certainty_to_uncertainty,The scientist prepared a black cat.,The scientist may have prepared a black cat.,5.160567283630371
bert-base-uncased,40,active_to_passive,The scientist prepared a black cat.,A black cat was prepared by the scientist.,4.501615047454834
bert-base-uncased,40,formalization,The scientist prepared a black cat.,It is true that the scientist prepared a black cat.,6.1247453689575195
bert-base-uncased,41,negation,The writer improved the question.,The writer did not improve the question.,4.080953598022461
bert-base-uncased,41,question,The writer improved the question.,Did the writer improve the question?,4.843306064605713
bert-base-uncased,41,past_to_future,The writer improved the question.,The writer will improve the question.,4.56704044342041
bert-base-uncased,41,certainty_to_uncertainty,The writer improved the question.,The writer may have improved the question.,5.09104061126709
bert-base-uncased,41,active_to_passive,The writer improved the question.,The question was improved by the writer.,4.150580406188965
bert-base-uncased,41,formalization,The writer improved the question.,It is true that the writer improved the question.,4.820713043212891
bert-base-uncased,42,negation,The programmer designed a sad melody.,The programmer did not design a sad melody.,3.7120399475097656
bert-base-uncased,42,question,The programmer designed a sad melody.,Did the programmer design a sad melody?,4.464765548706055
bert-base-uncased,42,past_to_future,The programmer designed a sad melody.,The programmer will design a sad melody.,3.7208924293518066
bert-base-uncased,42,certainty_to_uncertainty,The programmer designed a sad melody.,The programmer may have designed a sad melody.,4.32611608505249
bert-base-uncased,42,active_to_passive,The programmer designed a sad melody.,A sad melody was designed by the programmer.,3.2679364681243896
bert-base-uncased,42,formalization,The programmer designed a sad melody.,It is true that the programmer designed a sad melody.,4.804614067077637
bert-base-uncased,43,negation,The lawyer wrote the meal.,The lawyer did not write the meal.,4.2622246742248535
bert-base-uncased,43,question,The lawyer wrote the meal.,Did the lawyer write the meal?,4.927321434020996
bert-base-uncased,43,past_to_future,The lawyer wrote the meal.,The lawyer will write the meal.,3.97487473487854
bert-base-uncased,43,certainty_to_uncertainty,The lawyer wrote the meal.,The lawyer may have wrote the meal.,5.396477699279785
bert-base-uncased,43,active_to_passive,The lawyer wrote the meal.,The meal was wrote by the lawyer.,4.514925479888916
bert-base-uncased,43,formalization,The lawyer wrote the meal.,It is true that the lawyer wrote the meal.,5.599448204040527
bert-base-uncased,44,negation,The researcher examined the client.,The researcher did not examine the client.,4.225177764892578
bert-base-uncased,44,question,The researcher examined the client.,Did the researcher examine the client?,5.1656975746154785
bert-base-uncased,44,past_to_future,The researcher examined the client.,The researcher will examine the client.,4.300840377807617
bert-base-uncased,44,certainty_to_uncertainty,The researcher examined the client.,The researcher may have examined the client.,5.541737079620361
bert-base-uncased,44,active_to_passive,The researcher examined the client.,The client was examined by the researcher.,3.334744930267334
bert-base-uncased,44,formalization,The researcher examined the client.,It is true that the researcher examined the client.,5.491602420806885
bert-base-uncased,45,negation,The teacher improved a new principle.,The teacher did not improve a new principle.,4.4139580726623535
bert-base-uncased,45,question,The teacher improved a new principle.,Did the teacher improve a new principle?,4.694575786590576
bert-base-uncased,45,past_to_future,The teacher improved a new principle.,The teacher will improve a new principle.,3.929635763168335
bert-base-uncased,45,certainty_to_uncertainty,The teacher improved a new principle.,The teacher may have improved a new principle.,5.24685001373291
bert-base-uncased,45,active_to_passive,The teacher improved a new principle.,A new principle was improved by the teacher.,3.6651179790496826
bert-base-uncased,45,formalization,The teacher improved a new principle.,It is true that the teacher improved a new principle.,5.052196025848389
bert-base-uncased,46,negation,The lawyer approved the event.,The lawyer did not approve the event.,3.683379650115967
bert-base-uncased,46,question,The lawyer approved the event.,Did the lawyer approve the event?,5.425604820251465
bert-base-uncased,46,past_to_future,The lawyer approved the event.,The lawyer will approve the event.,4.290441036224365
bert-base-uncased,46,certainty_to_uncertainty,The lawyer approved the event.,The lawyer may have approved the event.,5.7798871994018555
bert-base-uncased,46,active_to_passive,The lawyer approved the event.,The event was approved by the lawyer.,4.114879608154297
bert-base-uncased,46,formalization,The lawyer approved the event.,It is true that the lawyer approved the event.,4.665009498596191
bert-base-uncased,47,negation,The nurse analyzed the rule.,The nurse did not analyze the rule.,3.2893221378326416
