split,class,source,target
train,exclamation,The writer fixed the problem before lunch.,The writer fixed the problem before lunch!
train,ellipsis,The writer fixed the problem before lunch.,The writer fixed the problem before lunch...
train,question,The writer updated the report near the station.,The writer updated the report near the station?
train,exclamation,The writer updated the report near the station.,The writer updated the report near the station!
train,ellipsis,The writer updated the report near the station.,The writer updated the report near the station...
train,question,The writer designed the prototype during the session.,The writer designed the prototype during the session?
train,exclamation,The writer designed the prototype during the session.,The writer designed the prototype during the session!
train,ellipsis,The writer designed the prototype during the session.,The writer designed the prototype during the session...
train,question,The engineer opened the archive without delay.,The engineer opened the archive without delay?
train,exclamation,The engineer opened the archive without delay.,The engineer opened the archive without delay!
train,ellipsis,The engineer opened the archive without delay.,The engineer opened the archive without delay...
train,question,The musician tested the system near the station.,The musician tested the system near the station?
train,exclamation,The musician tested the system near the station.,The musician tested the system near the station!
train,ellipsis,The musician tested the system near the station.,The musician tested the system near the station...
train,question,The teacher cleaned the dataset after the meeting.,The teacher cleaned the dataset after the meeting?
train,exclamation,The teacher cleaned the dataset after the meeting.,The teacher cleaned the dataset after the meeting!
train,ellipsis,The teacher cleaned the dataset after the meeting.,The teacher cleaned the dataset after the meeting...
train,question,The researcher fixed the problem today.,The researcher fixed the problem today?
train,exclamation,The researcher fixed the problem today.,The researcher fixed the problem today!
train,ellipsis,The researcher fixed the problem today.,The researcher fixed the problem today...
train,question,The analyst designed the prototype near the station.,The analyst designed the prototype near the station?
train,exclamation,The analyst designed the prototype near the station.,The analyst designed the prototype near the station!
train,ellipsis,The analyst designed the prototype near the station.,The analyst designed the prototype near the station...
train,question,The analyst measured the signal on Monday.,The analyst measured the signal on Monday?
train,exclamation,The analyst measured the signal on Monday.,The analyst measured the signal on Monday!
train,ellipsis,The analyst measured the signal on Monday.,The analyst measured the signal on Monday...
train,question,The researcher designed the prototype without delay.,The researcher designed the prototype without delay?
train,exclamation,The researcher designed the prototype without delay.,The researcher designed the prototype without delay!
train,ellipsis,The researcher designed the prototype without delay.,The researcher designed the prototype without delay...
train,question,The musician designed the prototype during the session.,The musician designed the prototype during the session?
train,exclamation,The musician designed the prototype during the session.,The musician designed the prototype during the session!
train,ellipsis,The musician designed the prototype during the session.,The musician designed the prototype during the session...
train,question,The artist cleaned the dataset without delay.,The artist cleaned the dataset without delay?
train,exclamation,The artist cleaned the dataset without delay.,The artist cleaned the dataset without delay!
train,ellipsis,The artist cleaned the dataset without delay.,The artist cleaned the dataset without delay...
train,question,The manager tested the system today.,The manager tested the system today?
train,exclamation,The manager tested the system today.,The manager tested the system today!
train,ellipsis,The manager tested the system today.,The manager tested the system today...
train,question,The writer reviewed the plan with care.,The writer reviewed the plan with care?
train,exclamation,The writer reviewed the plan with care.,The writer reviewed the plan with care!
train,ellipsis,The writer reviewed the plan with care.,The writer reviewed the plan with care...
train,question,The analyst designed the prototype during the session.,The analyst designed the prototype during the session?
train,exclamation,The analyst designed the prototype during the session.,The analyst designed the prototype during the session!
train,ellipsis,The analyst designed the prototype during the session.,The analyst designed the prototype during the session...
train,question,The writer designed the prototype near the station.,The writer designed the prototype near the station?
train,exclamation,The writer designed the prototype near the station.,The writer designed the prototype near the station!
train,ellipsis,The writer designed the prototype near the station.,The writer designed the prototype near the station...
train,question,The engineer opened the archive in the lab.,The engineer opened the archive in the lab?
train,exclamation,The engineer opened the archive in the lab.,The engineer opened the archive in the lab!
train,ellipsis,The engineer opened the archive in the lab.,The engineer opened the archive in the lab...
train,question,The researcher reviewed the plan before lunch.,The researcher reviewed the plan before lunch?
train,exclamation,The researcher reviewed the plan before lunch.,The researcher reviewed the plan before lunch!
train,ellipsis,The researcher reviewed the plan before lunch.,The researcher reviewed the plan before lunch...
train,question,The writer tested the system today.,The writer tested the system today?
train,exclamation,The writer tested the system today.,The writer tested the system today!
train,ellipsis,The writer tested the system today.,The writer tested the system today...
train,question,The writer tested the system after the meeting.,The writer tested the system after the meeting?
train,exclamation,The writer tested the system after the meeting.,The writer tested the system after the meeting!
train,ellipsis,The writer tested the system after the meeting.,The writer tested the system after the meeting...
train,question,The engineer published the note today.,The engineer published the note today?
train,exclamation,The engineer published the note today.,The engineer published the note today!
train,ellipsis,The engineer published the note today.,The engineer published the note today...
train,question,The musician reviewed the plan on Monday.,The musician reviewed the plan on Monday?
train,exclamation,The musician reviewed the plan on Monday.,The musician reviewed the plan on Monday!
train,ellipsis,The musician reviewed the plan on Monday.,The musician reviewed the plan on Monday...
train,question,The student completed the task for the team.,The student completed the task for the team?
train,exclamation,The student completed the task for the team.,The student completed the task for the team!
train,ellipsis,The student completed the task for the team.,The student completed the task for the team...
train,question,The teacher fixed the problem before lunch.,The teacher fixed the problem before lunch?
train,exclamation,The teacher fixed the problem before lunch.,The teacher fixed the problem before lunch!
train,ellipsis,The teacher fixed the problem before lunch.,The teacher fixed the problem before lunch...
train,question,The writer published the note without delay.,The writer published the note without delay?
train,exclamation,The writer published the note without delay.,The writer published the note without delay!
train,ellipsis,The writer published the note without delay.,The writer published the note without delay...
train,question,The gardener reviewed the plan before lunch.,The gardener reviewed the plan before lunch?
train,exclamation,The gardener reviewed the plan before lunch.,The gardener reviewed the plan before lunch!
train,ellipsis,The gardener reviewed the plan before lunch.,The gardener reviewed the plan before lunch...
train,question,The engineer measured the signal before lunch.,The engineer measured the signal before lunch?
train,exclamation,The engineer measured the signal before lunch.,The engineer measured the signal before lunch!
train,ellipsis,The engineer measured the signal before lunch.,The engineer measured the signal before lunch...
train,question,The pilot explained the pattern on Monday.,The pilot explained the pattern on Monday?
train,exclamation,The pilot explained the pattern on Monday.,The pilot explained the pattern on Monday!
train,ellipsis,The pilot explained the pattern on Monday.,The pilot explained the pattern on Monday...
train,question,The doctor checked the result near the station.,The doctor checked the result near the station?
train,exclamation,The doctor checked the result near the station.,The doctor checked the result near the station!
train,ellipsis,The doctor checked the result near the station.,The doctor checked the result near the station...
train,question,The analyst tested the system on Monday.,The analyst tested the system on Monday?
train,exclamation,The analyst tested the system on Monday.,The analyst tested the system on Monday!
train,ellipsis,The analyst tested the system on Monday.,The analyst tested the system on Monday...
train,question,The researcher checked the result for the team.,The researcher checked the result for the team?
train,exclamation,The researcher checked the result for the team.,The researcher checked the result for the team!
train,ellipsis,The researcher checked the result for the team.,The researcher checked the result for the team...
train,question,The analyst updated the report with care.,The analyst updated the report with care?
train,exclamation,The analyst updated the report with care.,The analyst updated the report with care!
train,ellipsis,The analyst updated the report with care.,The analyst updated the report with care...
train,question,The writer checked the result with care.,The writer checked the result with care?
train,exclamation,The writer checked the result with care.,The writer checked the result with care!
train,ellipsis,The writer checked the result with care.,The writer checked the result with care...
train,question,The engineer completed the task with care.,The engineer completed the task with care?
train,exclamation,The engineer completed the task with care.,The engineer completed the task with care!
train,ellipsis,The engineer completed the task with care.,The engineer completed the task with care...
train,question,The gardener completed the task on Monday.,The gardener completed the task on Monday?
train,exclamation,The gardener completed the task on Monday.,The gardener completed the task on Monday!
train,ellipsis,The gardener completed the task on Monday.,The gardener completed the task on Monday...
train,question,The student updated the report after the meeting.,The student updated the report after the meeting?
train,exclamation,The student updated the report after the meeting.,The student updated the report after the meeting!
train,ellipsis,The student updated the report after the meeting.,The student updated the report after the meeting...
train,question,The student designed the prototype without delay.,The student designed the prototype without delay?
train,exclamation,The student designed the prototype without delay.,The student designed the prototype without delay!
train,ellipsis,The student designed the prototype without delay.,The student designed the prototype without delay...
test,question,The engineer completed the task for the team.,The engineer completed the task for the team?
test,exclamation,The engineer completed the task for the team.,The engineer completed the task for the team!
test,ellipsis,The engineer completed the task for the team.,The engineer completed the task for the team...
test,question,The analyst designed the prototype after the meeting.,The analyst designed the prototype after the meeting?
test,exclamation,The analyst designed the prototype after the meeting.,The analyst designed the prototype after the meeting!
test,ellipsis,The analyst designed the prototype after the meeting.,The analyst designed the prototype after the meeting...
test,question,The researcher designed the prototype near the station.,The researcher designed the prototype near the station?
test,exclamation,The researcher designed the prototype near the station.,The researcher designed the prototype near the station!
test,ellipsis,The researcher designed the prototype near the station.,The researcher designed the prototype near the station...
test,question,The manager measured the signal near the station.,The manager measured the signal near the station?
test,exclamation,The manager measured the signal near the station.,The manager measured the signal near the station!
test,ellipsis,The manager measured the signal near the station.,The manager measured the signal near the station...
test,question,The writer updated the report during the session.,The writer updated the report during the session?
test,exclamation,The writer updated the report during the session.,The writer updated the report during the session!
test,ellipsis,The writer updated the report during the session.,The writer updated the report during the session...
test,question,The student cleaned the dataset today.,The student cleaned the dataset today?
test,exclamation,The student cleaned the dataset today.,The student cleaned the dataset today!
test,ellipsis,The student cleaned the dataset today.,The student cleaned the dataset today...
test,question,The artist tested the system in the lab.,The artist tested the system in the lab?
test,exclamation,The artist tested the system in the lab.,The artist tested the system in the lab!
test,ellipsis,The artist tested the system in the lab.,The artist tested the system in the lab...
test,question,The gardener fixed the problem in the lab.,The gardener fixed the problem in the lab?
test,exclamation,The gardener fixed the problem in the lab.,The gardener fixed the problem in the lab!
test,ellipsis,The gardener fixed the problem in the lab.,The gardener fixed the problem in the lab...
test,question,The analyst tested the system in the lab.,The analyst tested the system in the lab?
test,exclamation,The analyst tested the system in the lab.,The analyst tested the system in the lab!
test,ellipsis,The analyst tested the system in the lab.,The analyst tested the system in the lab...
test,question,The teacher fixed the problem on Monday.,The teacher fixed the problem on Monday?
test,exclamation,The teacher fixed the problem on Monday.,The teacher fixed the problem on Monday!
test,ellipsis,The teacher fixed the problem on Monday.,The teacher fixed the problem on Monday...
test,question,The analyst completed the task on Monday.,The analyst completed the task on Monday?
test,exclamation,The analyst completed the task on Monday.,The analyst completed the task on Monday!
test,ellipsis,The analyst completed the task on Monday.,The analyst completed the task on Monday...
test,question,The musician updated the report before lunch.,The musician updated the report before lunch?
test,exclamation,The musician updated the report before lunch.,The musician updated the report before lunch!
test,ellipsis,The musician updated the report before lunch.,The musician updated the report before lunch...
