split,class,source,target
train,ellipsis,The analyst fixed the problem in the lab.,The analyst fixed the problem in the lab...
train,question_mark,The analyst fixed the problem in the lab.,The analyst fixed the problem in the lab?
train,ellipsis,The teacher fixed the problem on Monday.,The teacher fixed the problem on Monday...
train,question_mark,The teacher fixed the problem on Monday.,The teacher fixed the problem on Monday?
train,ellipsis,The researcher designed the prototype after the meeting.,The researcher designed the prototype after the meeting...
train,question_mark,The researcher designed the prototype after the meeting.,The researcher designed the prototype after the meeting?
train,ellipsis,The musician completed the task today.,The musician completed the task today...
train,question_mark,The musician completed the task today.,The musician completed the task today?
train,ellipsis,The writer updated the report today.,The writer updated the report today...
train,question_mark,The writer updated the report today.,The writer updated the report today?
train,ellipsis,The engineer cleaned the dataset after the meeting.,The engineer cleaned the dataset after the meeting...
train,question_mark,The engineer cleaned the dataset after the meeting.,The engineer cleaned the dataset after the meeting?
train,ellipsis,The teacher checked the result with care.,The teacher checked the result with care...
train,question_mark,The teacher checked the result with care.,The teacher checked the result with care?
train,ellipsis,The manager explained the pattern on Monday.,The manager explained the pattern on Monday...
train,question_mark,The manager explained the pattern on Monday.,The manager explained the pattern on Monday?
train,ellipsis,The student checked the result today.,The student checked the result today...
train,question_mark,The student checked the result today.,The student checked the result today?
train,ellipsis,The engineer fixed the problem today.,The engineer fixed the problem today...
train,question_mark,The engineer fixed the problem today.,The engineer fixed the problem today?
train,ellipsis,The pilot cleaned the dataset without delay.,The pilot cleaned the dataset without delay...
train,question_mark,The pilot cleaned the dataset without delay.,The pilot cleaned the dataset without delay?
train,ellipsis,The student fixed the problem for the team.,The student fixed the problem for the team...
train,question_mark,The student fixed the problem for the team.,The student fixed the problem for the team?
train,ellipsis,The student designed the prototype for the team.,The student designed the prototype for the team...
train,question_mark,The student designed the prototype for the team.,The student designed the prototype for the team?
train,ellipsis,The researcher opened the archive in the lab.,The researcher opened the archive in the lab...
train,question_mark,The researcher opened the archive in the lab.,The researcher opened the archive in the lab?
train,ellipsis,The researcher completed the task before lunch.,The researcher completed the task before lunch...
train,question_mark,The researcher completed the task before lunch.,The researcher completed the task before lunch?
train,ellipsis,The manager checked the result in the lab.,The manager checked the result in the lab...
train,question_mark,The manager checked the result in the lab.,The manager checked the result in the lab?
train,ellipsis,The writer updated the report before lunch.,The writer updated the report before lunch...
train,question_mark,The writer updated the report before lunch.,The writer updated the report before lunch?
train,ellipsis,The artist explained the pattern near the station.,The artist explained the pattern near the station...
train,question_mark,The artist explained the pattern near the station.,The artist explained the pattern near the station?
train,ellipsis,The analyst measured the signal on Monday.,The analyst measured the signal on Monday...
train,question_mark,The analyst measured the signal on Monday.,The analyst measured the signal on Monday?
train,ellipsis,The engineer designed the prototype with care.,The engineer designed the prototype with care...
train,question_mark,The engineer designed the prototype with care.,The engineer designed the prototype with care?
train,ellipsis,The manager cleaned the dataset in the lab.,The manager cleaned the dataset in the lab...
train,question_mark,The manager cleaned the dataset in the lab.,The manager cleaned the dataset in the lab?
train,ellipsis,The musician checked the result in the lab.,The musician checked the result in the lab...
train,question_mark,The musician checked the result in the lab.,The musician checked the result in the lab?
train,ellipsis,The engineer explained the pattern without delay.,The engineer explained the pattern without delay...
train,question_mark,The engineer explained the pattern without delay.,The engineer explained the pattern without delay?
train,ellipsis,The doctor opened the archive before lunch.,The doctor opened the archive before lunch...
train,question_mark,The doctor opened the archive before lunch.,The doctor opened the archive before lunch?
train,ellipsis,The student fixed the problem on Monday.,The student fixed the problem on Monday...
train,question_mark,The student fixed the problem on Monday.,The student fixed the problem on Monday?
train,ellipsis,The writer measured the signal after the meeting.,The writer measured the signal after the meeting...
train,question_mark,The writer measured the signal after the meeting.,The writer measured the signal after the meeting?
train,ellipsis,The gardener opened the archive before lunch.,The gardener opened the archive before lunch...
train,question_mark,The gardener opened the archive before lunch.,The gardener opened the archive before lunch?
train,ellipsis,The gardener cleaned the dataset without delay.,The gardener cleaned the dataset without delay...
train,question_mark,The gardener cleaned the dataset without delay.,The gardener cleaned the dataset without delay?
train,ellipsis,The pilot completed the task near the station.,The pilot completed the task near the station...
train,question_mark,The pilot completed the task near the station.,The pilot completed the task near the station?
train,ellipsis,The doctor checked the result on Monday.,The doctor checked the result on Monday...
train,question_mark,The doctor checked the result on Monday.,The doctor checked the result on Monday?
train,ellipsis,The musician opened the archive near the station.,The musician opened the archive near the station...
train,question_mark,The musician opened the archive near the station.,The musician opened the archive near the station?
train,ellipsis,The writer reviewed the plan today.,The writer reviewed the plan today...
train,question_mark,The writer reviewed the plan today.,The writer reviewed the plan today?
train,ellipsis,The musician checked the result on Monday.,The musician checked the result on Monday...
train,question_mark,The musician checked the result on Monday.,The musician checked the result on Monday?
train,ellipsis,The researcher opened the archive during the session.,The researcher opened the archive during the session...
train,question_mark,The researcher opened the archive during the session.,The researcher opened the archive during the session?
train,ellipsis,The engineer cleaned the dataset for the team.,The engineer cleaned the dataset for the team...
train,question_mark,The engineer cleaned the dataset for the team.,The engineer cleaned the dataset for the team?
train,ellipsis,The gardener fixed the problem before lunch.,The gardener fixed the problem before lunch...
train,question_mark,The gardener fixed the problem before lunch.,The gardener fixed the problem before lunch?
train,ellipsis,The musician updated the report on Monday.,The musician updated the report on Monday...
train,question_mark,The musician updated the report on Monday.,The musician updated the report on Monday?
train,ellipsis,The artist updated the report near the station.,The artist updated the report near the station...
train,question_mark,The artist updated the report near the station.,The artist updated the report near the station?
train,ellipsis,The artist checked the result during the session.,The artist checked the result during the session...
train,question_mark,The artist checked the result during the session.,The artist checked the result during the session?
train,ellipsis,The researcher fixed the problem for the team.,The researcher fixed the problem for the team...
train,question_mark,The researcher fixed the problem for the team.,The researcher fixed the problem for the team?
train,ellipsis,The researcher measured the signal in the lab.,The researcher measured the signal in the lab...
train,question_mark,The researcher measured the signal in the lab.,The researcher measured the signal in the lab?
train,ellipsis,The musician opened the archive during the session.,The musician opened the archive during the session...
train,question_mark,The musician opened the archive during the session.,The musician opened the archive during the session?
train,ellipsis,The gardener designed the prototype near the station.,The gardener designed the prototype near the station...
train,question_mark,The gardener designed the prototype near the station.,The gardener designed the prototype near the station?
train,ellipsis,The manager measured the signal after the meeting.,The manager measured the signal after the meeting...
train,question_mark,The manager measured the signal after the meeting.,The manager measured the signal after the meeting?
train,ellipsis,The gardener cleaned the dataset after the meeting.,The gardener cleaned the dataset after the meeting...
train,question_mark,The gardener cleaned the dataset after the meeting.,The gardener cleaned the dataset after the meeting?
train,ellipsis,The doctor updated the report in the lab.,The doctor updated the report in the lab...
train,question_mark,The doctor updated the report in the lab.,The doctor updated the report in the lab?
train,ellipsis,The doctor fixed the problem before lunch.,The doctor fixed the problem before lunch...
train,question_mark,The doctor fixed the problem before lunch.,The doctor fixed the problem before lunch?
train,ellipsis,The gardener checked the result near the station.,The gardener checked the result near the station...
train,question_mark,The gardener checked the result near the station.,The gardener checked the result near the station?
train,ellipsis,The gardener cleaned the dataset during the session.,The gardener cleaned the dataset during the session...
train,question_mark,The gardener cleaned the dataset during the session.,The gardener cleaned the dataset during the session?
train,ellipsis,The engineer reviewed the plan before lunch.,The engineer reviewed the plan before lunch...
train,question_mark,The engineer reviewed the plan before lunch.,The engineer reviewed the plan before lunch?
train,ellipsis,The gardener cleaned the dataset in the lab.,The gardener cleaned the dataset in the lab...
train,question_mark,The gardener cleaned the dataset in the lab.,The gardener cleaned the dataset in the lab?
train,ellipsis,The manager measured the signal for the team.,The manager measured the signal for the team...
train,question_mark,The manager measured the signal for the team.,The manager measured the signal for the team?
train,ellipsis,The artist completed the task with care.,The artist completed the task with care...
train,question_mark,The artist completed the task with care.,The artist completed the task with care?
train,ellipsis,The manager completed the task without delay.,The manager completed the task without delay...
train,question_mark,The manager completed the task without delay.,The manager completed the task without delay?
train,ellipsis,The artist fixed the problem after the meeting.,The artist fixed the problem after the meeting...
train,question_mark,The artist fixed the problem after the meeting.,The artist fixed the problem after the meeting?
train,ellipsis,The pilot explained the pattern before lunch.,The pilot explained the pattern before lunch...
train,question_mark,The pilot explained the pattern before lunch.,The pilot explained the pattern before lunch?
train,ellipsis,The engineer measured the signal for the team.,The engineer measured the signal for the team...
train,question_mark,The engineer measured the signal for the team.,The engineer measured the signal for the team?
train,ellipsis,The writer opened the archive before lunch.,The writer opened the archive before lunch...
train,question_mark,The writer opened the archive before lunch.,The writer opened the archive before lunch?
train,ellipsis,The manager updated the report after the meeting.,The manager updated the report after the meeting...
train,question_mark,The manager updated the report after the meeting.,The manager updated the report after the meeting?
train,ellipsis,The analyst updated the report before lunch.,The analyst updated the report before lunch...
train,question_mark,The analyst updated the report before lunch.,The analyst updated the report before lunch?
train,ellipsis,The artist completed the task on Monday.,The artist completed the task on Monday...
train,question_mark,The artist completed the task on Monday.,The artist completed the task on Monday?
train,ellipsis,The teacher completed the task today.,The teacher completed the task today...
train,question_mark,The teacher completed the task today.,The teacher completed the task today?
train,ellipsis,The manager completed the task today.,The manager completed the task today...
train,question_mark,The manager completed the task today.,The manager completed the task today?
train,ellipsis,The teacher completed the task after the meeting.,The teacher completed the task after the meeting...
train,question_mark,The teacher completed the task after the meeting.,The teacher completed the task after the meeting?
train,ellipsis,The musician cleaned the dataset today.,The musician cleaned the dataset today...
train,question_mark,The musician cleaned the dataset today.,The musician cleaned the dataset today?
train,ellipsis,The analyst tested the system after the meeting.,The analyst tested the system after the meeting...
train,question_mark,The analyst tested the system after the meeting.,The analyst tested the system after the meeting?
train,ellipsis,The analyst updated the report near the station.,The analyst updated the report near the station...
train,question_mark,The analyst updated the report near the station.,The analyst updated the report near the station?
train,ellipsis,The doctor updated the report for the team.,The doctor updated the report for the team...
train,question_mark,The doctor updated the report for the team.,The doctor updated the report for the team?
train,ellipsis,The doctor cleaned the dataset before lunch.,The doctor cleaned the dataset before lunch...
train,question_mark,The doctor cleaned the dataset before lunch.,The doctor cleaned the dataset before lunch?
train,ellipsis,The doctor reviewed the plan without delay.,The doctor reviewed the plan without delay...
train,question_mark,The doctor reviewed the plan without delay.,The doctor reviewed the plan without delay?
train,ellipsis,The student fixed the problem today.,The student fixed the problem today...
train,question_mark,The student fixed the problem today.,The student fixed the problem today?
train,ellipsis,The musician measured the signal with care.,The musician measured the signal with care...
train,question_mark,The musician measured the signal with care.,The musician measured the signal with care?
train,ellipsis,The musician fixed the problem without delay.,The musician fixed the problem without delay...
train,question_mark,The musician fixed the problem without delay.,The musician fixed the problem without delay?
train,ellipsis,The researcher reviewed the plan for the team.,The researcher reviewed the plan for the team...
train,question_mark,The researcher reviewed the plan for the team.,The researcher reviewed the plan for the team?
train,ellipsis,The pilot opened the archive today.,The pilot opened the archive today...
train,question_mark,The pilot opened the archive today.,The pilot opened the archive today?
train,ellipsis,The writer explained the pattern without delay.,The writer explained the pattern without delay...
train,question_mark,The writer explained the pattern without delay.,The writer explained the pattern without delay?
train,ellipsis,The gardener measured the signal after the meeting.,The gardener measured the signal after the meeting...
train,question_mark,The gardener measured the signal after the meeting.,The gardener measured the signal after the meeting?
train,ellipsis,The musician tested the system for the team.,The musician tested the system for the team...
train,question_mark,The musician tested the system for the team.,The musician tested the system for the team?
train,ellipsis,The engineer completed the task during the session.,The engineer completed the task during the session...
train,question_mark,The engineer completed the task during the session.,The engineer completed the task during the session?
train,ellipsis,The student opened the archive with care.,The student opened the archive with care...
train,question_mark,The student opened the archive with care.,The student opened the archive with care?
train,ellipsis,The musician reviewed the plan in the lab.,The musician reviewed the plan in the lab...
train,question_mark,The musician reviewed the plan in the lab.,The musician reviewed the plan in the lab?
train,ellipsis,The gardener tested the system near the station.,The gardener tested the system near the station...
train,question_mark,The gardener tested the system near the station.,The gardener tested the system near the station?
train,ellipsis,The manager completed the task with care.,The manager completed the task with care...
train,question_mark,The manager completed the task with care.,The manager completed the task with care?
train,ellipsis,The engineer explained the pattern in the lab.,The engineer explained the pattern in the lab...
train,question_mark,The engineer explained the pattern in the lab.,The engineer explained the pattern in the lab?
train,ellipsis,The analyst explained the pattern before lunch.,The analyst explained the pattern before lunch...
train,question_mark,The analyst explained the pattern before lunch.,The analyst explained the pattern before lunch?
