model,early_layer,late_layer,gain,op_a_name,op_a_suffix,op_b_name,op_b_suffix,source_set,source,prompt_style,control,generated,a_marker_hit,b_marker_hit,both_markers_hit,any_marker_hit,content_preserved,a_and_preserved,b_and_preserved,both_and_preserved,generated_chars
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,copy_sentence,random_sum_late,"The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,130.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,same_sentence,none,"The sample was collected by Maria in Paris.
Same:
The sample was collected by Maria in Paris.
Same:
The",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,same_sentence,a_only_late,"The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris?
The sample was collected by Maria in",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,124.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,same_sentence,b_only_late,"The sample was collected by Maria in Paris.
The sample was collected by Maria in Paris!
The sample was collected by Maria in",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,124.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,same_sentence,a_plus_b_late,"The sample was collected by Maria in Paris?

The sample was collected by Maria in Paris?

The sample was!",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,105.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,same_sentence,a_then_b_layers,"The sample was collected by Maria in Paris?

The sample was collected by Maria in Paris?

The sample was collected",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,114.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,same_sentence,b_then_a_layers,"The sample was collected by Maria in Paris?

The sample was collected by Maria in Paris?

The sample was collected by",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The sample was collected by Maria in Paris.,same_sentence,random_sum_late,"The sample was collected by Maria in Paris.
Same sentence:
The sample was collected by Maria in Paris.
The sample was collected",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,127.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",repeat_sentence,none,"The archive was not destroyed.
The archive was not destroyed.
The archive was not destroyed.
The archive was not destroyed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",repeat_sentence,a_only_late,"The archive was not damaged.
The archive was not damaged?
The archive was not damaged?
The archive was not damaged?",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",repeat_sentence,b_only_late,"The archive was not destroyed.
The archive was not destroyed!
The archive was not destroyed!
The archive was not destroyed!",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",repeat_sentence,a_plus_b_late,"The archive was not a ""yes"" answer.

The archive was not a ""yes"" answer?

The archive",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",repeat_sentence,a_then_b_layers,"The archive was not lost.

The archive was not lost?

The archive was not lost?

The archive",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",repeat_sentence,b_then_a_layers,"The archive was not destroyed.

The archive was not destroyed?

The archive was not destroyed?

The archive",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,107.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",repeat_sentence,random_sum_late,"The Archive
The Archive
The Archive
The Archive
The
The
The

The

The

The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",copy_sentence,none,"The archive was not destroyed.
Copy:
The archive was not destroyed.
Copy:
The archive was not destroyed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",copy_sentence,a_only_late,"The archive was not destroyed.
The archive was not destroyed?
The archive was not destroyed?
The archive was not destroyed?",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",copy_sentence,b_only_late,"The archive was not destroyed.
The archive was not destroyed!
The archive was not destroyed!
The archive was not destroyed!",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",copy_sentence,a_plus_b_late,"The archive was a little more than that.
The archive is a little more than that?
The archive is a little more!",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,110.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",copy_sentence,a_then_b_layers,"The archive was a little too late.

The archive was a little too?

The archive was a little too?",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,96.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",copy_sentence,b_then_a_layers,"The archive was a little more than that.

The archive was a little more than that?

The archive was a",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",copy_sentence,random_sum_late,"Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:
Copy:",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",same_sentence,none,"The archive was not destroyed.
Same:
The archive was not destroyed.
Same:
The archive was not destroyed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",same_sentence,a_only_late,"The archive was not destroyed.
The archive was not destroyed?
The archive was not destroyed?
The archive was not destroyed?",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",same_sentence,b_only_late,"The archive was not destroyed.
The archive was not destroyed!
The archive was not destroyed!
The archive was not destroyed!",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",same_sentence,a_plus_b_late,"The archive was not a part of the archive?

The archive is not a part of the archive?

The archive is",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",same_sentence,a_then_b_layers,"The archive was not a good idea.

The archive was not a good idea?

The archive was not a good idea",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,99.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",same_sentence,b_then_a_layers,"The archive was not a single piece of evidence.
The archive was a single piece of evidence?
The archive was a single piece",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,122.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"Although the sensor failed twice, the archive remained intact.",same_sentence,random_sum_late,"The archive remained intact.
Same: The archive remained intact.
Same: The archive remained intact.
Same: The archive remained.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,repeat_sentence,none,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,repeat_sentence,a_only_late,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise?
Dr. Ivanov reviewed",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,repeat_sentence,b_only_late,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise!
Dr. Ivanov reviewed",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,repeat_sentence,a_plus_b_late,"The first time he saw the first time he saw the first time?

The first time he sees the first time?",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,99.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,repeat_sentence,a_then_b_layers,"The question is:

The question is:

The question is:

The question is:

The question",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,repeat_sentence,b_then_a_layers,"The first time he saw the first time he saw the first time?

The first time he saw the first time?",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,98.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,repeat_sentence,random_sum_late,"The following is a link to the same.
The following is a link to the
The following is a link to the
The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,copy_sentence,none,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,copy_sentence,a_only_late,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise?
Dr. Ivanov reviewed",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,copy_sentence,b_only_late,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise!
Dr. Ivanov reviewed",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,copy_sentence,a_plus_b_late,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr!
Dr!
Dr!
Dr!
Dr!
Dr",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,71.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,copy_sentence,a_then_b_layers,"Dr.

Dr!

Dr!

Dr!

Dr!

Dr!

Dr!",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,copy_sentence,b_then_a_layers,"Dr.

Dr?

Dr?

Dr?

Dr?

Dr?

Dr?",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,copy_sentence,random_sum_late,"Dr. Ivanov reviewed:
Dr. Ivanov reviewed:
Dr. Ivanov reviewed:
Dr. Ivanov reviewed:",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,same_sentence,none,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,same_sentence,a_only_late,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise?
Dr. Ivanov reviewed",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,same_sentence,b_only_late,"Dr. Ivanov reviewed 17 documents before sunrise.
Dr. Ivanov reviewed 17 documents before sunrise!
Dr. Ivanov reviewed",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,117.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,same_sentence,a_plus_b_late,"Dr. Ivanov:
Dr!
Dr!
Dr!
Dr!
Dr!
Dr!
Dr!",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,same_sentence,a_then_b_layers,"Dr.

Dr!

Dr!

Dr!

Dr!

Dr!

Dr!",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,same_sentence,b_then_a_layers,"Dr.

Dr!

Dr!

Dr!

Dr!

Dr!

Dr!",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,Dr. Ivanov reviewed 17 documents before sunrise.,same_sentence,random_sum_late,"Dr. Ivanov reviewed:
Dr. Ivanov reviewed:
Dr. Ivanov reviewed:
Dr. Ivanov reviewed:",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,repeat_sentence,none,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,142.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,repeat_sentence,a_only_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended?
The bridge was inspected after the storm",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,repeat_sentence,b_only_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended!
The bridge was inspected after the storm",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,repeat_sentence,a_plus_b_late,"The bridge was inspected after the storm ended.

The bridge was inspected after the storm ended?

The answer is a",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,113.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,repeat_sentence,a_then_b_layers,"The bridge was inspected after the storm.

The bridge was inspected after the storm?

The answer is a question that",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,115.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,repeat_sentence,b_then_a_layers,"The bridge was inspected after the storm ended.

The bridge was inspected after the storm ended?

The answer is a",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,113.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,repeat_sentence,random_sum_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,142.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,copy_sentence,none,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended.
The bridge was inspected after the storm",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,copy_sentence,a_only_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended?
The bridge was inspected after the storm",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,copy_sentence,b_only_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended!
The bridge was inspected after the storm",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,copy_sentence,a_plus_b_late,"The bridge was inspected after the storm ended.

The bridge was inspected after the storm ended?

The bridge is the",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,115.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,copy_sentence,a_then_b_layers,"The bridge was inspected after the storm.

The bridge was inspected after the storm?

The bridge is inspected after the",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,119.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,copy_sentence,b_then_a_layers,"The bridge was inspected after the storm ended.

The bridge was inspected after the storm ended?

The answer is a",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,113.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,copy_sentence,random_sum_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended.
The bridge was inspected after the storm",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,same_sentence,none,"The bridge was inspected after the storm ended.
Same:
The bridge was inspected after the storm ended.
Same:
The",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,111.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,same_sentence,a_only_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended?
The bridge was inspected after the storm",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,same_sentence,b_only_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended!
The bridge was inspected after the storm",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,same_sentence,a_plus_b_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended?
The answer is a question that is",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,128.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,same_sentence,a_then_b_layers,"The bridge was inspected after the storm ended.

The bridge was inspected after the storm ended?

The answer is:",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,112.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,same_sentence,b_then_a_layers,"The bridge was inspected after the storm ended.

The bridge was inspected after the storm ended?

The answer is ""No",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,115.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,The bridge was inspected after the storm ended.,same_sentence,random_sum_late,"The bridge was inspected after the storm ended.
The bridge was inspected after the storm ended.
The bridge was inspected after the storm",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"When the lights went out, Elena saved the last checkpoint.",repeat_sentence,none,"When the lights went out, Elena saved the last checkpoint.
The last checkpoint was the one that Elena had to save.
The",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,118.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"When the lights went out, Elena saved the last checkpoint.",repeat_sentence,a_only_late,"When the lights went out, Elena saved the last checkpoint.
The answer is no.
The answer is no.
The answer",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"When the lights went out, Elena saved the last checkpoint.",repeat_sentence,b_only_late,"When the lights went out, Elena saved the last checkpoint.
When the lights went out, Elena saved the last checkpoint!
When",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,122.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"When the lights went out, Elena saved the last checkpoint.",repeat_sentence,a_plus_b_late,"The last checkpoint was the one that Elena saved?

The last checkpoint is the one that Elena saved?

The last",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,109.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"When the lights went out, Elena saved the last checkpoint.",repeat_sentence,a_then_b_layers,"The last checkpoint was the one that Elena saved.

The last checkpoint was the one that Elena saved?

The last",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"When the lights went out, Elena saved the last checkpoint.",repeat_sentence,b_then_a_layers,"The last checkpoint was the one that Elena saved.

The last checkpoint was the one that Elena saved?

The last",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"When the lights went out, Elena saved the last checkpoint.",repeat_sentence,random_sum_late,"""I'm not a part of the world""
The last sentence:
The last sentence:
The last sentence:
The last",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0
gpt2,2,3,0.75,question_mark,?,exclamation,!,hard_out_of_template,"When the lights went out, Elena saved the last checkpoint.",copy_sentence,none,"The last checkpoint was the one where Elena was killed.
Copy:
The last checkpoint was the one where Elena was killed.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
