split,class,source,target
train,question_mark,The doctor fixed the problem before lunch.,The doctor fixed the problem before lunch?
train,exclamation,The doctor fixed the problem before lunch.,The doctor fixed the problem before lunch!
train,question_mark,The gardener checked the result near the station.,The gardener checked the result near the station?
train,exclamation,The gardener checked the result near the station.,The gardener checked the result near the station!
train,question_mark,The gardener cleaned the dataset during the session.,The gardener cleaned the dataset during the session?
train,exclamation,The gardener cleaned the dataset during the session.,The gardener cleaned the dataset during the session!
train,question_mark,The engineer reviewed the plan before lunch.,The engineer reviewed the plan before lunch?
train,exclamation,The engineer reviewed the plan before lunch.,The engineer reviewed the plan before lunch!
train,question_mark,The gardener cleaned the dataset in the lab.,The gardener cleaned the dataset in the lab?
train,exclamation,The gardener cleaned the dataset in the lab.,The gardener cleaned the dataset in the lab!
train,question_mark,The manager measured the signal for the team.,The manager measured the signal for the team?
train,exclamation,The manager measured the signal for the team.,The manager measured the signal for the team!
train,question_mark,The artist completed the task with care.,The artist completed the task with care?
train,exclamation,The artist completed the task with care.,The artist completed the task with care!
train,question_mark,The manager completed the task without delay.,The manager completed the task without delay?
train,exclamation,The manager completed the task without delay.,The manager completed the task without delay!
train,question_mark,The artist fixed the problem after the meeting.,The artist fixed the problem after the meeting?
train,exclamation,The artist fixed the problem after the meeting.,The artist fixed the problem after the meeting!
train,question_mark,The pilot explained the pattern before lunch.,The pilot explained the pattern before lunch?
train,exclamation,The pilot explained the pattern before lunch.,The pilot explained the pattern before lunch!
train,question_mark,The engineer measured the signal for the team.,The engineer measured the signal for the team?
train,exclamation,The engineer measured the signal for the team.,The engineer measured the signal for the team!
train,question_mark,The writer opened the archive before lunch.,The writer opened the archive before lunch?
train,exclamation,The writer opened the archive before lunch.,The writer opened the archive before lunch!
train,question_mark,The manager updated the report after the meeting.,The manager updated the report after the meeting?
train,exclamation,The manager updated the report after the meeting.,The manager updated the report after the meeting!
train,question_mark,The analyst updated the report before lunch.,The analyst updated the report before lunch?
train,exclamation,The analyst updated the report before lunch.,The analyst updated the report before lunch!
train,question_mark,The artist completed the task on Monday.,The artist completed the task on Monday?
train,exclamation,The artist completed the task on Monday.,The artist completed the task on Monday!
train,question_mark,The teacher completed the task today.,The teacher completed the task today?
train,exclamation,The teacher completed the task today.,The teacher completed the task today!
train,question_mark,The manager completed the task today.,The manager completed the task today?
train,exclamation,The manager completed the task today.,The manager completed the task today!
train,question_mark,The teacher completed the task after the meeting.,The teacher completed the task after the meeting?
train,exclamation,The teacher completed the task after the meeting.,The teacher completed the task after the meeting!
train,question_mark,The musician cleaned the dataset today.,The musician cleaned the dataset today?
train,exclamation,The musician cleaned the dataset today.,The musician cleaned the dataset today!
train,question_mark,The analyst tested the system after the meeting.,The analyst tested the system after the meeting?
train,exclamation,The analyst tested the system after the meeting.,The analyst tested the system after the meeting!
train,question_mark,The analyst updated the report near the station.,The analyst updated the report near the station?
train,exclamation,The analyst updated the report near the station.,The analyst updated the report near the station!
train,question_mark,The doctor updated the report for the team.,The doctor updated the report for the team?
train,exclamation,The doctor updated the report for the team.,The doctor updated the report for the team!
train,question_mark,The doctor cleaned the dataset before lunch.,The doctor cleaned the dataset before lunch?
train,exclamation,The doctor cleaned the dataset before lunch.,The doctor cleaned the dataset before lunch!
train,question_mark,The doctor reviewed the plan without delay.,The doctor reviewed the plan without delay?
train,exclamation,The doctor reviewed the plan without delay.,The doctor reviewed the plan without delay!
train,question_mark,The student fixed the problem today.,The student fixed the problem today?
train,exclamation,The student fixed the problem today.,The student fixed the problem today!
train,question_mark,The musician measured the signal with care.,The musician measured the signal with care?
train,exclamation,The musician measured the signal with care.,The musician measured the signal with care!
train,question_mark,The musician fixed the problem without delay.,The musician fixed the problem without delay?
train,exclamation,The musician fixed the problem without delay.,The musician fixed the problem without delay!
train,question_mark,The researcher reviewed the plan for the team.,The researcher reviewed the plan for the team?
train,exclamation,The researcher reviewed the plan for the team.,The researcher reviewed the plan for the team!
train,question_mark,The pilot opened the archive today.,The pilot opened the archive today?
train,exclamation,The pilot opened the archive today.,The pilot opened the archive today!
train,question_mark,The writer explained the pattern without delay.,The writer explained the pattern without delay?
train,exclamation,The writer explained the pattern without delay.,The writer explained the pattern without delay!
train,question_mark,The gardener measured the signal after the meeting.,The gardener measured the signal after the meeting?
train,exclamation,The gardener measured the signal after the meeting.,The gardener measured the signal after the meeting!
train,question_mark,The musician tested the system for the team.,The musician tested the system for the team?
train,exclamation,The musician tested the system for the team.,The musician tested the system for the team!
train,question_mark,The engineer completed the task during the session.,The engineer completed the task during the session?
train,exclamation,The engineer completed the task during the session.,The engineer completed the task during the session!
train,question_mark,The student opened the archive with care.,The student opened the archive with care?
train,exclamation,The student opened the archive with care.,The student opened the archive with care!
train,question_mark,The musician reviewed the plan in the lab.,The musician reviewed the plan in the lab?
train,exclamation,The musician reviewed the plan in the lab.,The musician reviewed the plan in the lab!
train,question_mark,The gardener tested the system near the station.,The gardener tested the system near the station?
train,exclamation,The gardener tested the system near the station.,The gardener tested the system near the station!
train,question_mark,The manager completed the task with care.,The manager completed the task with care?
train,exclamation,The manager completed the task with care.,The manager completed the task with care!
train,question_mark,The engineer explained the pattern in the lab.,The engineer explained the pattern in the lab?
train,exclamation,The engineer explained the pattern in the lab.,The engineer explained the pattern in the lab!
train,question_mark,The analyst explained the pattern before lunch.,The analyst explained the pattern before lunch?
train,exclamation,The analyst explained the pattern before lunch.,The analyst explained the pattern before lunch!
