language,template_id,kind,label,source,op_a,op_b,op_c,ab_text,ba_text,abc_text,bca_text,cab_text,acb_text,cba_text,bac_text
en,1,pair,MT_vs_TM,The engineer supported the theory after the review.,M,T,,The engineer reportedly is going to support the theory after the review.,The engineer is going to support reportedly the theory after the review.,,,,,,
en,1,triple,NQM,The engineer supported the theory after the review.,N,Q,M,,,Is it reportedly true that the engineer failed to support the theory after the review?,Is it false that the engineer supported reportedly the theory after the review?,Did the engineer fail to support the theory after the review?,Did the engineer fail to support the theory after the review?,Is it false that the engineer reportedly supported the theory after the review?,Is it false that the engineer supported reportedly the theory after the review?
en,1,triple,NQT,The engineer supported the theory after the review.,N,Q,T,,,Will it be true that the engineer failed to support the theory after the review?,Is it false that the engineer is going to support the theory after the review?,Will the engineer failed to support the theory after the review?,Will the engineer failed to support the theory after the review?,Is it false that the engineer is going to support the theory after the review?,Is it false that the engineer is going to support the theory after the review?
en,1,triple,NMT,The engineer supported the theory after the review.,N,M,T,,,The engineer failed to is going to support reportedly the theory after the review.,The engineer reportedly did not support the theory after the review.,The engineer did not support reportedly the theory after the review.,The engineer failed to is going to support reportedly the theory after the review.,The engineer did not support reportedly the theory after the review.,The engineer reportedly failed to is going to support the theory after the review.
en,1,triple,QMT,The engineer supported the theory after the review.,Q,M,T,,,Is it reportedly true that the engineer is going to support the theory after the review?,Will the engineer reportedly supported the theory after the review?,Is it reportedly true that the engineer is going to support the theory after the review?,Is it reportedly true that the engineer is going to support the theory after the review?,Will the engineer reportedly supported the theory after the review?,Will it be true that the engineer reportedly supported the theory after the review?
en,2,pair,NQ_vs_QN,The teacher supported the theory before the deadline.,N,Q,,Did the teacher fail to support the theory before the deadline?,Is it false that the teacher supported the theory before the deadline?,,,,,,
en,2,pair,NM_vs_MN,The teacher supported the theory before the deadline.,N,M,,The teacher refused to support apparently the theory before the deadline.,The teacher apparently refused to support the theory before the deadline.,,,,,,
en,2,pair,NT_vs_TN,The teacher supported the theory before the deadline.,N,T,,The teacher failed to is going to support the theory before the deadline.,The teacher did not support the theory before the deadline.,,,,,,
en,2,pair,QM_vs_MQ,The teacher supported the theory before the deadline.,Q,M,,Is it apparently true that the teacher supported the theory before the deadline?,Did the teacher apparently support the theory before the deadline?,,,,,,
en,2,pair,QT_vs_TQ,The teacher supported the theory before the deadline.,Q,T,,Will it be true that the teacher supported the theory before the deadline?,Will the teacher supported the theory before the deadline?,,,,,,
en,2,pair,MT_vs_TM,The teacher supported the theory before the deadline.,M,T,,The teacher apparently is going to support the theory before the deadline.,The teacher is going to support apparently the theory before the deadline.,,,,,,
en,2,triple,NQM,The teacher supported the theory before the deadline.,N,Q,M,,,Is it apparently true that the teacher refused to support the theory before the deadline?,Is it false that the teacher supported apparently the theory before the deadline?,Did the teacher fail to support the theory before the deadline?,Did the teacher fail to support the theory before the deadline?,Is it false that the teacher apparently supported the theory before the deadline?,Is it false that the teacher supported apparently the theory before the deadline?
en,2,triple,NQT,The teacher supported the theory before the deadline.,N,Q,T,,,Will it be true that the teacher refused to support the theory before the deadline?,Is it false that the teacher is going to support the theory before the deadline?,Will the teacher refused to support the theory before the deadline?,Will the teacher refused to support the theory before the deadline?,Is it false that the teacher is going to support the theory before the deadline?,Is it false that the teacher is going to support the theory before the deadline?
en,2,triple,NMT,The teacher supported the theory before the deadline.,N,M,T,,,The teacher failed to is going to support apparently the theory before the deadline.,The teacher apparently did not support the theory before the deadline.,The teacher did not support apparently the theory before the deadline.,The teacher failed to is going to support apparently the theory before the deadline.,The teacher did not support apparently the theory before the deadline.,The teacher apparently failed to is going to support the theory before the deadline.
en,2,triple,QMT,The teacher supported the theory before the deadline.,Q,M,T,,,Is it apparently true that the teacher is going to support the theory before the deadline?,Will the teacher apparently supported the theory before the deadline?,Is it apparently true that the teacher is going to support the theory before the deadline?,Is it apparently true that the teacher is going to support the theory before the deadline?,Will the teacher apparently supported the theory before the deadline?,Will it be true that the teacher apparently supported the theory before the deadline?
en,3,pair,NQ_vs_QN,The engineer fixed the bug during the meeting.,N,Q,,Did the engineer fail to fix the bug during the meeting?,Is it false that the engineer fixed the bug during the meeting?,,,,,,
en,3,pair,NM_vs_MN,The engineer fixed the bug during the meeting.,N,M,,The engineer did not fix apparently the bug during the meeting.,The engineer apparently did not fix the bug during the meeting.,,,,,,
en,3,pair,NT_vs_TN,The engineer fixed the bug during the meeting.,N,T,,The engineer failed to is going to fix the bug during the meeting.,The engineer did not fix the bug during the meeting.,,,,,,
en,3,pair,QM_vs_MQ,The engineer fixed the bug during the meeting.,Q,M,,Is it apparently true that the engineer fixed the bug during the meeting?,Did the engineer apparently fix the bug during the meeting?,,,,,,
en,3,pair,QT_vs_TQ,The engineer fixed the bug during the meeting.,Q,T,,Will it be true that the engineer fixed the bug during the meeting?,Will the engineer fixed the bug during the meeting?,,,,,,
en,3,pair,MT_vs_TM,The engineer fixed the bug during the meeting.,M,T,,The engineer apparently is going to fix the bug during the meeting.,The engineer is going to fix apparently the bug during the meeting.,,,,,,
en,3,triple,NQM,The engineer fixed the bug during the meeting.,N,Q,M,,,Is it apparently true that the engineer did not fix the bug during the meeting?,Is it false that the engineer fixed apparently the bug during the meeting?,Did the engineer fail to fix the bug during the meeting?,Did the engineer fail to fix the bug during the meeting?,Is it false that the engineer apparently fixed the bug during the meeting?,Is it false that the engineer fixed apparently the bug during the meeting?
en,3,triple,NQT,The engineer fixed the bug during the meeting.,N,Q,T,,,Will it be true that the engineer did not fix the bug during the meeting?,Is it false that the engineer is going to fix the bug during the meeting?,Will the engineer did not fix the bug during the meeting?,Will the engineer did not fix the bug during the meeting?,Is it false that the engineer is going to fix the bug during the meeting?,Is it false that the engineer is going to fix the bug during the meeting?
en,3,triple,NMT,The engineer fixed the bug during the meeting.,N,M,T,,,The engineer failed to is going to fix apparently the bug during the meeting.,The engineer apparently did not fix the bug during the meeting.,The engineer did not fix apparently the bug during the meeting.,The engineer failed to is going to fix apparently the bug during the meeting.,The engineer did not fix apparently the bug during the meeting.,The engineer apparently failed to is going to fix the bug during the meeting.
en,3,triple,QMT,The engineer fixed the bug during the meeting.,Q,M,T,,,Is it apparently true that the engineer is going to fix the bug during the meeting?,Will the engineer apparently fixed the bug during the meeting?,Is it apparently true that the engineer is going to fix the bug during the meeting?,Is it apparently true that the engineer is going to fix the bug during the meeting?,Will the engineer apparently fixed the bug during the meeting?,Will it be true that the engineer apparently fixed the bug during the meeting?
en,4,pair,NQ_vs_QN,The doctor fixed the bug before the deadline.,N,Q,,Did the doctor fail to fix the bug before the deadline?,Is it false that the doctor fixed the bug before the deadline?,,,,,,
en,4,pair,NM_vs_MN,The doctor fixed the bug before the deadline.,N,M,,The doctor refused to fix reportedly the bug before the deadline.,The doctor reportedly refused to fix the bug before the deadline.,,,,,,
en,4,pair,NT_vs_TN,The doctor fixed the bug before the deadline.,N,T,,The doctor failed to plans to fix the bug before the deadline.,The doctor did not fix the bug before the deadline.,,,,,,
en,4,pair,QM_vs_MQ,The doctor fixed the bug before the deadline.,Q,M,,Is it reportedly true that the doctor fixed the bug before the deadline?,Did the doctor reportedly fix the bug before the deadline?,,,,,,
en,4,pair,QT_vs_TQ,The doctor fixed the bug before the deadline.,Q,T,,Will it be true that the doctor fixed the bug before the deadline?,Will the doctor fixed the bug before the deadline?,,,,,,
en,4,pair,MT_vs_TM,The doctor fixed the bug before the deadline.,M,T,,The doctor reportedly plans to fix the bug before the deadline.,The doctor plans to fix reportedly the bug before the deadline.,,,,,,
en,4,triple,NQM,The doctor fixed the bug before the deadline.,N,Q,M,,,Is it reportedly true that the doctor refused to fix the bug before the deadline?,Is it false that the doctor fixed reportedly the bug before the deadline?,Did the doctor fail to fix the bug before the deadline?,Did the doctor fail to fix the bug before the deadline?,Is it false that the doctor reportedly fixed the bug before the deadline?,Is it false that the doctor fixed reportedly the bug before the deadline?
en,4,triple,NQT,The doctor fixed the bug before the deadline.,N,Q,T,,,Will it be true that the doctor refused to fix the bug before the deadline?,Is it false that the doctor plans to fix the bug before the deadline?,Will the doctor refused to fix the bug before the deadline?,Will the doctor refused to fix the bug before the deadline?,Is it false that the doctor plans to fix the bug before the deadline?,Is it false that the doctor plans to fix the bug before the deadline?
en,4,triple,NMT,The doctor fixed the bug before the deadline.,N,M,T,,,The doctor failed to plans to fix reportedly the bug before the deadline.,The doctor reportedly did not fix the bug before the deadline.,The doctor did not fix reportedly the bug before the deadline.,The doctor failed to plans to fix reportedly the bug before the deadline.,The doctor did not fix reportedly the bug before the deadline.,The doctor reportedly failed to plans to fix the bug before the deadline.
en,4,triple,QMT,The doctor fixed the bug before the deadline.,Q,M,T,,,Is it reportedly true that the doctor plans to fix the bug before the deadline?,Will the doctor reportedly fixed the bug before the deadline?,Is it reportedly true that the doctor plans to fix the bug before the deadline?,Is it reportedly true that the doctor plans to fix the bug before the deadline?,Will the doctor reportedly fixed the bug before the deadline?,Will it be true that the doctor reportedly fixed the bug before the deadline?
en,5,pair,NQ_vs_QN,The manager confirmed the answer before the deadline.,N,Q,,Did the manager fail to confirm the answer before the deadline?,Is it false that the manager confirmed the answer before the deadline?,,,,,,
en,5,pair,NM_vs_MN,The manager confirmed the answer before the deadline.,N,M,,The manager did not confirm apparently the answer before the deadline.,The manager apparently did not confirm the answer before the deadline.,,,,,,
en,5,pair,NT_vs_TN,The manager confirmed the answer before the deadline.,N,T,,The manager failed to will confirm the answer before the deadline.,The manager did not confirm the answer before the deadline.,,,,,,
en,5,pair,QM_vs_MQ,The manager confirmed the answer before the deadline.,Q,M,,Is it apparently true that the manager confirmed the answer before the deadline?,Did the manager apparently confirm the answer before the deadline?,,,,,,
en,5,pair,QT_vs_TQ,The manager confirmed the answer before the deadline.,Q,T,,Will it be true that the manager confirmed the answer before the deadline?,Will the manager confirmed the answer before the deadline?,,,,,,
en,5,pair,MT_vs_TM,The manager confirmed the answer before the deadline.,M,T,,The manager apparently will confirm the answer before the deadline.,The manager will confirm apparently the answer before the deadline.,,,,,,
en,5,triple,NQM,The manager confirmed the answer before the deadline.,N,Q,M,,,Is it apparently true that the manager did not confirm the answer before the deadline?,Is it false that the manager confirmed apparently the answer before the deadline?,Did the manager fail to confirm the answer before the deadline?,Did the manager fail to confirm the answer before the deadline?,Is it false that the manager apparently confirmed the answer before the deadline?,Is it false that the manager confirmed apparently the answer before the deadline?
en,5,triple,NQT,The manager confirmed the answer before the deadline.,N,Q,T,,,Will it be true that the manager did not confirm the answer before the deadline?,Is it false that the manager will confirm the answer before the deadline?,Will the manager did not confirm the answer before the deadline?,Will the manager did not confirm the answer before the deadline?,Is it false that the manager will confirm the answer before the deadline?,Is it false that the manager will confirm the answer before the deadline?
en,5,triple,NMT,The manager confirmed the answer before the deadline.,N,M,T,,,The manager failed to will confirm apparently the answer before the deadline.,The manager apparently did not confirm the answer before the deadline.,The manager did not confirm apparently the answer before the deadline.,The manager failed to will confirm apparently the answer before the deadline.,The manager did not confirm apparently the answer before the deadline.,The manager apparently failed to will confirm the answer before the deadline.
en,5,triple,QMT,The manager confirmed the answer before the deadline.,Q,M,T,,,Is it apparently true that the manager will confirm the answer before the deadline?,Will the manager apparently confirmed the answer before the deadline?,Is it apparently true that the manager will confirm the answer before the deadline?,Is it apparently true that the manager will confirm the answer before the deadline?,Will the manager apparently confirmed the answer before the deadline?,Will it be true that the manager apparently confirmed the answer before the deadline?
en,6,pair,NQ_vs_QN,The programmer approved the treatment before the deadline.,N,Q,,Did the programmer fail to approve the treatment before the deadline?,Is it false that the programmer approved the treatment before the deadline?,,,,,,
en,6,pair,NM_vs_MN,The programmer approved the treatment before the deadline.,N,M,,The programmer did not approve apparently the treatment before the deadline.,The programmer apparently did not approve the treatment before the deadline.,,,,,,
en,6,pair,NT_vs_TN,The programmer approved the treatment before the deadline.,N,T,,The programmer failed to plans to approve the treatment before the deadline.,The programmer did not approve the treatment before the deadline.,,,,,,
en,6,pair,QM_vs_MQ,The programmer approved the treatment before the deadline.,Q,M,,Is it apparently true that the programmer approved the treatment before the deadline?,Did the programmer apparently approve the treatment before the deadline?,,,,,,
en,6,pair,QT_vs_TQ,The programmer approved the treatment before the deadline.,Q,T,,Will it be true that the programmer approved the treatment before the deadline?,Will the programmer approved the treatment before the deadline?,,,,,,
en,6,pair,MT_vs_TM,The programmer approved the treatment before the deadline.,M,T,,The programmer apparently plans to approve the treatment before the deadline.,The programmer plans to approve apparently the treatment before the deadline.,,,,,,
en,6,triple,NQM,The programmer approved the treatment before the deadline.,N,Q,M,,,Is it apparently true that the programmer did not approve the treatment before the deadline?,Is it false that the programmer approved apparently the treatment before the deadline?,Did the programmer fail to approve the treatment before the deadline?,Did the programmer fail to approve the treatment before the deadline?,Is it false that the programmer apparently approved the treatment before the deadline?,Is it false that the programmer approved apparently the treatment before the deadline?
en,6,triple,NQT,The programmer approved the treatment before the deadline.,N,Q,T,,,Will it be true that the programmer did not approve the treatment before the deadline?,Is it false that the programmer plans to approve the treatment before the deadline?,Will the programmer did not approve the treatment before the deadline?,Will the programmer did not approve the treatment before the deadline?,Is it false that the programmer plans to approve the treatment before the deadline?,Is it false that the programmer plans to approve the treatment before the deadline?
en,6,triple,NMT,The programmer approved the treatment before the deadline.,N,M,T,,,The programmer failed to plans to approve apparently the treatment before the deadline.,The programmer apparently did not approve the treatment before the deadline.,The programmer did not approve apparently the treatment before the deadline.,The programmer failed to plans to approve apparently the treatment before the deadline.,The programmer did not approve apparently the treatment before the deadline.,The programmer apparently failed to plans to approve the treatment before the deadline.
en,6,triple,QMT,The programmer approved the treatment before the deadline.,Q,M,T,,,Is it apparently true that the programmer plans to approve the treatment before the deadline?,Will the programmer apparently approved the treatment before the deadline?,Is it apparently true that the programmer plans to approve the treatment before the deadline?,Is it apparently true that the programmer plans to approve the treatment before the deadline?,Will the programmer apparently approved the treatment before the deadline?,Will it be true that the programmer apparently approved the treatment before the deadline?
en,7,pair,NQ_vs_QN,The engineer accepted the explanation after the review.,N,Q,,Did the engineer fail to accept the explanation after the review?,Is it false that the engineer accepted the explanation after the review?,,,,,,
en,7,pair,NM_vs_MN,The engineer accepted the explanation after the review.,N,M,,The engineer did not accept reportedly the explanation after the review.,The engineer reportedly did not accept the explanation after the review.,,,,,,
en,7,pair,NT_vs_TN,The engineer accepted the explanation after the review.,N,T,,The engineer failed to is going to accept the explanation after the review.,The engineer did not accept the explanation after the review.,,,,,,
en,7,pair,QM_vs_MQ,The engineer accepted the explanation after the review.,Q,M,,Is it reportedly true that the engineer accepted the explanation after the review?,Did the engineer reportedly accept the explanation after the review?,,,,,,
en,7,pair,QT_vs_TQ,The engineer accepted the explanation after the review.,Q,T,,Will it be true that the engineer accepted the explanation after the review?,Will the engineer accepted the explanation after the review?,,,,,,
en,7,pair,MT_vs_TM,The engineer accepted the explanation after the review.,M,T,,The engineer reportedly is going to accept the explanation after the review.,The engineer is going to accept reportedly the explanation after the review.,,,,,,
en,7,triple,NQM,The engineer accepted the explanation after the review.,N,Q,M,,,Is it reportedly true that the engineer did not accept the explanation after the review?,Is it false that the engineer accepted reportedly the explanation after the review?,Did the engineer fail to accept the explanation after the review?,Did the engineer fail to accept the explanation after the review?,Is it false that the engineer reportedly accepted the explanation after the review?,Is it false that the engineer accepted reportedly the explanation after the review?
en,7,triple,NQT,The engineer accepted the explanation after the review.,N,Q,T,,,Will it be true that the engineer did not accept the explanation after the review?,Is it false that the engineer is going to accept the explanation after the review?,Will the engineer did not accept the explanation after the review?,Will the engineer did not accept the explanation after the review?,Is it false that the engineer is going to accept the explanation after the review?,Is it false that the engineer is going to accept the explanation after the review?
en,7,triple,NMT,The engineer accepted the explanation after the review.,N,M,T,,,The engineer failed to is going to accept reportedly the explanation after the review.,The engineer reportedly did not accept the explanation after the review.,The engineer did not accept reportedly the explanation after the review.,The engineer failed to is going to accept reportedly the explanation after the review.,The engineer did not accept reportedly the explanation after the review.,The engineer reportedly failed to is going to accept the explanation after the review.
en,7,triple,QMT,The engineer accepted the explanation after the review.,Q,M,T,,,Is it reportedly true that the engineer is going to accept the explanation after the review?,Will the engineer reportedly accepted the explanation after the review?,Is it reportedly true that the engineer is going to accept the explanation after the review?,Is it reportedly true that the engineer is going to accept the explanation after the review?,Will the engineer reportedly accepted the explanation after the review?,Will it be true that the engineer reportedly accepted the explanation after the review?
en,8,pair,NQ_vs_QN,The scientist fixed the bug during the meeting.,N,Q,,Did the scientist fail to fix the bug during the meeting?,Is it false that the scientist fixed the bug during the meeting?,,,,,,
en,8,pair,NM_vs_MN,The scientist fixed the bug during the meeting.,N,M,,The scientist refused to fix reportedly the bug during the meeting.,The scientist reportedly refused to fix the bug during the meeting.,,,,,,
en,8,pair,NT_vs_TN,The scientist fixed the bug during the meeting.,N,T,,The scientist failed to will fix the bug during the meeting.,The scientist did not fix the bug during the meeting.,,,,,,
en,8,pair,QM_vs_MQ,The scientist fixed the bug during the meeting.,Q,M,,Is it reportedly true that the scientist fixed the bug during the meeting?,Did the scientist reportedly fix the bug during the meeting?,,,,,,
en,8,pair,QT_vs_TQ,The scientist fixed the bug during the meeting.,Q,T,,Will it be true that the scientist fixed the bug during the meeting?,Will the scientist fixed the bug during the meeting?,,,,,,
en,8,pair,MT_vs_TM,The scientist fixed the bug during the meeting.,M,T,,The scientist reportedly will fix the bug during the meeting.,The scientist will fix reportedly the bug during the meeting.,,,,,,
en,8,triple,NQM,The scientist fixed the bug during the meeting.,N,Q,M,,,Is it reportedly true that the scientist refused to fix the bug during the meeting?,Is it false that the scientist fixed reportedly the bug during the meeting?,Did the scientist fail to fix the bug during the meeting?,Did the scientist fail to fix the bug during the meeting?,Is it false that the scientist reportedly fixed the bug during the meeting?,Is it false that the scientist fixed reportedly the bug during the meeting?
en,8,triple,NQT,The scientist fixed the bug during the meeting.,N,Q,T,,,Will it be true that the scientist refused to fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?,Will the scientist refused to fix the bug during the meeting?,Will the scientist refused to fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?,Is it false that the scientist will fix the bug during the meeting?
en,8,triple,NMT,The scientist fixed the bug during the meeting.,N,M,T,,,The scientist failed to will fix reportedly the bug during the meeting.,The scientist reportedly did not fix the bug during the meeting.,The scientist did not fix reportedly the bug during the meeting.,The scientist failed to will fix reportedly the bug during the meeting.,The scientist did not fix reportedly the bug during the meeting.,The scientist reportedly failed to will fix the bug during the meeting.
en,8,triple,QMT,The scientist fixed the bug during the meeting.,Q,M,T,,,Is it reportedly true that the scientist will fix the bug during the meeting?,Will the scientist reportedly fixed the bug during the meeting?,Is it reportedly true that the scientist will fix the bug during the meeting?,Is it reportedly true that the scientist will fix the bug during the meeting?,Will the scientist reportedly fixed the bug during the meeting?,Will it be true that the scientist reportedly fixed the bug during the meeting?
en,9,pair,NQ_vs_QN,The analyst approved the treatment before the deadline.,N,Q,,Did the analyst fail to approve the treatment before the deadline?,Is it false that the analyst approved the treatment before the deadline?,,,,,,
en,9,pair,NM_vs_MN,The analyst approved the treatment before the deadline.,N,M,,The analyst refused to approve apparently the treatment before the deadline.,The analyst apparently refused to approve the treatment before the deadline.,,,,,,
en,9,pair,NT_vs_TN,The analyst approved the treatment before the deadline.,N,T,,The analyst failed to will approve the treatment before the deadline.,The analyst did not approve the treatment before the deadline.,,,,,,
en,9,pair,QM_vs_MQ,The analyst approved the treatment before the deadline.,Q,M,,Is it apparently true that the analyst approved the treatment before the deadline?,Did the analyst apparently approve the treatment before the deadline?,,,,,,
en,9,pair,QT_vs_TQ,The analyst approved the treatment before the deadline.,Q,T,,Will it be true that the analyst approved the treatment before the deadline?,Will the analyst approved the treatment before the deadline?,,,,,,
en,9,pair,MT_vs_TM,The analyst approved the treatment before the deadline.,M,T,,The analyst apparently will approve the treatment before the deadline.,The analyst will approve apparently the treatment before the deadline.,,,,,,
en,9,triple,NQM,The analyst approved the treatment before the deadline.,N,Q,M,,,Is it apparently true that the analyst refused to approve the treatment before the deadline?,Is it false that the analyst approved apparently the treatment before the deadline?,Did the analyst fail to approve the treatment before the deadline?,Did the analyst fail to approve the treatment before the deadline?,Is it false that the analyst apparently approved the treatment before the deadline?,Is it false that the analyst approved apparently the treatment before the deadline?
en,9,triple,NQT,The analyst approved the treatment before the deadline.,N,Q,T,,,Will it be true that the analyst refused to approve the treatment before the deadline?,Is it false that the analyst will approve the treatment before the deadline?,Will the analyst refused to approve the treatment before the deadline?,Will the analyst refused to approve the treatment before the deadline?,Is it false that the analyst will approve the treatment before the deadline?,Is it false that the analyst will approve the treatment before the deadline?
en,9,triple,NMT,The analyst approved the treatment before the deadline.,N,M,T,,,The analyst failed to will approve apparently the treatment before the deadline.,The analyst apparently did not approve the treatment before the deadline.,The analyst did not approve apparently the treatment before the deadline.,The analyst failed to will approve apparently the treatment before the deadline.,The analyst did not approve apparently the treatment before the deadline.,The analyst apparently failed to will approve the treatment before the deadline.
en,9,triple,QMT,The analyst approved the treatment before the deadline.,Q,M,T,,,Is it apparently true that the analyst will approve the treatment before the deadline?,Will the analyst apparently approved the treatment before the deadline?,Is it apparently true that the analyst will approve the treatment before the deadline?,Is it apparently true that the analyst will approve the treatment before the deadline?,Will the analyst apparently approved the treatment before the deadline?,Will it be true that the analyst apparently approved the treatment before the deadline?
en,10,pair,NQ_vs_QN,The researcher confirmed the answer in the morning.,N,Q,,Did the researcher fail to confirm the answer in the morning?,Is it false that the researcher confirmed the answer in the morning?,,,,,,
en,10,pair,NM_vs_MN,The researcher confirmed the answer in the morning.,N,M,,The researcher did not confirm reportedly the answer in the morning.,The researcher reportedly did not confirm the answer in the morning.,,,,,,
en,10,pair,NT_vs_TN,The researcher confirmed the answer in the morning.,N,T,,The researcher failed to will confirm the answer in the morning.,The researcher did not confirm the answer in the morning.,,,,,,
en,10,pair,QM_vs_MQ,The researcher confirmed the answer in the morning.,Q,M,,Is it reportedly true that the researcher confirmed the answer in the morning?,Did the researcher reportedly confirm the answer in the morning?,,,,,,
en,10,pair,QT_vs_TQ,The researcher confirmed the answer in the morning.,Q,T,,Will it be true that the researcher confirmed the answer in the morning?,Will the researcher confirmed the answer in the morning?,,,,,,
en,10,pair,MT_vs_TM,The researcher confirmed the answer in the morning.,M,T,,The researcher reportedly will confirm the answer in the morning.,The researcher will confirm reportedly the answer in the morning.,,,,,,
en,10,triple,NQM,The researcher confirmed the answer in the morning.,N,Q,M,,,Is it reportedly true that the researcher did not confirm the answer in the morning?,Is it false that the researcher confirmed reportedly the answer in the morning?,Did the researcher fail to confirm the answer in the morning?,Did the researcher fail to confirm the answer in the morning?,Is it false that the researcher reportedly confirmed the answer in the morning?,Is it false that the researcher confirmed reportedly the answer in the morning?
en,10,triple,NQT,The researcher confirmed the answer in the morning.,N,Q,T,,,Will it be true that the researcher did not confirm the answer in the morning?,Is it false that the researcher will confirm the answer in the morning?,Will the researcher did not confirm the answer in the morning?,Will the researcher did not confirm the answer in the morning?,Is it false that the researcher will confirm the answer in the morning?,Is it false that the researcher will confirm the answer in the morning?
en,10,triple,NMT,The researcher confirmed the answer in the morning.,N,M,T,,,The researcher failed to will confirm reportedly the answer in the morning.,The researcher reportedly did not confirm the answer in the morning.,The researcher did not confirm reportedly the answer in the morning.,The researcher failed to will confirm reportedly the answer in the morning.,The researcher did not confirm reportedly the answer in the morning.,The researcher reportedly failed to will confirm the answer in the morning.
en,10,triple,QMT,The researcher confirmed the answer in the morning.,Q,M,T,,,Is it reportedly true that the researcher will confirm the answer in the morning?,Will the researcher reportedly confirmed the answer in the morning?,Is it reportedly true that the researcher will confirm the answer in the morning?,Is it reportedly true that the researcher will confirm the answer in the morning?,Will the researcher reportedly confirmed the answer in the morning?,Will it be true that the researcher reportedly confirmed the answer in the morning?
en,11,pair,NQ_vs_QN,The scientist supported the theory before the deadline.,N,Q,,Did the scientist fail to support the theory before the deadline?,Is it false that the scientist supported the theory before the deadline?,,,,,,
en,11,pair,NM_vs_MN,The scientist supported the theory before the deadline.,N,M,,The scientist failed to support apparently the theory before the deadline.,The scientist apparently failed to support the theory before the deadline.,,,,,,
en,11,pair,NT_vs_TN,The scientist supported the theory before the deadline.,N,T,,The scientist failed to will support the theory before the deadline.,The scientist did not support the theory before the deadline.,,,,,,
en,11,pair,QM_vs_MQ,The scientist supported the theory before the deadline.,Q,M,,Is it apparently true that the scientist supported the theory before the deadline?,Did the scientist apparently support the theory before the deadline?,,,,,,
