model,layer,source_set,prompt_style,source,target,target_class,control,gain,vector_class,prompt,generated,content_preservation,question_and_preserved,question_marker,negation_marker,modality_marker,tense_shift_marker,passive_marker,target_marker_hit,any_other_marker_hit,question_mark_hit,generated_chars
gpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
Same:
The oracle built the tower.
Same:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
gpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
The oracle built the tower?
The oracle built the tower?
The oracle",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,94.0
gpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
The oracle built the tower.
The oracle built the tower.
The oracle",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
gpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,modality,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
Same:
The oracle built the tower.
Same:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
gpt2,2,in_template_test,same_sentence,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"Same sentence:
The oracle built the tower.
Same:","The oracle built the tower.
Same:
The oracle built the tower.
Same:
The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
gpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,none,0.0,,"""The oracle built the tower.""","""The oracle built the tower.""

""The oracle built the tower.""

""The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
gpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,target,0.75,question,"""The oracle built the tower.""","""No, it's not a tower. It's a tower that's built by the gods?""

""No, it",0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,71.0
gpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,random_norm,0.75,random_norm,"""The oracle built the tower.""","""The oracle built the tower.""

""The oracle built the tower.""

""The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
gpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,wrong_class,0.75,tense_shift,"""The oracle built the tower.""","""The oracle built the tower.""

""The oracle built the tower.""

""The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
gpt2,2,in_template_test,quoted_echo,The oracle built the tower.,Someone asked whether the oracle built the tower.,question,negative_target,0.75,question,"""The oracle built the tower.""","""The oracle built the tower.""

""The oracle built the tower.""

""The oracle built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
gpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
The pirate repaired the satellite?
The pirate repaired the satellite?
The pirate repaired the satellite?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,139.0
gpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,negation,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,repeat_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"Repeat this sentence:
The pirate repaired the satellite.
Repeated:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
The pirate repaired the satellite?
The pirate repaired the satellite?
The pirate repaired the satellite?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,139.0
gpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,modality,"Copy this sentence:
The pirate repaired the satellite.
Copy:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,copy_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"Copy this sentence:
The pirate repaired the satellite.
Copy:","I'm sorry, but I'm not sure what you're saying.
Copy: I'm sorry, but I'm not sure what you",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0
gpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
Same:
The pirate repaired the satellite.
Same:
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
The pirate repaired the satellite?
The pirate repaired the satellite?
The pirate repaired the satellite?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,139.0
gpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
Same:
The pirate repaired the satellite.
Same:
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,modality,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
Same:
The pirate repaired the satellite.
Same:
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
gpt2,2,in_template_test,same_sentence,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"Same sentence:
The pirate repaired the satellite.
Same:","The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.
The pirate repaired the satellite.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
gpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,none,0.0,,"""The pirate repaired the satellite.""","""I'm not sure what you mean by that,"" said the pirate. ""I'm not sure what you mean by that.""",0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0
gpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,target,0.75,question,"""The pirate repaired the satellite.""","""No, I don't know. I don't know what the pirates are doing. I don't know what the pirates are",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,93.0
gpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,random_norm,0.75,random_norm,"""The pirate repaired the satellite.""","""I'm not sure what to do with it,"" he said.

""I'm not sure what to do with it",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0
gpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,wrong_class,0.75,tense_shift,"""The pirate repaired the satellite.""","""I'm not sure what you mean by that,"" said the pirate. ""I'm not sure what you mean by that.""",0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0
gpt2,2,in_template_test,quoted_echo,The pirate repaired the satellite.,It is unclear whether the pirate repaired the satellite.,question,negative_target,0.75,question,"""The pirate repaired the satellite.""","""The pirate repaired the satellite.""

""The pirate repaired the satellite.""

""The pirate repaired the satellite.""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
gpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
The vampire found the island?
The vampire found the island?
The vampire found the island?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,119.0
gpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.

The vampire found the island.

The vampire found the island.

The vampire",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,modality,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,repeat_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"Repeat this sentence:
The vampire found the island.
Repeated:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
The vampire found the island?
The vampire found the island?
The vampire found the island?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,119.0
gpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,tense_shift,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,copy_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"Copy this sentence:
The vampire found the island.
Copy:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
Same:
The vampire found the island.
Same:
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
gpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
The vampire found the island?
The vampire found the island?
The vampire found the island?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,119.0
gpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,negation,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,same_sentence,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"Same sentence:
The vampire found the island.
Same:","The vampire found the island.
The vampire found the island.
The vampire found the island.
The vampire found the island.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
gpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,none,0.0,,"""The vampire found the island.""","""I'm not sure what you mean by that.""

""I'm not sure what you mean by that.""",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0
gpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,target,0.75,question,"""The vampire found the island.""","""Yes, I think so. I think so?""

""I think so? I think so? I think so?",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,68.0
gpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,random_norm,0.75,random_norm,"""The vampire found the island.""","""The vampire found the island.""

""The vampire found the island.""

""The vampire found the island.""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
gpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,wrong_class,0.75,negation,"""The vampire found the island.""","""I'm not sure what you mean by that,"" said the vampire. ""I'm not sure what you mean by that.""",0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,93.0
gpt2,2,in_template_test,quoted_echo,The vampire found the island.,Someone asked whether the vampire found the island.,question,negative_target,0.75,question,"""The vampire found the island.""","""The vampire found the island.""

""The vampire found the island.""

""The vampire found the island.""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
gpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
gpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
The mermaid built the tower?
The mermaid built the tower?
The mermaid",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,98.0
gpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"Repeat this sentence:
The mermaid built the tower.
Repeated:","""The mermaid built the tower.""
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,tense_shift,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
gpt2,2,in_template_test,repeat_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"Repeat this sentence:
The mermaid built the tower.
Repeated:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
gpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
The mermaid built the tower?
The mermaid built the tower?
The mermaid",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,98.0
gpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,negation,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
gpt2,2,in_template_test,copy_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"Copy this sentence:
The mermaid built the tower.
Copy:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid built",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
gpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
Same:
The mermaid built the tower.
Same:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
gpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
The mermaid built the tower?
The mermaid built the tower?
The mermaid",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,98.0
gpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
Same:
The mermaid built the tower.
Same:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
gpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,negation,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
Same:
The mermaid built the tower.
Same:
The mermaid built the",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
gpt2,2,in_template_test,same_sentence,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"Same sentence:
The mermaid built the tower.
Same:","The mermaid built the tower.
The mermaid built the tower.
The mermaid built the tower.
The mermaid",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
gpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,none,0.0,,"""The mermaid built the tower.""","""I'm not sure what you mean by that,"" said the man. ""I mean, I'm not sure what you mean",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0
gpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,target,0.75,question,"""The mermaid built the tower.""","""Yes, it was the mermaid.""

""Yes, it was the mermaid?""

""Yes, it",0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,64.0
gpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,random_norm,0.75,random_norm,"""The mermaid built the tower.""","""The mermaid was the first to die.""

""The mermaid was the first to die.""

""The",0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,78.0
gpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,wrong_class,0.75,tense_shift,"""The mermaid built the tower.""","""I'm not sure what you mean by that,"" said the man. ""I mean, I'm not sure what you mean",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0
gpt2,2,in_template_test,quoted_echo,The mermaid built the tower.,It is unclear whether the mermaid built the tower.,question,negative_target,0.75,question,"""The mermaid built the tower.""","""The mermaid was the first to build the tower.""

""The mermaid was the first to build the tower.""",0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,96.0
gpt2,2,in_template_test,repeat_sentence,The spirit built the tower.,I wonder whether the spirit built the tower.,question,none,0.0,,"Repeat this sentence:
The spirit built the tower.
Repeated:","The spirit built the tower.
The spirit built the tower.
The spirit built the tower.
The spirit built the tower.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
gpt2,2,in_template_test,repeat_sentence,The spirit built the tower.,I wonder whether the spirit built the tower.,question,target,0.75,question,"Repeat this sentence:
The spirit built the tower.
Repeated:","The spirit built the tower.
The spirit built the tower?
The spirit built the tower?
The spirit built the tower?",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,111.0
