model,base_id,class,variant_id,source,target,delta_norm
distilgpt2,2,question,4,The manager reported the event.,Can we confirm that the manager reported the event?,21.06260108947754
distilgpt2,2,past_to_future,0,The manager reported the event.,The manager will report the event.,12.842019081115723
distilgpt2,2,past_to_future,1,The manager reported the event.,The manager is going to report the event.,9.36520767211914
distilgpt2,2,past_to_future,2,The manager reported the event.,The manager is expected to report the event.,9.802925109863281
distilgpt2,2,past_to_future,3,The manager reported the event.,The manager is likely to report the event.,11.172279357910156
distilgpt2,2,past_to_future,4,The manager reported the event.,The manager plans to report the event.,9.343835830688477
distilgpt2,2,certainty_to_uncertainty,0,The manager reported the event.,The manager may have reported the event.,14.150443077087402
distilgpt2,2,certainty_to_uncertainty,1,The manager reported the event.,The manager might have reported the event.,17.237716674804688
distilgpt2,2,certainty_to_uncertainty,2,The manager reported the event.,It is possible that the manager reported the event.,22.34197425842285
distilgpt2,2,certainty_to_uncertainty,3,The manager reported the event.,There is a chance that the manager reported the event.,25.8929443359375
distilgpt2,2,certainty_to_uncertainty,4,The manager reported the event.,The manager probably reported the event.,14.390149116516113
distilgpt2,2,active_to_passive,0,The manager reported the event.,The event was reported by the manager.,10.676024436950684
distilgpt2,2,active_to_passive,1,The manager reported the event.,The event had been reported by the manager.,15.614206314086914
distilgpt2,2,active_to_passive,2,The manager reported the event.,The event got reported by the manager.,18.345584869384766
distilgpt2,2,active_to_passive,3,The manager reported the event.,The event was successfully reported by the manager.,19.018152236938477
distilgpt2,2,active_to_passive,4,The manager reported the event.,The event was eventually reported by the manager.,14.955788612365723
distilgpt2,2,formalization,0,The manager reported the event.,It is true that the manager reported the event.,23.309600830078125
distilgpt2,2,formalization,1,The manager reported the event.,The statement that the manager reported the event is true.,21.867979049682617
distilgpt2,2,formalization,2,The manager reported the event.,One can state that the manager reported the event.,20.198753356933594
distilgpt2,2,formalization,3,The manager reported the event.,It can be formally said that the manager reported the event.,21.848604202270508
distilgpt2,2,formalization,4,The manager reported the event.,The fact is that the manager reported the event.,13.729310035705566
distilgpt2,3,negation,0,The farmer described a black cat.,The farmer did not describe a black cat.,15.826952934265137
distilgpt2,3,negation,1,The farmer described a black cat.,The farmer never described a black cat.,18.090625762939453
distilgpt2,3,negation,2,The farmer described a black cat.,The farmer failed to describe a black cat.,10.972607612609863
distilgpt2,3,negation,3,The farmer described a black cat.,The farmer was unable to describe a black cat.,14.131113052368164
distilgpt2,3,negation,4,The farmer described a black cat.,The farmer could not describe a black cat.,18.5137996673584
distilgpt2,3,question,0,The farmer described a black cat.,Did the farmer describe a black cat?,8.60055923461914
distilgpt2,3,question,1,The farmer described a black cat.,Was it true that the farmer described a black cat?,11.396071434020996
distilgpt2,3,question,2,The farmer described a black cat.,Could the farmer have described a black cat?,12.72551441192627
distilgpt2,3,question,3,The farmer described a black cat.,Is there evidence that the farmer described a black cat?,12.257328033447266
distilgpt2,3,question,4,The farmer described a black cat.,Can we confirm that the farmer described a black cat?,13.663966178894043
distilgpt2,3,past_to_future,0,The farmer described a black cat.,The farmer will describe a black cat.,9.594561576843262
distilgpt2,3,past_to_future,1,The farmer described a black cat.,The farmer is going to describe a black cat.,8.682975769042969
distilgpt2,3,past_to_future,2,The farmer described a black cat.,The farmer is expected to describe a black cat.,7.636815071105957
distilgpt2,3,past_to_future,3,The farmer described a black cat.,The farmer is likely to describe a black cat.,9.290409088134766
distilgpt2,3,past_to_future,4,The farmer described a black cat.,The farmer plans to describe a black cat.,8.801398277282715
distilgpt2,3,certainty_to_uncertainty,0,The farmer described a black cat.,The farmer may have described a black cat.,9.547584533691406
distilgpt2,3,certainty_to_uncertainty,1,The farmer described a black cat.,The farmer might have described a black cat.,10.976282119750977
distilgpt2,3,certainty_to_uncertainty,2,The farmer described a black cat.,It is possible that the farmer described a black cat.,15.162348747253418
distilgpt2,3,certainty_to_uncertainty,3,The farmer described a black cat.,There is a chance that the farmer described a black cat.,16.28078269958496
distilgpt2,3,certainty_to_uncertainty,4,The farmer described a black cat.,The farmer probably described a black cat.,9.823257446289062
distilgpt2,3,active_to_passive,0,The farmer described a black cat.,A black cat was described by the farmer.,8.281594276428223
distilgpt2,3,active_to_passive,1,The farmer described a black cat.,A black cat had been described by the farmer.,8.570110321044922
distilgpt2,3,active_to_passive,2,The farmer described a black cat.,A black cat got described by the farmer.,7.878684043884277
distilgpt2,3,active_to_passive,3,The farmer described a black cat.,A black cat was successfully described by the farmer.,10.244820594787598
distilgpt2,3,active_to_passive,4,The farmer described a black cat.,A black cat was eventually described by the farmer.,7.882504940032959
distilgpt2,3,formalization,0,The farmer described a black cat.,It is true that the farmer described a black cat.,16.172513961791992
distilgpt2,3,formalization,1,The farmer described a black cat.,The statement that the farmer described a black cat is true.,14.083991050720215
distilgpt2,3,formalization,2,The farmer described a black cat.,One can state that the farmer described a black cat.,15.914196968078613
distilgpt2,3,formalization,3,The farmer described a black cat.,It can be formally said that the farmer described a black cat.,15.136096954345703
distilgpt2,3,formalization,4,The farmer described a black cat.,The fact is that the farmer described a black cat.,9.133374214172363
distilgpt2,4,negation,0,The musician approved the project.,The musician did not approve the project.,8.535778999328613
distilgpt2,4,negation,1,The musician approved the project.,The musician never approved the project.,9.677680015563965
distilgpt2,4,negation,2,The musician approved the project.,The musician failed to approve the project.,7.354832649230957
distilgpt2,4,negation,3,The musician approved the project.,The musician was unable to approve the project.,10.079174995422363
distilgpt2,4,negation,4,The musician approved the project.,The musician could not approve the project.,9.83856201171875
distilgpt2,4,question,0,The musician approved the project.,Did the musician approve the project?,6.862114906311035
distilgpt2,4,question,1,The musician approved the project.,Was it true that the musician approved the project?,10.235610008239746
distilgpt2,4,question,2,The musician approved the project.,Could the musician have approved the project?,11.44694995880127
distilgpt2,4,question,3,The musician approved the project.,Is there evidence that the musician approved the project?,11.803619384765625
distilgpt2,4,question,4,The musician approved the project.,Can we confirm that the musician approved the project?,13.756364822387695
distilgpt2,4,past_to_future,0,The musician approved the project.,The musician will approve the project.,5.777768135070801
distilgpt2,4,past_to_future,1,The musician approved the project.,The musician is going to approve the project.,8.679521560668945
distilgpt2,4,past_to_future,2,The musician approved the project.,The musician is expected to approve the project.,8.752039909362793
distilgpt2,4,past_to_future,3,The musician approved the project.,The musician is likely to approve the project.,9.027615547180176
distilgpt2,4,past_to_future,4,The musician approved the project.,The musician plans to approve the project.,10.892571449279785
distilgpt2,4,certainty_to_uncertainty,0,The musician approved the project.,The musician may have approved the project.,8.966635704040527
distilgpt2,4,certainty_to_uncertainty,1,The musician approved the project.,The musician might have approved the project.,12.3474760055542
distilgpt2,4,certainty_to_uncertainty,2,The musician approved the project.,It is possible that the musician approved the project.,15.850957870483398
distilgpt2,4,certainty_to_uncertainty,3,The musician approved the project.,There is a chance that the musician approved the project.,16.513994216918945
distilgpt2,4,certainty_to_uncertainty,4,The musician approved the project.,The musician probably approved the project.,11.684553146362305
distilgpt2,4,active_to_passive,0,The musician approved the project.,The project was approved by the musician.,11.506134033203125
distilgpt2,4,active_to_passive,1,The musician approved the project.,The project had been approved by the musician.,12.66901969909668
distilgpt2,4,active_to_passive,2,The musician approved the project.,The project got approved by the musician.,12.001616477966309
distilgpt2,4,active_to_passive,3,The musician approved the project.,The project was successfully approved by the musician.,14.618952751159668
distilgpt2,4,active_to_passive,4,The musician approved the project.,The project was eventually approved by the musician.,14.11665153503418
distilgpt2,4,formalization,0,The musician approved the project.,It is true that the musician approved the project.,16.151872634887695
distilgpt2,4,formalization,1,The musician approved the project.,The statement that the musician approved the project is true.,14.054705619812012
distilgpt2,4,formalization,2,The musician approved the project.,One can state that the musician approved the project.,15.079952239990234
distilgpt2,4,formalization,3,The musician approved the project.,It can be formally said that the musician approved the project.,14.80034351348877
distilgpt2,4,formalization,4,The musician approved the project.,The fact is that the musician approved the project.,9.261605262756348
distilgpt2,5,negation,0,The chef accepted the family.,The chef did not accept the family.,10.052865028381348
distilgpt2,5,negation,1,The chef accepted the family.,The chef never accepted the family.,14.105500221252441
distilgpt2,5,negation,2,The chef accepted the family.,The chef failed to accept the family.,7.279560089111328
distilgpt2,5,negation,3,The chef accepted the family.,The chef was unable to accept the family.,11.12242317199707
distilgpt2,5,negation,4,The chef accepted the family.,The chef could not accept the family.,11.945411682128906
distilgpt2,5,question,0,The chef accepted the family.,Did the chef accept the family?,10.229093551635742
distilgpt2,5,question,1,The chef accepted the family.,Was it true that the chef accepted the family?,12.41717529296875
distilgpt2,5,question,2,The chef accepted the family.,Could the chef have accepted the family?,12.383848190307617
distilgpt2,5,question,3,The chef accepted the family.,Is there evidence that the chef accepted the family?,14.336602210998535
distilgpt2,5,question,4,The chef accepted the family.,Can we confirm that the chef accepted the family?,15.088936805725098
distilgpt2,5,past_to_future,0,The chef accepted the family.,The chef will accept the family.,8.887402534484863
distilgpt2,5,past_to_future,1,The chef accepted the family.,The chef is going to accept the family.,7.535548210144043
distilgpt2,5,past_to_future,2,The chef accepted the family.,The chef is expected to accept the family.,7.514732837677002
distilgpt2,5,past_to_future,3,The chef accepted the family.,The chef is likely to accept the family.,8.817595481872559
distilgpt2,5,past_to_future,4,The chef accepted the family.,The chef plans to accept the family.,9.17933464050293
distilgpt2,5,certainty_to_uncertainty,0,The chef accepted the family.,The chef may have accepted the family.,8.370004653930664
distilgpt2,5,certainty_to_uncertainty,1,The chef accepted the family.,The chef might have accepted the family.,11.548397064208984
distilgpt2,5,certainty_to_uncertainty,2,The chef accepted the family.,It is possible that the chef accepted the family.,17.621870040893555
distilgpt2,5,certainty_to_uncertainty,3,The chef accepted the family.,There is a chance that the chef accepted the family.,18.721084594726562
distilgpt2,5,certainty_to_uncertainty,4,The chef accepted the family.,The chef probably accepted the family.,13.915133476257324
distilgpt2,5,active_to_passive,0,The chef accepted the family.,The family was accepted by the chef.,10.712386131286621
distilgpt2,5,active_to_passive,1,The chef accepted the family.,The family had been accepted by the chef.,14.402414321899414
distilgpt2,5,active_to_passive,2,The chef accepted the family.,The family got accepted by the chef.,10.115668296813965
distilgpt2,5,active_to_passive,3,The chef accepted the family.,The family was successfully accepted by the chef.,13.569764137268066
distilgpt2,5,active_to_passive,4,The chef accepted the family.,The family was eventually accepted by the chef.,14.247675895690918
distilgpt2,5,formalization,0,The chef accepted the family.,It is true that the chef accepted the family.,18.0847225189209
distilgpt2,5,formalization,1,The chef accepted the family.,The statement that the chef accepted the family is true.,14.972742080688477
distilgpt2,5,formalization,2,The chef accepted the family.,One can state that the chef accepted the family.,17.677396774291992
distilgpt2,5,formalization,3,The chef accepted the family.,It can be formally said that the chef accepted the family.,16.927274703979492
distilgpt2,5,formalization,4,The chef accepted the family.,The fact is that the chef accepted the family.,10.256824493408203
distilgpt2,6,negation,0,The student described the data.,The student did not describe the data.,18.071130752563477
distilgpt2,6,negation,1,The student described the data.,The student never described the data.,19.227415084838867
distilgpt2,6,negation,2,The student described the data.,The student failed to describe the data.,15.872054100036621
distilgpt2,6,negation,3,The student described the data.,The student was unable to describe the data.,20.018341064453125
distilgpt2,6,negation,4,The student described the data.,The student could not describe the data.,23.245323181152344
distilgpt2,6,question,0,The student described the data.,Did the student describe the data?,15.17056655883789
distilgpt2,6,question,1,The student described the data.,Was it true that the student described the data?,15.799497604370117
distilgpt2,6,question,2,The student described the data.,Could the student have described the data?,19.22096824645996
distilgpt2,6,question,3,The student described the data.,Is there evidence that the student described the data?,18.08124351501465
distilgpt2,6,question,4,The student described the data.,Can we confirm that the student described the data?,21.220102310180664
distilgpt2,6,past_to_future,0,The student described the data.,The student will describe the data.,16.660287857055664
distilgpt2,6,past_to_future,1,The student described the data.,The student is going to describe the data.,11.432249069213867
distilgpt2,6,past_to_future,2,The student described the data.,The student is expected to describe the data.,11.35084342956543
distilgpt2,6,past_to_future,3,The student described the data.,The student is likely to describe the data.,13.442878723144531
distilgpt2,6,past_to_future,4,The student described the data.,The student plans to describe the data.,8.785253524780273
distilgpt2,6,certainty_to_uncertainty,0,The student described the data.,The student may have described the data.,14.007864952087402
distilgpt2,6,certainty_to_uncertainty,1,The student described the data.,The student might have described the data.,14.05762767791748
distilgpt2,6,certainty_to_uncertainty,2,The student described the data.,It is possible that the student described the data.,20.2546443939209
distilgpt2,6,certainty_to_uncertainty,3,The student described the data.,There is a chance that the student described the data.,23.279239654541016
distilgpt2,6,certainty_to_uncertainty,4,The student described the data.,The student probably described the data.,12.262504577636719
distilgpt2,6,active_to_passive,0,The student described the data.,The data was described by the student.,16.597627639770508
distilgpt2,6,active_to_passive,1,The student described the data.,The data had been described by the student.,19.759445190429688
distilgpt2,6,active_to_passive,2,The student described the data.,The data got described by the student.,20.775619506835938
distilgpt2,6,active_to_passive,3,The student described the data.,The data was successfully described by the student.,24.095157623291016
distilgpt2,6,active_to_passive,4,The student described the data.,The data was eventually described by the student.,20.955732345581055
distilgpt2,6,formalization,0,The student described the data.,It is true that the student described the data.,20.234045028686523
distilgpt2,6,formalization,1,The student described the data.,The statement that the student described the data is true.,22.614490509033203
distilgpt2,6,formalization,2,The student described the data.,One can state that the student described the data.,21.691953659057617
distilgpt2,6,formalization,3,The student described the data.,It can be formally said that the student described the data.,20.975120544433594
distilgpt2,6,formalization,4,The student described the data.,The fact is that the student described the data.,11.37767219543457
distilgpt2,7,negation,0,The scientist prepared the theory.,The scientist did not prepare the theory.,13.648022651672363
distilgpt2,7,negation,1,The scientist prepared the theory.,The scientist never prepared the theory.,12.459831237792969
distilgpt2,7,negation,2,The scientist prepared the theory.,The scientist failed to prepare the theory.,7.830861568450928
distilgpt2,7,negation,3,The scientist prepared the theory.,The scientist was unable to prepare the theory.,13.078831672668457
distilgpt2,7,negation,4,The scientist prepared the theory.,The scientist could not prepare the theory.,16.972143173217773
distilgpt2,7,question,0,The scientist prepared the theory.,Did the scientist prepare the theory?,6.7343268394470215
distilgpt2,7,question,1,The scientist prepared the theory.,Was it true that the scientist prepared the theory?,11.844902038574219
distilgpt2,7,question,2,The scientist prepared the theory.,Could the scientist have prepared the theory?,13.4327392578125
distilgpt2,7,question,3,The scientist prepared the theory.,Is there evidence that the scientist prepared the theory?,14.97350788116455
distilgpt2,7,question,4,The scientist prepared the theory.,Can we confirm that the scientist prepared the theory?,16.07760238647461
distilgpt2,7,past_to_future,0,The scientist prepared the theory.,The scientist will prepare the theory.,9.875696182250977
distilgpt2,7,past_to_future,1,The scientist prepared the theory.,The scientist is going to prepare the theory.,7.826136112213135
distilgpt2,7,past_to_future,2,The scientist prepared the theory.,The scientist is expected to prepare the theory.,7.875074863433838
distilgpt2,7,past_to_future,3,The scientist prepared the theory.,The scientist is likely to prepare the theory.,9.977977752685547
distilgpt2,7,past_to_future,4,The scientist prepared the theory.,The scientist plans to prepare the theory.,9.313289642333984
distilgpt2,7,certainty_to_uncertainty,0,The scientist prepared the theory.,The scientist may have prepared the theory.,12.130915641784668
distilgpt2,7,certainty_to_uncertainty,1,The scientist prepared the theory.,The scientist might have prepared the theory.,16.359399795532227
distilgpt2,7,certainty_to_uncertainty,2,The scientist prepared the theory.,It is possible that the scientist prepared the theory.,17.94736671447754
distilgpt2,7,certainty_to_uncertainty,3,The scientist prepared the theory.,There is a chance that the scientist prepared the theory.,20.262731552124023
distilgpt2,7,certainty_to_uncertainty,4,The scientist prepared the theory.,The scientist probably prepared the theory.,15.977992057800293
distilgpt2,7,active_to_passive,0,The scientist prepared the theory.,The theory was prepared by the scientist.,16.04403305053711
distilgpt2,7,active_to_passive,1,The scientist prepared the theory.,The theory had been prepared by the scientist.,19.087848663330078
distilgpt2,7,active_to_passive,2,The scientist prepared the theory.,The theory got prepared by the scientist.,19.16342544555664
distilgpt2,7,active_to_passive,3,The scientist prepared the theory.,The theory was successfully prepared by the scientist.,18.799911499023438
distilgpt2,7,active_to_passive,4,The scientist prepared the theory.,The theory was eventually prepared by the scientist.,17.34728240966797
distilgpt2,7,formalization,0,The scientist prepared the theory.,It is true that the scientist prepared the theory.,17.400794982910156
distilgpt2,7,formalization,1,The scientist prepared the theory.,The statement that the scientist prepared the theory is true.,22.332571029663086
distilgpt2,7,formalization,2,The scientist prepared the theory.,One can state that the scientist prepared the theory.,19.466529846191406
distilgpt2,7,formalization,3,The scientist prepared the theory.,It can be formally said that the scientist prepared the theory.,18.163312911987305
distilgpt2,7,formalization,4,The scientist prepared the theory.,The fact is that the scientist prepared the theory.,9.755379676818848
distilgpt2,8,negation,0,The historian prepared a black cat.,The historian did not prepare a black cat.,10.910841941833496
distilgpt2,8,negation,1,The historian prepared a black cat.,The historian never prepared a black cat.,9.69524097442627
distilgpt2,8,negation,2,The historian prepared a black cat.,The historian failed to prepare a black cat.,9.650565147399902
distilgpt2,8,negation,3,The historian prepared a black cat.,The historian was unable to prepare a black cat.,9.965608596801758
distilgpt2,8,negation,4,The historian prepared a black cat.,The historian could not prepare a black cat.,12.059622764587402
distilgpt2,8,question,0,The historian prepared a black cat.,Did the historian prepare a black cat?,6.160890102386475
distilgpt2,8,question,1,The historian prepared a black cat.,Was it true that the historian prepared a black cat?,11.649126052856445
distilgpt2,8,question,2,The historian prepared a black cat.,Could the historian have prepared a black cat?,9.833486557006836
distilgpt2,8,question,3,The historian prepared a black cat.,Is there evidence that the historian prepared a black cat?,13.825347900390625
distilgpt2,8,question,4,The historian prepared a black cat.,Can we confirm that the historian prepared a black cat?,11.951809883117676
distilgpt2,8,past_to_future,0,The historian prepared a black cat.,The historian will prepare a black cat.,6.549686908721924
distilgpt2,8,past_to_future,1,The historian prepared a black cat.,The historian is going to prepare a black cat.,9.751940727233887
distilgpt2,8,past_to_future,2,The historian prepared a black cat.,The historian is expected to prepare a black cat.,10.302238464355469
distilgpt2,8,past_to_future,3,The historian prepared a black cat.,The historian is likely to prepare a black cat.,9.985515594482422
distilgpt2,8,past_to_future,4,The historian prepared a black cat.,The historian plans to prepare a black cat.,10.939091682434082
distilgpt2,8,certainty_to_uncertainty,0,The historian prepared a black cat.,The historian may have prepared a black cat.,11.175078392028809
distilgpt2,8,certainty_to_uncertainty,1,The historian prepared a black cat.,The historian might have prepared a black cat.,13.053068161010742
distilgpt2,8,certainty_to_uncertainty,2,The historian prepared a black cat.,It is possible that the historian prepared a black cat.,14.894291877746582
distilgpt2,8,certainty_to_uncertainty,3,The historian prepared a black cat.,There is a chance that the historian prepared a black cat.,16.2933292388916
distilgpt2,8,certainty_to_uncertainty,4,The historian prepared a black cat.,The historian probably prepared a black cat.,11.637849807739258
distilgpt2,8,active_to_passive,0,The historian prepared a black cat.,A black cat was prepared by the historian.,10.565893173217773
distilgpt2,8,active_to_passive,1,The historian prepared a black cat.,A black cat had been prepared by the historian.,12.26168155670166
distilgpt2,8,active_to_passive,2,The historian prepared a black cat.,A black cat got prepared by the historian.,10.5750732421875
distilgpt2,8,active_to_passive,3,The historian prepared a black cat.,A black cat was successfully prepared by the historian.,11.740673065185547
distilgpt2,8,active_to_passive,4,The historian prepared a black cat.,A black cat was eventually prepared by the historian.,10.842032432556152
distilgpt2,8,formalization,0,The historian prepared a black cat.,It is true that the historian prepared a black cat.,14.630002975463867
distilgpt2,8,formalization,1,The historian prepared a black cat.,The statement that the historian prepared a black cat is true.,14.786736488342285
distilgpt2,8,formalization,2,The historian prepared a black cat.,One can state that the historian prepared a black cat.,14.947768211364746
distilgpt2,8,formalization,3,The historian prepared a black cat.,It can be formally said that the historian prepared a black cat.,15.036951065063477
distilgpt2,8,formalization,4,The historian prepared a black cat.,The fact is that the historian prepared a black cat.,10.52800178527832
distilgpt2,9,negation,0,The scientist helped the family.,The scientist did not help the family.,10.644007682800293
distilgpt2,9,negation,1,The scientist helped the family.,The scientist never helped the family.,14.332365036010742
distilgpt2,9,negation,2,The scientist helped the family.,The scientist failed to help the family.,5.522848606109619
distilgpt2,9,negation,3,The scientist helped the family.,The scientist was unable to help the family.,10.951437950134277
distilgpt2,9,negation,4,The scientist helped the family.,The scientist could not help the family.,12.346861839294434
distilgpt2,9,question,0,The scientist helped the family.,Did the scientist help the family?,9.620285987854004
distilgpt2,9,question,1,The scientist helped the family.,Was it true that the scientist helped the family?,12.356983184814453
distilgpt2,9,question,2,The scientist helped the family.,Could the scientist have helped the family?,14.039079666137695
distilgpt2,9,question,3,The scientist helped the family.,Is there evidence that the scientist helped the family?,14.534408569335938
distilgpt2,9,question,4,The scientist helped the family.,Can we confirm that the scientist helped the family?,14.556339263916016
distilgpt2,9,past_to_future,0,The scientist helped the family.,The scientist will help the family.,10.301725387573242
distilgpt2,9,past_to_future,1,The scientist helped the family.,The scientist is going to help the family.,7.26663875579834
distilgpt2,9,past_to_future,2,The scientist helped the family.,The scientist is expected to help the family.,6.129371166229248
