model,base_id,syntax_family,class,source,target,delta_norm
roberta-base,1,simple_svo,uncertainty,The researcher created a beautiful painting.,The researcher may have created a beautiful painting.,1.4306224584579468
roberta-base,1,simple_svo,passive,The researcher created a beautiful painting.,A beautiful painting was created by the researcher.,1.45708167552948
roberta-base,1,simple_svo,formalization,The researcher created a beautiful painting.,It is true that the researcher created a beautiful painting.,1.9230433702468872
roberta-base,1,with_context,negation,The researcher created a beautiful painting at the school.,The researcher did not create a beautiful painting at the school.,1.3796509504318237
roberta-base,1,with_context,question,The researcher created a beautiful painting at the school.,Did the researcher create a beautiful painting at the school?,1.5993553400039673
roberta-base,1,with_context,future,The researcher created a beautiful painting at the school.,The researcher will create a beautiful painting at the school.,1.007433533668518
roberta-base,1,with_context,uncertainty,The researcher created a beautiful painting at the school.,The researcher may have created a beautiful painting at the school.,1.3136634826660156
roberta-base,1,with_context,passive,The researcher created a beautiful painting at the school.,A beautiful painting was created by the researcher at the school.,1.2072542905807495
roberta-base,1,with_context,formalization,The researcher created a beautiful painting at the school.,It is true that the researcher created a beautiful painting at the school.,1.6082090139389038
roberta-base,1,relative_clause,negation,The person who created a beautiful painting was the researcher.,The person who did not create a beautiful painting was the researcher.,0.9746351838111877
roberta-base,1,relative_clause,question,The person who created a beautiful painting was the researcher.,Was the person who created a beautiful painting the researcher?,1.32463800907135
roberta-base,1,relative_clause,future,The person who created a beautiful painting was the researcher.,The person who will create a beautiful painting is the researcher.,1.3316714763641357
roberta-base,1,relative_clause,uncertainty,The person who created a beautiful painting was the researcher.,The person who may have created a beautiful painting was the researcher.,1.0585600137710571
roberta-base,1,relative_clause,passive,The person who created a beautiful painting was the researcher.,The person by whom a beautiful painting was created was the researcher.,1.3683375120162964
roberta-base,1,relative_clause,formalization,The person who created a beautiful painting was the researcher.,It is true that the person who created a beautiful painting was the researcher.,1.179445505142212
roberta-base,1,temporal_clause,negation,"After the researcher created a beautiful painting, the situation changed.","After the researcher did not create a beautiful painting, the situation changed.",0.9132993221282959
roberta-base,1,temporal_clause,question,"After the researcher created a beautiful painting, the situation changed.",Did the situation change after the researcher created a beautiful painting?,1.3464524745941162
roberta-base,1,temporal_clause,future,"After the researcher created a beautiful painting, the situation changed.","After the researcher will create a beautiful painting, the situation will change.",1.3891863822937012
roberta-base,1,temporal_clause,uncertainty,"After the researcher created a beautiful painting, the situation changed.","After the researcher may have created a beautiful painting, the situation changed.",1.0968652963638306
roberta-base,1,temporal_clause,passive,"After the researcher created a beautiful painting, the situation changed.","After a beautiful painting was created by the researcher, the situation changed.",0.8228035569190979
roberta-base,1,temporal_clause,formalization,"After the researcher created a beautiful painting, the situation changed.","It is true that after the researcher created a beautiful painting, the situation changed.",1.0307869911193848
roberta-base,1,reported_statement,negation,The report said that the researcher created a beautiful painting.,The report said that the researcher did not create a beautiful painting.,0.9643223881721497
roberta-base,1,reported_statement,question,The report said that the researcher created a beautiful painting.,Did the report say that the researcher created a beautiful painting?,1.4744151830673218
roberta-base,1,reported_statement,future,The report said that the researcher created a beautiful painting.,The report said that the researcher will create a beautiful painting.,0.8328353762626648
roberta-base,1,reported_statement,uncertainty,The report said that the researcher created a beautiful painting.,The report said that the researcher may have created a beautiful painting.,0.9476304054260254
roberta-base,1,reported_statement,passive,The report said that the researcher created a beautiful painting.,The report said that a beautiful painting was created by the researcher.,0.8536149859428406
roberta-base,1,reported_statement,formalization,The report said that the researcher created a beautiful painting.,It is true that the report said that the researcher created a beautiful painting.,1.4341238737106323
roberta-base,1,conditional,negation,"If the researcher created a beautiful painting, the result mattered.","If the researcher did not create a beautiful painting, the result mattered.",0.9424929618835449
roberta-base,1,conditional,question,"If the researcher created a beautiful painting, the result mattered.",Did the result matter if the researcher created a beautiful painting?,1.3678052425384521
roberta-base,1,conditional,future,"If the researcher created a beautiful painting, the result mattered.","If the researcher will create a beautiful painting, the result will matter.",1.3138935565948486
roberta-base,1,conditional,uncertainty,"If the researcher created a beautiful painting, the result mattered.","If the researcher may have created a beautiful painting, the result mattered.",1.0801817178726196
roberta-base,1,conditional,passive,"If the researcher created a beautiful painting, the result mattered.","If a beautiful painting was created by the researcher, the result mattered.",0.768346905708313
roberta-base,1,conditional,formalization,"If the researcher created a beautiful painting, the result mattered.","It is true that if the researcher created a beautiful painting, the result mattered.",1.0930691957473755
roberta-base,2,simple_svo,negation,The artist measured the client.,The artist did not measure the client.,1.5249994993209839
roberta-base,2,simple_svo,question,The artist measured the client.,Did the artist measure the client?,1.6780112981796265
roberta-base,2,simple_svo,future,The artist measured the client.,The artist will measure the client.,1.477064847946167
roberta-base,2,simple_svo,uncertainty,The artist measured the client.,The artist may have measured the client.,1.5723520517349243
roberta-base,2,simple_svo,passive,The artist measured the client.,The client was measured by the artist.,1.5792460441589355
roberta-base,2,simple_svo,formalization,The artist measured the client.,It is true that the artist measured the client.,2.508090019226074
roberta-base,2,with_context,negation,The artist measured the client after the interview.,The artist did not measure the client after the interview.,1.1984238624572754
roberta-base,2,with_context,question,The artist measured the client after the interview.,Did the artist measure the client after the interview?,1.3904423713684082
roberta-base,2,with_context,future,The artist measured the client after the interview.,The artist will measure the client after the interview.,1.3659673929214478
roberta-base,2,with_context,uncertainty,The artist measured the client after the interview.,The artist may have measured the client after the interview.,1.2024465799331665
roberta-base,2,with_context,passive,The artist measured the client after the interview.,The client was measured by the artist after the interview.,1.1516599655151367
roberta-base,2,with_context,formalization,The artist measured the client after the interview.,It is true that the artist measured the client after the interview.,1.6129461526870728
roberta-base,2,relative_clause,negation,The person who measured the client was the artist.,The person who did not measure the client was the artist.,1.051605224609375
roberta-base,2,relative_clause,question,The person who measured the client was the artist.,Was the person who measured the client the artist?,1.3204556703567505
roberta-base,2,relative_clause,future,The person who measured the client was the artist.,The person who will measure the client is the artist.,1.6598420143127441
roberta-base,2,relative_clause,uncertainty,The person who measured the client was the artist.,The person who may have measured the client was the artist.,1.1389482021331787
roberta-base,2,relative_clause,passive,The person who measured the client was the artist.,The person by whom the client was measured was the artist.,1.807174563407898
roberta-base,2,relative_clause,formalization,The person who measured the client was the artist.,It is true that the person who measured the client was the artist.,1.4438505172729492
roberta-base,2,temporal_clause,negation,"After the artist measured the client, the situation changed.","After the artist did not measure the client, the situation changed.",1.0708980560302734
roberta-base,2,temporal_clause,question,"After the artist measured the client, the situation changed.",Did the situation change after the artist measured the client?,1.4411802291870117
roberta-base,2,temporal_clause,future,"After the artist measured the client, the situation changed.","After the artist will measure the client, the situation will change.",1.7318358421325684
roberta-base,2,temporal_clause,uncertainty,"After the artist measured the client, the situation changed.","After the artist may have measured the client, the situation changed.",1.0621607303619385
roberta-base,2,temporal_clause,passive,"After the artist measured the client, the situation changed.","After the client was measured by the artist, the situation changed.",1.0391126871109009
roberta-base,2,temporal_clause,formalization,"After the artist measured the client, the situation changed.","It is true that after the artist measured the client, the situation changed.",1.2308354377746582
roberta-base,2,reported_statement,negation,The report said that the artist measured the client.,The report said that the artist did not measure the client.,0.9649200439453125
roberta-base,2,reported_statement,question,The report said that the artist measured the client.,Did the report say that the artist measured the client?,1.4113523960113525
roberta-base,2,reported_statement,future,The report said that the artist measured the client.,The report said that the artist will measure the client.,1.1040672063827515
roberta-base,2,reported_statement,uncertainty,The report said that the artist measured the client.,The report said that the artist may have measured the client.,0.9798558950424194
roberta-base,2,reported_statement,passive,The report said that the artist measured the client.,The report said that the client was measured by the artist.,0.9557216763496399
roberta-base,2,reported_statement,formalization,The report said that the artist measured the client.,It is true that the report said that the artist measured the client.,1.4758974313735962
roberta-base,2,conditional,negation,"If the artist measured the client, the result mattered.","If the artist did not measure the client, the result mattered.",0.8930761218070984
roberta-base,2,conditional,question,"If the artist measured the client, the result mattered.",Did the result matter if the artist measured the client?,1.2154850959777832
roberta-base,2,conditional,future,"If the artist measured the client, the result mattered.","If the artist will measure the client, the result will matter.",1.4023900032043457
roberta-base,2,conditional,uncertainty,"If the artist measured the client, the result mattered.","If the artist may have measured the client, the result mattered.",0.8760217428207397
roberta-base,2,conditional,passive,"If the artist measured the client, the result mattered.","If the client was measured by the artist, the result mattered.",1.0821037292480469
roberta-base,2,conditional,formalization,"If the artist measured the client, the result mattered.","It is true that if the artist measured the client, the result mattered.",1.3153916597366333
roberta-base,3,simple_svo,negation,The analyst found a short story.,The analyst did not find a short story.,1.295570731163025
roberta-base,3,simple_svo,question,The analyst found a short story.,Did the analyst find a short story?,1.5290285348892212
roberta-base,3,simple_svo,future,The analyst found a short story.,The analyst will find a short story.,1.2653768062591553
roberta-base,3,simple_svo,uncertainty,The analyst found a short story.,The analyst may have found a short story.,1.4278203248977661
roberta-base,3,simple_svo,passive,The analyst found a short story.,A short story was found by the analyst.,1.8110495805740356
roberta-base,3,simple_svo,formalization,The analyst found a short story.,It is true that the analyst found a short story.,1.6831539869308472
roberta-base,3,with_context,negation,The analyst found a short story after the interview.,The analyst did not find a short story after the interview.,1.0381501913070679
roberta-base,3,with_context,question,The analyst found a short story after the interview.,Did the analyst find a short story after the interview?,1.432807207107544
roberta-base,3,with_context,future,The analyst found a short story after the interview.,The analyst will find a short story after the interview.,1.0692508220672607
roberta-base,3,with_context,uncertainty,The analyst found a short story after the interview.,The analyst may have found a short story after the interview.,1.371717095375061
roberta-base,3,with_context,passive,The analyst found a short story after the interview.,A short story was found by the analyst after the interview.,1.3592731952667236
roberta-base,3,with_context,formalization,The analyst found a short story after the interview.,It is true that the analyst found a short story after the interview.,1.3374155759811401
roberta-base,3,relative_clause,negation,The person who found a short story was the analyst.,The person who did not find a short story was the analyst.,1.039509654045105
roberta-base,3,relative_clause,question,The person who found a short story was the analyst.,Was the person who found a short story the analyst?,1.2794244289398193
roberta-base,3,relative_clause,future,The person who found a short story was the analyst.,The person who will find a short story is the analyst.,1.4722810983657837
roberta-base,3,relative_clause,uncertainty,The person who found a short story was the analyst.,The person who may have found a short story was the analyst.,1.1270893812179565
roberta-base,3,relative_clause,passive,The person who found a short story was the analyst.,The person by whom a short story was found was the analyst.,1.6447640657424927
roberta-base,3,relative_clause,formalization,The person who found a short story was the analyst.,It is true that the person who found a short story was the analyst.,1.2194222211837769
roberta-base,3,temporal_clause,negation,"After the analyst found a short story, the situation changed.","After the analyst did not find a short story, the situation changed.",0.8378279805183411
roberta-base,3,temporal_clause,question,"After the analyst found a short story, the situation changed.",Did the situation change after the analyst found a short story?,1.204622507095337
roberta-base,3,temporal_clause,future,"After the analyst found a short story, the situation changed.","After the analyst will find a short story, the situation will change.",1.3558998107910156
roberta-base,3,temporal_clause,uncertainty,"After the analyst found a short story, the situation changed.","After the analyst may have found a short story, the situation changed.",0.9846758246421814
roberta-base,3,temporal_clause,passive,"After the analyst found a short story, the situation changed.","After a short story was found by the analyst, the situation changed.",1.287969946861267
roberta-base,3,temporal_clause,formalization,"After the analyst found a short story, the situation changed.","It is true that after the analyst found a short story, the situation changed.",1.0477185249328613
roberta-base,3,reported_statement,negation,The report said that the analyst found a short story.,The report said that the analyst did not find a short story.,0.8197193145751953
roberta-base,3,reported_statement,question,The report said that the analyst found a short story.,Did the report say that the analyst found a short story?,1.253146767616272
roberta-base,3,reported_statement,future,The report said that the analyst found a short story.,The report said that the analyst will find a short story.,0.9970075488090515
roberta-base,3,reported_statement,uncertainty,The report said that the analyst found a short story.,The report said that the analyst may have found a short story.,0.9773699045181274
roberta-base,3,reported_statement,passive,The report said that the analyst found a short story.,The report said that a short story was found by the analyst.,1.0195220708847046
roberta-base,3,reported_statement,formalization,The report said that the analyst found a short story.,It is true that the report said that the analyst found a short story.,1.240464687347412
roberta-base,3,conditional,negation,"If the analyst found a short story, the result mattered.","If the analyst did not find a short story, the result mattered.",0.8318596482276917
roberta-base,3,conditional,question,"If the analyst found a short story, the result mattered.",Did the result matter if the analyst found a short story?,1.205129861831665
roberta-base,3,conditional,future,"If the analyst found a short story, the result mattered.","If the analyst will find a short story, the result will matter.",1.2484418153762817
roberta-base,3,conditional,uncertainty,"If the analyst found a short story, the result mattered.","If the analyst may have found a short story, the result mattered.",0.9889848232269287
roberta-base,3,conditional,passive,"If the analyst found a short story, the result mattered.","If a short story was found by the analyst, the result mattered.",0.8838865160942078
roberta-base,3,conditional,formalization,"If the analyst found a short story, the result mattered.","It is true that if the analyst found a short story, the result mattered.",1.1548423767089844
roberta-base,4,simple_svo,negation,The designer created the system.,The designer did not create the system.,1.7020459175109863
roberta-base,4,simple_svo,question,The designer created the system.,Did the designer create the system?,1.936414122581482
roberta-base,4,simple_svo,future,The designer created the system.,The designer will create the system.,1.3842147588729858
roberta-base,4,simple_svo,uncertainty,The designer created the system.,The designer may have created the system.,1.7462592124938965
roberta-base,4,simple_svo,passive,The designer created the system.,The system was created by the designer.,1.5808193683624268
roberta-base,4,simple_svo,formalization,The designer created the system.,It is true that the designer created the system.,2.278876543045044
roberta-base,4,with_context,negation,The designer created the system during the meeting.,The designer did not create the system during the meeting.,1.2575271129608154
roberta-base,4,with_context,question,The designer created the system during the meeting.,Did the designer create the system during the meeting?,1.5842078924179077
roberta-base,4,with_context,future,The designer created the system during the meeting.,The designer will create the system during the meeting.,1.1160107851028442
roberta-base,4,with_context,uncertainty,The designer created the system during the meeting.,The designer may have created the system during the meeting.,1.3831225633621216
roberta-base,4,with_context,passive,The designer created the system during the meeting.,The system was created by the designer during the meeting.,1.0542274713516235
roberta-base,4,with_context,formalization,The designer created the system during the meeting.,It is true that the designer created the system during the meeting.,1.6576052904129028
roberta-base,4,relative_clause,negation,The person who created the system was the designer.,The person who did not create the system was the designer.,1.0524331331253052
roberta-base,4,relative_clause,question,The person who created the system was the designer.,Was the person who created the system the designer?,1.2688838243484497
roberta-base,4,relative_clause,future,The person who created the system was the designer.,The person who will create the system is the designer.,1.4366824626922607
roberta-base,4,relative_clause,uncertainty,The person who created the system was the designer.,The person who may have created the system was the designer.,1.1560052633285522
roberta-base,4,relative_clause,passive,The person who created the system was the designer.,The person by whom the system was created was the designer.,1.6641395092010498
roberta-base,4,relative_clause,formalization,The person who created the system was the designer.,It is true that the person who created the system was the designer.,1.3598482608795166
roberta-base,4,temporal_clause,negation,"After the designer created the system, the situation changed.","After the designer did not create the system, the situation changed.",0.8145322203636169
roberta-base,4,temporal_clause,question,"After the designer created the system, the situation changed.",Did the situation change after the designer created the system?,1.3584489822387695
roberta-base,4,temporal_clause,future,"After the designer created the system, the situation changed.","After the designer will create the system, the situation will change.",1.4824323654174805
roberta-base,4,temporal_clause,uncertainty,"After the designer created the system, the situation changed.","After the designer may have created the system, the situation changed.",0.963718593120575
roberta-base,4,temporal_clause,passive,"After the designer created the system, the situation changed.","After the system was created by the designer, the situation changed.",0.8088850975036621
roberta-base,4,temporal_clause,formalization,"After the designer created the system, the situation changed.","It is true that after the designer created the system, the situation changed.",1.1981613636016846
roberta-base,4,reported_statement,negation,The report said that the designer created the system.,The report said that the designer did not create the system.,0.8970849514007568
roberta-base,4,reported_statement,question,The report said that the designer created the system.,Did the report say that the designer created the system?,1.2365504503250122
roberta-base,4,reported_statement,future,The report said that the designer created the system.,The report said that the designer will create the system.,1.1060242652893066
roberta-base,4,reported_statement,uncertainty,The report said that the designer created the system.,The report said that the designer may have created the system.,0.9226689338684082
roberta-base,4,reported_statement,passive,The report said that the designer created the system.,The report said that the system was created by the designer.,0.8020555973052979
roberta-base,4,reported_statement,formalization,The report said that the designer created the system.,It is true that the report said that the designer created the system.,1.4354283809661865
roberta-base,4,conditional,negation,"If the designer created the system, the result mattered.","If the designer did not create the system, the result mattered.",0.8746336698532104
roberta-base,4,conditional,question,"If the designer created the system, the result mattered.",Did the result matter if the designer created the system?,1.181169033050537
roberta-base,4,conditional,future,"If the designer created the system, the result mattered.","If the designer will create the system, the result will matter.",1.3689090013504028
roberta-base,4,conditional,uncertainty,"If the designer created the system, the result mattered.","If the designer may have created the system, the result mattered.",0.967632532119751
roberta-base,4,conditional,passive,"If the designer created the system, the result mattered.","If the system was created by the designer, the result mattered.",0.813413679599762
roberta-base,4,conditional,formalization,"If the designer created the system, the result mattered.","It is true that if the designer created the system, the result mattered.",1.258148193359375
roberta-base,5,simple_svo,negation,The analyst solved the signal.,The analyst did not solve the signal.,1.3385403156280518
roberta-base,5,simple_svo,question,The analyst solved the signal.,Did the analyst solve the signal?,1.6450884342193604
roberta-base,5,simple_svo,future,The analyst solved the signal.,The analyst will solve the signal.,1.3705161809921265
roberta-base,5,simple_svo,uncertainty,The analyst solved the signal.,The analyst may have solved the signal.,1.4483492374420166
roberta-base,5,simple_svo,passive,The analyst solved the signal.,The signal was solved by the analyst.,1.2535897493362427
roberta-base,5,simple_svo,formalization,The analyst solved the signal.,It is true that the analyst solved the signal.,1.8296340703964233
roberta-base,5,with_context,negation,The analyst solved the signal in the laboratory.,The analyst did not solve the signal in the laboratory.,1.0179263353347778
roberta-base,5,with_context,question,The analyst solved the signal in the laboratory.,Did the analyst solve the signal in the laboratory?,1.4063321352005005
roberta-base,5,with_context,future,The analyst solved the signal in the laboratory.,The analyst will solve the signal in the laboratory.,1.130641222000122
roberta-base,5,with_context,uncertainty,The analyst solved the signal in the laboratory.,The analyst may have solved the signal in the laboratory.,1.1595337390899658
roberta-base,5,with_context,passive,The analyst solved the signal in the laboratory.,The signal was solved by the analyst in the laboratory.,0.8919967412948608
roberta-base,5,with_context,formalization,The analyst solved the signal in the laboratory.,It is true that the analyst solved the signal in the laboratory.,1.5317672491073608
roberta-base,5,relative_clause,negation,The person who solved the signal was the analyst.,The person who did not solve the signal was the analyst.,0.9042757153511047
roberta-base,5,relative_clause,question,The person who solved the signal was the analyst.,Was the person who solved the signal the analyst?,1.3238885402679443
roberta-base,5,relative_clause,future,The person who solved the signal was the analyst.,The person who will solve the signal is the analyst.,1.4340745210647583
roberta-base,5,relative_clause,uncertainty,The person who solved the signal was the analyst.,The person who may have solved the signal was the analyst.,1.1447571516036987
roberta-base,5,relative_clause,passive,The person who solved the signal was the analyst.,The person by whom the signal was solved was the analyst.,1.5682783126831055
roberta-base,5,relative_clause,formalization,The person who solved the signal was the analyst.,It is true that the person who solved the signal was the analyst.,1.3136279582977295
roberta-base,5,temporal_clause,negation,"After the analyst solved the signal, the situation changed.","After the analyst did not solve the signal, the situation changed.",0.8376086354255676
roberta-base,5,temporal_clause,question,"After the analyst solved the signal, the situation changed.",Did the situation change after the analyst solved the signal?,1.29196035861969
roberta-base,5,temporal_clause,future,"After the analyst solved the signal, the situation changed.","After the analyst will solve the signal, the situation will change.",1.3688191175460815
roberta-base,5,temporal_clause,uncertainty,"After the analyst solved the signal, the situation changed.","After the analyst may have solved the signal, the situation changed.",0.9203509092330933
roberta-base,5,temporal_clause,passive,"After the analyst solved the signal, the situation changed.","After the signal was solved by the analyst, the situation changed.",0.7420872449874878
roberta-base,5,temporal_clause,formalization,"After the analyst solved the signal, the situation changed.","It is true that after the analyst solved the signal, the situation changed.",1.1453485488891602
roberta-base,5,reported_statement,negation,The report said that the analyst solved the signal.,The report said that the analyst did not solve the signal.,0.9181690216064453
roberta-base,5,reported_statement,question,The report said that the analyst solved the signal.,Did the report say that the analyst solved the signal?,1.4062139987945557
roberta-base,5,reported_statement,future,The report said that the analyst solved the signal.,The report said that the analyst will solve the signal.,0.9114336967468262
roberta-base,5,reported_statement,uncertainty,The report said that the analyst solved the signal.,The report said that the analyst may have solved the signal.,0.952919602394104
roberta-base,5,reported_statement,passive,The report said that the analyst solved the signal.,The report said that the signal was solved by the analyst.,0.8573746681213379
roberta-base,5,reported_statement,formalization,The report said that the analyst solved the signal.,It is true that the report said that the analyst solved the signal.,1.4434863328933716
roberta-base,5,conditional,negation,"If the analyst solved the signal, the result mattered.","If the analyst did not solve the signal, the result mattered.",0.8840886950492859
roberta-base,5,conditional,question,"If the analyst solved the signal, the result mattered.",Did the result matter if the analyst solved the signal?,1.1458454132080078
roberta-base,5,conditional,future,"If the analyst solved the signal, the result mattered.","If the analyst will solve the signal, the result will matter.",1.3060407638549805
roberta-base,5,conditional,uncertainty,"If the analyst solved the signal, the result mattered.","If the analyst may have solved the signal, the result mattered.",1.0180929899215698
roberta-base,5,conditional,passive,"If the analyst solved the signal, the result mattered.","If the signal was solved by the analyst, the result mattered.",0.7796041965484619
roberta-base,5,conditional,formalization,"If the analyst solved the signal, the result mattered.","It is true that if the analyst solved the signal, the result mattered.",1.1671700477600098
roberta-base,6,simple_svo,negation,The chef observed the patient.,The chef did not observe the patient.,1.3925021886825562
roberta-base,6,simple_svo,question,The chef observed the patient.,Did the chef observe the patient?,1.6716707944869995
roberta-base,6,simple_svo,future,The chef observed the patient.,The chef will observe the patient.,1.2656127214431763
roberta-base,6,simple_svo,uncertainty,The chef observed the patient.,The chef may have observed the patient.,1.4732154607772827
roberta-base,6,simple_svo,passive,The chef observed the patient.,The patient was observed by the chef.,1.3085315227508545
roberta-base,6,simple_svo,formalization,The chef observed the patient.,It is true that the chef observed the patient.,2.2201743125915527
roberta-base,6,with_context,negation,The chef observed the patient before the deadline.,The chef did not observe the patient before the deadline.,1.1553773880004883
roberta-base,6,with_context,question,The chef observed the patient before the deadline.,Did the chef observe the patient before the deadline?,1.2968400716781616
roberta-base,6,with_context,future,The chef observed the patient before the deadline.,The chef will observe the patient before the deadline.,1.1621170043945312
roberta-base,6,with_context,uncertainty,The chef observed the patient before the deadline.,The chef may have observed the patient before the deadline.,1.250680685043335
roberta-base,6,with_context,passive,The chef observed the patient before the deadline.,The patient was observed by the chef before the deadline.,1.165764570236206
roberta-base,6,with_context,formalization,The chef observed the patient before the deadline.,It is true that the chef observed the patient before the deadline.,1.5860719680786133
roberta-base,6,relative_clause,negation,The person who observed the patient was the chef.,The person who did not observe the patient was the chef.,0.9638736248016357
roberta-base,6,relative_clause,question,The person who observed the patient was the chef.,Was the person who observed the patient the chef?,1.2734094858169556
roberta-base,6,relative_clause,future,The person who observed the patient was the chef.,The person who will observe the patient is the chef.,1.50221586227417
roberta-base,6,relative_clause,uncertainty,The person who observed the patient was the chef.,The person who may have observed the patient was the chef.,1.0161622762680054
roberta-base,6,relative_clause,passive,The person who observed the patient was the chef.,The person by whom the patient was observed was the chef.,1.444044589996338
roberta-base,6,relative_clause,formalization,The person who observed the patient was the chef.,It is true that the person who observed the patient was the chef.,1.3310258388519287
roberta-base,6,temporal_clause,negation,"After the chef observed the patient, the situation changed.","After the chef did not observe the patient, the situation changed.",0.9027209877967834
roberta-base,6,temporal_clause,question,"After the chef observed the patient, the situation changed.",Did the situation change after the chef observed the patient?,1.3258769512176514
roberta-base,6,temporal_clause,future,"After the chef observed the patient, the situation changed.","After the chef will observe the patient, the situation will change.",1.4092310667037964
roberta-base,6,temporal_clause,uncertainty,"After the chef observed the patient, the situation changed.","After the chef may have observed the patient, the situation changed.",0.9783053398132324
roberta-base,6,temporal_clause,passive,"After the chef observed the patient, the situation changed.","After the patient was observed by the chef, the situation changed.",0.8006020784378052
