split,base_id,syntax_family,class,source,target,source_idx,target_idx
train,train_3,simple_svo,future,The scientist created the patient.,The scientist is going to create the patient.,6,913
train,train_3,simple_svo,uncertainty,The scientist created the patient.,The scientist might have created the patient.,6,914
train,train_3,simple_svo,passive,The scientist created the patient.,The patient had been created by the scientist.,6,915
train,train_3,simple_svo,formalization,The scientist created the patient.,It is true that the scientist created the patient.,6,916
train,train_3,with_context,negation,The scientist created the patient after the discussion.,The scientist never created the patient after the discussion.,7,917
train,train_3,with_context,question,The scientist created the patient after the discussion.,Could the scientist have created the patient after the discussion?,7,918
train,train_3,with_context,future,The scientist created the patient after the discussion.,The scientist will create the patient after the discussion.,7,919
train,train_3,with_context,uncertainty,The scientist created the patient after the discussion.,The scientist may have created the patient after the discussion.,7,920
train,train_3,with_context,passive,The scientist created the patient after the discussion.,The patient had been created by the scientist after the discussion.,7,921
train,train_3,with_context,formalization,The scientist created the patient after the discussion.,The fact is that the scientist created the patient after the discussion.,7,922
train,train_4,simple_svo,negation,The programmer studied the patient.,The programmer never studied the patient.,8,923
train,train_4,simple_svo,question,The programmer studied the patient.,Did the programmer study the patient?,8,924
train,train_4,simple_svo,future,The programmer studied the patient.,The programmer will study the patient.,8,925
train,train_4,simple_svo,uncertainty,The programmer studied the patient.,The programmer might have studied the patient.,8,926
train,train_4,simple_svo,passive,The programmer studied the patient.,The patient had been studied by the programmer.,8,927
train,train_4,simple_svo,formalization,The programmer studied the patient.,It is true that the programmer studied the patient.,8,928
train,train_4,with_context,negation,The programmer studied the patient before the presentation.,The programmer did not study the patient before the presentation.,9,929
train,train_4,with_context,question,The programmer studied the patient before the presentation.,Could the programmer have studied the patient before the presentation?,9,930
train,train_4,with_context,future,The programmer studied the patient before the presentation.,The programmer is going to study the patient before the presentation.,9,931
train,train_4,with_context,uncertainty,The programmer studied the patient before the presentation.,The programmer might have studied the patient before the presentation.,9,932
train,train_4,with_context,passive,The programmer studied the patient before the presentation.,The patient had been studied by the programmer before the presentation.,9,933
train,train_4,with_context,formalization,The programmer studied the patient before the presentation.,The fact is that the programmer studied the patient before the presentation.,9,934
train,train_5,simple_svo,negation,The scientist prepared the rule.,The scientist never prepared the rule.,10,935
train,train_5,simple_svo,question,The scientist prepared the rule.,Did the scientist prepare the rule?,10,936
train,train_5,simple_svo,future,The scientist prepared the rule.,The scientist will prepare the rule.,10,937
train,train_5,simple_svo,uncertainty,The scientist prepared the rule.,The scientist may have prepared the rule.,10,938
train,train_5,simple_svo,passive,The scientist prepared the rule.,The rule had been prepared by the scientist.,10,939
train,train_5,simple_svo,formalization,The scientist prepared the rule.,The fact is that the scientist prepared the rule.,10,940
train,train_5,with_context,negation,The scientist prepared the rule in the laboratory.,The scientist never prepared the rule in the laboratory.,11,941
train,train_5,with_context,question,The scientist prepared the rule in the laboratory.,Did the scientist prepare the rule in the laboratory?,11,942
train,train_5,with_context,future,The scientist prepared the rule in the laboratory.,The scientist is going to prepare the rule in the laboratory.,11,943
train,train_5,with_context,uncertainty,The scientist prepared the rule in the laboratory.,The scientist might have prepared the rule in the laboratory.,11,944
train,train_5,with_context,passive,The scientist prepared the rule in the laboratory.,The rule was prepared by the scientist in the laboratory.,11,945
train,train_5,with_context,formalization,The scientist prepared the rule in the laboratory.,The fact is that the scientist prepared the rule in the laboratory.,11,946
train,train_6,simple_svo,negation,The programmer tested a black cat.,The programmer did not test a black cat.,12,947
train,train_6,simple_svo,question,The programmer tested a black cat.,Could the programmer have tested a black cat?,12,948
train,train_6,simple_svo,future,The programmer tested a black cat.,The programmer will test a black cat.,12,949
train,train_6,simple_svo,uncertainty,The programmer tested a black cat.,The programmer may have tested a black cat.,12,950
train,train_6,simple_svo,passive,The programmer tested a black cat.,A black cat had been tested by the programmer.,12,951
train,train_6,simple_svo,formalization,The programmer tested a black cat.,It is true that the programmer tested a black cat.,12,952
train,train_6,with_context,negation,The programmer tested a black cat before the presentation.,The programmer did not test a black cat before the presentation.,13,953
train,train_6,with_context,question,The programmer tested a black cat before the presentation.,Did the programmer test a black cat before the presentation?,13,954
train,train_6,with_context,future,The programmer tested a black cat before the presentation.,The programmer is going to test a black cat before the presentation.,13,955
train,train_6,with_context,uncertainty,The programmer tested a black cat before the presentation.,The programmer may have tested a black cat before the presentation.,13,956
train,train_6,with_context,passive,The programmer tested a black cat before the presentation.,A black cat was tested by the programmer before the presentation.,13,957
train,train_6,with_context,formalization,The programmer tested a black cat before the presentation.,The fact is that the programmer tested a black cat before the presentation.,13,958
train,train_7,simple_svo,negation,The doctor examined a complex machine.,The doctor never examined a complex machine.,14,959
train,train_7,simple_svo,question,The doctor examined a complex machine.,Could the doctor have examined a complex machine?,14,960
train,train_7,simple_svo,future,The doctor examined a complex machine.,The doctor will examine a complex machine.,14,961
train,train_7,simple_svo,uncertainty,The doctor examined a complex machine.,The doctor might have examined a complex machine.,14,962
train,train_7,simple_svo,passive,The doctor examined a complex machine.,A complex machine had been examined by the doctor.,14,963
train,train_7,simple_svo,formalization,The doctor examined a complex machine.,The fact is that the doctor examined a complex machine.,14,964
train,train_7,with_context,negation,The doctor examined a complex machine before the deadline.,The doctor never examined a complex machine before the deadline.,15,965
train,train_7,with_context,question,The doctor examined a complex machine before the deadline.,Did the doctor examine a complex machine before the deadline?,15,966
train,train_7,with_context,future,The doctor examined a complex machine before the deadline.,The doctor is going to examine a complex machine before the deadline.,15,967
train,train_7,with_context,uncertainty,The doctor examined a complex machine before the deadline.,The doctor might have examined a complex machine before the deadline.,15,968
train,train_7,with_context,passive,The doctor examined a complex machine before the deadline.,A complex machine was examined by the doctor before the deadline.,15,969
train,train_7,with_context,formalization,The doctor examined a complex machine before the deadline.,The fact is that the doctor examined a complex machine before the deadline.,15,970
train,train_8,simple_svo,negation,The programmer prepared a beautiful painting.,The programmer never prepared a beautiful painting.,16,971
train,train_8,simple_svo,question,The programmer prepared a beautiful painting.,Could the programmer have prepared a beautiful painting?,16,972
train,train_8,simple_svo,future,The programmer prepared a beautiful painting.,The programmer is going to prepare a beautiful painting.,16,973
train,train_8,simple_svo,uncertainty,The programmer prepared a beautiful painting.,The programmer might have prepared a beautiful painting.,16,974
train,train_8,simple_svo,passive,The programmer prepared a beautiful painting.,A beautiful painting was prepared by the programmer.,16,975
train,train_8,simple_svo,formalization,The programmer prepared a beautiful painting.,It is true that the programmer prepared a beautiful painting.,16,976
train,train_8,with_context,negation,The programmer prepared a beautiful painting in the laboratory.,The programmer never prepared a beautiful painting in the laboratory.,17,977
train,train_8,with_context,question,The programmer prepared a beautiful painting in the laboratory.,Could the programmer have prepared a beautiful painting in the laboratory?,17,978
train,train_8,with_context,future,The programmer prepared a beautiful painting in the laboratory.,The programmer will prepare a beautiful painting in the laboratory.,17,979
train,train_8,with_context,uncertainty,The programmer prepared a beautiful painting in the laboratory.,The programmer might have prepared a beautiful painting in the laboratory.,17,980
train,train_8,with_context,passive,The programmer prepared a beautiful painting in the laboratory.,A beautiful painting had been prepared by the programmer in the laboratory.,17,981
train,train_8,with_context,formalization,The programmer prepared a beautiful painting in the laboratory.,It is true that the programmer prepared a beautiful painting in the laboratory.,17,982
train,train_9,simple_svo,negation,The programmer reported the patient.,The programmer did not report the patient.,18,983
train,train_9,simple_svo,question,The programmer reported the patient.,Could the programmer have reported the patient?,18,984
train,train_9,simple_svo,future,The programmer reported the patient.,The programmer is going to report the patient.,18,985
train,train_9,simple_svo,uncertainty,The programmer reported the patient.,The programmer might have reported the patient.,18,986
train,train_9,simple_svo,passive,The programmer reported the patient.,The patient had been reported by the programmer.,18,987
train,train_9,simple_svo,formalization,The programmer reported the patient.,It is true that the programmer reported the patient.,18,988
train,train_9,with_context,negation,The programmer reported the patient at the school.,The programmer did not report the patient at the school.,19,989
train,train_9,with_context,question,The programmer reported the patient at the school.,Did the programmer report the patient at the school?,19,990
train,train_9,with_context,future,The programmer reported the patient at the school.,The programmer will report the patient at the school.,19,991
train,train_9,with_context,uncertainty,The programmer reported the patient at the school.,The programmer may have reported the patient at the school.,19,992
train,train_9,with_context,passive,The programmer reported the patient at the school.,The patient had been reported by the programmer at the school.,19,993
train,train_9,with_context,formalization,The programmer reported the patient at the school.,It is true that the programmer reported the patient at the school.,19,994
train,train_10,simple_svo,negation,The doctor studied a black cat.,The doctor never studied a black cat.,20,995
train,train_10,simple_svo,question,The doctor studied a black cat.,Did the doctor study a black cat?,20,996
train,train_10,simple_svo,future,The doctor studied a black cat.,The doctor will study a black cat.,20,997
train,train_10,simple_svo,uncertainty,The doctor studied a black cat.,The doctor might have studied a black cat.,20,998
train,train_10,simple_svo,passive,The doctor studied a black cat.,A black cat was studied by the doctor.,20,999
train,train_10,simple_svo,formalization,The doctor studied a black cat.,The fact is that the doctor studied a black cat.,20,1000
train,train_10,with_context,negation,The doctor studied a black cat after the discussion.,The doctor did not study a black cat after the discussion.,21,1001
train,train_10,with_context,question,The doctor studied a black cat after the discussion.,Could the doctor have studied a black cat after the discussion?,21,1002
train,train_10,with_context,future,The doctor studied a black cat after the discussion.,The doctor will study a black cat after the discussion.,21,1003
train,train_10,with_context,uncertainty,The doctor studied a black cat after the discussion.,The doctor may have studied a black cat after the discussion.,21,1004
train,train_10,with_context,passive,The doctor studied a black cat after the discussion.,A black cat had been studied by the doctor after the discussion.,21,1005
train,train_10,with_context,formalization,The doctor studied a black cat after the discussion.,The fact is that the doctor studied a black cat after the discussion.,21,1006
train,train_11,simple_svo,negation,The teacher examined a complex machine.,The teacher did not examine a complex machine.,22,1007
train,train_11,simple_svo,question,The teacher examined a complex machine.,Did the teacher examine a complex machine?,22,1008
train,train_11,simple_svo,future,The teacher examined a complex machine.,The teacher is going to examine a complex machine.,22,1009
train,train_11,simple_svo,uncertainty,The teacher examined a complex machine.,The teacher may have examined a complex machine.,22,1010
train,train_11,simple_svo,passive,The teacher examined a complex machine.,A complex machine had been examined by the teacher.,22,1011
train,train_11,simple_svo,formalization,The teacher examined a complex machine.,It is true that the teacher examined a complex machine.,22,1012
train,train_11,with_context,negation,The teacher examined a complex machine before the deadline.,The teacher never examined a complex machine before the deadline.,23,1013
train,train_11,with_context,question,The teacher examined a complex machine before the deadline.,Did the teacher examine a complex machine before the deadline?,23,1014
train,train_11,with_context,future,The teacher examined a complex machine before the deadline.,The teacher will examine a complex machine before the deadline.,23,1015
train,train_11,with_context,uncertainty,The teacher examined a complex machine before the deadline.,The teacher may have examined a complex machine before the deadline.,23,1016
train,train_11,with_context,passive,The teacher examined a complex machine before the deadline.,A complex machine had been examined by the teacher before the deadline.,23,1017
train,train_11,with_context,formalization,The teacher examined a complex machine before the deadline.,The fact is that the teacher examined a complex machine before the deadline.,23,1018
train,train_12,simple_svo,negation,The manager observed the system.,The manager did not observe the system.,24,1019
train,train_12,simple_svo,question,The manager observed the system.,Could the manager have observed the system?,24,1020
train,train_12,simple_svo,future,The manager observed the system.,The manager will observe the system.,24,1021
train,train_12,simple_svo,uncertainty,The manager observed the system.,The manager may have observed the system.,24,1022
train,train_12,simple_svo,passive,The manager observed the system.,The system had been observed by the manager.,24,1023
train,train_12,simple_svo,formalization,The manager observed the system.,It is true that the manager observed the system.,24,1024
train,train_12,with_context,negation,The manager observed the system during the experiment.,The manager never observed the system during the experiment.,25,1025
train,train_12,with_context,question,The manager observed the system during the experiment.,Did the manager observe the system during the experiment?,25,1026
train,train_12,with_context,future,The manager observed the system during the experiment.,The manager will observe the system during the experiment.,25,1027
train,train_12,with_context,uncertainty,The manager observed the system during the experiment.,The manager might have observed the system during the experiment.,25,1028
train,train_12,with_context,passive,The manager observed the system during the experiment.,The system was observed by the manager during the experiment.,25,1029
train,train_12,with_context,formalization,The manager observed the system during the experiment.,It is true that the manager observed the system during the experiment.,25,1030
train,train_13,simple_svo,negation,The teacher found a black cat.,The teacher did not find a black cat.,26,1031
train,train_13,simple_svo,question,The teacher found a black cat.,Could the teacher have found a black cat?,26,1032
train,train_13,simple_svo,future,The teacher found a black cat.,The teacher is going to find a black cat.,26,1033
train,train_13,simple_svo,uncertainty,The teacher found a black cat.,The teacher might have found a black cat.,26,1034
train,train_13,simple_svo,passive,The teacher found a black cat.,A black cat was found by the teacher.,26,1035
train,train_13,simple_svo,formalization,The teacher found a black cat.,The fact is that the teacher found a black cat.,26,1036
train,train_13,with_context,negation,The teacher found a black cat after the interview.,The teacher never found a black cat after the interview.,27,1037
train,train_13,with_context,question,The teacher found a black cat after the interview.,Did the teacher find a black cat after the interview?,27,1038
train,train_13,with_context,future,The teacher found a black cat after the interview.,The teacher will find a black cat after the interview.,27,1039
train,train_13,with_context,uncertainty,The teacher found a black cat after the interview.,The teacher might have found a black cat after the interview.,27,1040
train,train_13,with_context,passive,The teacher found a black cat after the interview.,A black cat had been found by the teacher after the interview.,27,1041
train,train_13,with_context,formalization,The teacher found a black cat after the interview.,It is true that the teacher found a black cat after the interview.,27,1042
train,train_14,simple_svo,negation,The artist solved the rule.,The artist never solved the rule.,28,1043
train,train_14,simple_svo,question,The artist solved the rule.,Could the artist have solved the rule?,28,1044
train,train_14,simple_svo,future,The artist solved the rule.,The artist will solve the rule.,28,1045
train,train_14,simple_svo,uncertainty,The artist solved the rule.,The artist might have solved the rule.,28,1046
train,train_14,simple_svo,passive,The artist solved the rule.,The rule had been solved by the artist.,28,1047
train,train_14,simple_svo,formalization,The artist solved the rule.,The fact is that the artist solved the rule.,28,1048
train,train_14,with_context,negation,The artist solved the rule during the meeting.,The artist never solved the rule during the meeting.,29,1049
train,train_14,with_context,question,The artist solved the rule during the meeting.,Did the artist solve the rule during the meeting?,29,1050
train,train_14,with_context,future,The artist solved the rule during the meeting.,The artist will solve the rule during the meeting.,29,1051
train,train_14,with_context,uncertainty,The artist solved the rule during the meeting.,The artist may have solved the rule during the meeting.,29,1052
train,train_14,with_context,passive,The artist solved the rule during the meeting.,The rule had been solved by the artist during the meeting.,29,1053
train,train_14,with_context,formalization,The artist solved the rule during the meeting.,It is true that the artist solved the rule during the meeting.,29,1054
train,train_15,simple_svo,negation,The programmer helped the decision.,The programmer did not help the decision.,30,1055
train,train_15,simple_svo,question,The programmer helped the decision.,Could the programmer have helped the decision?,30,1056
train,train_15,simple_svo,future,The programmer helped the decision.,The programmer is going to help the decision.,30,1057
train,train_15,simple_svo,uncertainty,The programmer helped the decision.,The programmer might have helped the decision.,30,1058
train,train_15,simple_svo,passive,The programmer helped the decision.,The decision was helped by the programmer.,30,1059
train,train_15,simple_svo,formalization,The programmer helped the decision.,It is true that the programmer helped the decision.,30,1060
train,train_15,with_context,negation,The programmer helped the decision during the experiment.,The programmer never helped the decision during the experiment.,31,1061
train,train_15,with_context,question,The programmer helped the decision during the experiment.,Did the programmer help the decision during the experiment?,31,1062
train,train_15,with_context,future,The programmer helped the decision during the experiment.,The programmer is going to help the decision during the experiment.,31,1063
train,train_15,with_context,uncertainty,The programmer helped the decision during the experiment.,The programmer may have helped the decision during the experiment.,31,1064
train,train_15,with_context,passive,The programmer helped the decision during the experiment.,The decision had been helped by the programmer during the experiment.,31,1065
train,train_15,with_context,formalization,The programmer helped the decision during the experiment.,It is true that the programmer helped the decision during the experiment.,31,1066
train,train_16,simple_svo,negation,The teacher tested a beautiful painting.,The teacher never tested a beautiful painting.,32,1067
train,train_16,simple_svo,question,The teacher tested a beautiful painting.,Could the teacher have tested a beautiful painting?,32,1068
train,train_16,simple_svo,future,The teacher tested a beautiful painting.,The teacher will test a beautiful painting.,32,1069
train,train_16,simple_svo,uncertainty,The teacher tested a beautiful painting.,The teacher might have tested a beautiful painting.,32,1070
train,train_16,simple_svo,passive,The teacher tested a beautiful painting.,A beautiful painting had been tested by the teacher.,32,1071
train,train_16,simple_svo,formalization,The teacher tested a beautiful painting.,The fact is that the teacher tested a beautiful painting.,32,1072
train,train_16,with_context,negation,The teacher tested a beautiful painting during the experiment.,The teacher never tested a beautiful painting during the experiment.,33,1073
train,train_16,with_context,question,The teacher tested a beautiful painting during the experiment.,Could the teacher have tested a beautiful painting during the experiment?,33,1074
train,train_16,with_context,future,The teacher tested a beautiful painting during the experiment.,The teacher is going to test a beautiful painting during the experiment.,33,1075
train,train_16,with_context,uncertainty,The teacher tested a beautiful painting during the experiment.,The teacher might have tested a beautiful painting during the experiment.,33,1076
train,train_16,with_context,passive,The teacher tested a beautiful painting during the experiment.,A beautiful painting had been tested by the teacher during the experiment.,33,1077
train,train_16,with_context,formalization,The teacher tested a beautiful painting during the experiment.,It is true that the teacher tested a beautiful painting during the experiment.,33,1078
train,train_17,simple_svo,negation,The manager improved a short story.,The manager did not improve a short story.,34,1079
train,train_17,simple_svo,question,The manager improved a short story.,Did the manager improve a short story?,34,1080
train,train_17,simple_svo,future,The manager improved a short story.,The manager is going to improve a short story.,34,1081
train,train_17,simple_svo,uncertainty,The manager improved a short story.,The manager may have improved a short story.,34,1082
train,train_17,simple_svo,passive,The manager improved a short story.,A short story was improved by the manager.,34,1083
train,train_17,simple_svo,formalization,The manager improved a short story.,The fact is that the manager improved a short story.,34,1084
train,train_17,with_context,negation,The manager improved a short story before the deadline.,The manager never improved a short story before the deadline.,35,1085
train,train_17,with_context,question,The manager improved a short story before the deadline.,Could the manager have improved a short story before the deadline?,35,1086
train,train_17,with_context,future,The manager improved a short story before the deadline.,The manager is going to improve a short story before the deadline.,35,1087
train,train_17,with_context,uncertainty,The manager improved a short story before the deadline.,The manager may have improved a short story before the deadline.,35,1088
train,train_17,with_context,passive,The manager improved a short story before the deadline.,A short story had been improved by the manager before the deadline.,35,1089
train,train_17,with_context,formalization,The manager improved a short story before the deadline.,The fact is that the manager improved a short story before the deadline.,35,1090
train,train_18,simple_svo,negation,The artist created a short story.,The artist never created a short story.,36,1091
train,train_18,simple_svo,question,The artist created a short story.,Could the artist have created a short story?,36,1092
train,train_18,simple_svo,future,The artist created a short story.,The artist will create a short story.,36,1093
train,train_18,simple_svo,uncertainty,The artist created a short story.,The artist may have created a short story.,36,1094
train,train_18,simple_svo,passive,The artist created a short story.,A short story was created by the artist.,36,1095
train,train_18,simple_svo,formalization,The artist created a short story.,The fact is that the artist created a short story.,36,1096
train,train_18,with_context,negation,The artist created a short story during the meeting.,The artist never created a short story during the meeting.,37,1097
train,train_18,with_context,question,The artist created a short story during the meeting.,Could the artist have created a short story during the meeting?,37,1098
train,train_18,with_context,future,The artist created a short story during the meeting.,The artist will create a short story during the meeting.,37,1099
train,train_18,with_context,uncertainty,The artist created a short story during the meeting.,The artist may have created a short story during the meeting.,37,1100
train,train_18,with_context,passive,The artist created a short story during the meeting.,A short story was created by the artist during the meeting.,37,1101
train,train_18,with_context,formalization,The artist created a short story during the meeting.,The fact is that the artist created a short story during the meeting.,37,1102
train,train_19,simple_svo,negation,The student created the decision.,The student did not create the decision.,38,1103
train,train_19,simple_svo,question,The student created the decision.,Did the student create the decision?,38,1104
train,train_19,simple_svo,future,The student created the decision.,The student is going to create the decision.,38,1105
train,train_19,simple_svo,uncertainty,The student created the decision.,The student might have created the decision.,38,1106
train,train_19,simple_svo,passive,The student created the decision.,The decision had been created by the student.,38,1107
train,train_19,simple_svo,formalization,The student created the decision.,The fact is that the student created the decision.,38,1108
train,train_19,with_context,negation,The student created the decision after the interview.,The student did not create the decision after the interview.,39,1109
train,train_19,with_context,question,The student created the decision after the interview.,Could the student have created the decision after the interview?,39,1110
train,train_19,with_context,future,The student created the decision after the interview.,The student will create the decision after the interview.,39,1111
train,train_19,with_context,uncertainty,The student created the decision after the interview.,The student might have created the decision after the interview.,39,1112
train,train_19,with_context,passive,The student created the decision after the interview.,The decision had been created by the student after the interview.,39,1113
train,train_19,with_context,formalization,The student created the decision after the interview.,The fact is that the student created the decision after the interview.,39,1114
train,train_20,simple_svo,negation,The scientist prepared a complex machine.,The scientist never prepared a complex machine.,40,1115
train,train_20,simple_svo,question,The scientist prepared a complex machine.,Did the scientist prepare a complex machine?,40,1116
train,train_20,simple_svo,future,The scientist prepared a complex machine.,The scientist is going to prepare a complex machine.,40,1117
train,train_20,simple_svo,uncertainty,The scientist prepared a complex machine.,The scientist may have prepared a complex machine.,40,1118
train,train_20,simple_svo,passive,The scientist prepared a complex machine.,A complex machine had been prepared by the scientist.,40,1119
train,train_20,simple_svo,formalization,The scientist prepared a complex machine.,The fact is that the scientist prepared a complex machine.,40,1120
train,train_20,with_context,negation,The scientist prepared a complex machine during the meeting.,The scientist did not prepare a complex machine during the meeting.,41,1121
train,train_20,with_context,question,The scientist prepared a complex machine during the meeting.,Did the scientist prepare a complex machine during the meeting?,41,1122
train,train_20,with_context,future,The scientist prepared a complex machine during the meeting.,The scientist is going to prepare a complex machine during the meeting.,41,1123
train,train_20,with_context,uncertainty,The scientist prepared a complex machine during the meeting.,The scientist may have prepared a complex machine during the meeting.,41,1124
train,train_20,with_context,passive,The scientist prepared a complex machine during the meeting.,A complex machine had been prepared by the scientist during the meeting.,41,1125
train,train_20,with_context,formalization,The scientist prepared a complex machine during the meeting.,It is true that the scientist prepared a complex machine during the meeting.,41,1126
train,train_21,simple_svo,negation,The child defended the problem.,The child did not defend the problem.,42,1127
train,train_21,simple_svo,question,The child defended the problem.,Did the child defend the problem?,42,1128
train,train_21,simple_svo,future,The child defended the problem.,The child is going to defend the problem.,42,1129
train,train_21,simple_svo,uncertainty,The child defended the problem.,The child may have defended the problem.,42,1130
train,train_21,simple_svo,passive,The child defended the problem.,The problem was defended by the child.,42,1131
train,train_21,simple_svo,formalization,The child defended the problem.,The fact is that the child defended the problem.,42,1132
train,train_21,with_context,negation,The child defended the problem after the discussion.,The child never defended the problem after the discussion.,43,1133
train,train_21,with_context,question,The child defended the problem after the discussion.,Could the child have defended the problem after the discussion?,43,1134
train,train_21,with_context,future,The child defended the problem after the discussion.,The child will defend the problem after the discussion.,43,1135
train,train_21,with_context,uncertainty,The child defended the problem after the discussion.,The child may have defended the problem after the discussion.,43,1136
train,train_21,with_context,passive,The child defended the problem after the discussion.,The problem was defended by the child after the discussion.,43,1137
train,train_21,with_context,formalization,The child defended the problem after the discussion.,The fact is that the child defended the problem after the discussion.,43,1138
train,train_22,simple_svo,negation,The programmer prepared a black cat.,The programmer did not prepare a black cat.,44,1139
train,train_22,simple_svo,question,The programmer prepared a black cat.,Could the programmer have prepared a black cat?,44,1140
train,train_22,simple_svo,future,The programmer prepared a black cat.,The programmer will prepare a black cat.,44,1141
train,train_22,simple_svo,uncertainty,The programmer prepared a black cat.,The programmer might have prepared a black cat.,44,1142
train,train_22,simple_svo,passive,The programmer prepared a black cat.,A black cat was prepared by the programmer.,44,1143
train,train_22,simple_svo,formalization,The programmer prepared a black cat.,The fact is that the programmer prepared a black cat.,44,1144
train,train_22,with_context,negation,The programmer prepared a black cat after the discussion.,The programmer did not prepare a black cat after the discussion.,45,1145
train,train_22,with_context,question,The programmer prepared a black cat after the discussion.,Did the programmer prepare a black cat after the discussion?,45,1146
train,train_22,with_context,future,The programmer prepared a black cat after the discussion.,The programmer is going to prepare a black cat after the discussion.,45,1147
train,train_22,with_context,uncertainty,The programmer prepared a black cat after the discussion.,The programmer may have prepared a black cat after the discussion.,45,1148
train,train_22,with_context,passive,The programmer prepared a black cat after the discussion.,A black cat was prepared by the programmer after the discussion.,45,1149
train,train_22,with_context,formalization,The programmer prepared a black cat after the discussion.,The fact is that the programmer prepared a black cat after the discussion.,45,1150
train,train_23,simple_svo,negation,The child designed a black cat.,The child did not design a black cat.,46,1151
train,train_23,simple_svo,question,The child designed a black cat.,Did the child design a black cat?,46,1152
train,train_23,simple_svo,future,The child designed a black cat.,The child will design a black cat.,46,1153
train,train_23,simple_svo,uncertainty,The child designed a black cat.,The child might have designed a black cat.,46,1154
train,train_23,simple_svo,passive,The child designed a black cat.,A black cat was designed by the child.,46,1155
train,train_23,simple_svo,formalization,The child designed a black cat.,It is true that the child designed a black cat.,46,1156
train,train_23,with_context,negation,The child designed a black cat during the meeting.,The child never designed a black cat during the meeting.,47,1157
train,train_23,with_context,question,The child designed a black cat during the meeting.,Could the child have designed a black cat during the meeting?,47,1158
train,train_23,with_context,future,The child designed a black cat during the meeting.,The child will design a black cat during the meeting.,47,1159
train,train_23,with_context,uncertainty,The child designed a black cat during the meeting.,The child may have designed a black cat during the meeting.,47,1160
